case,ID,ENTRYTYPE,author,year,title,volume,number,pages,abstract,doi,series,search_set,container_title,author_full
id_0000017;id_0000616,id_0000616,article,belobrajdic king christophersen bird,2012,resistant starch dose dependently reduces adiposity obesity prone obesity resistant rats,1,1,128,introduction animal studies show that diets containing resistant starch rs at levels not achievable in the human diet lower body weight andor adiposity in rodents. we aimed to determine whether rs dosedependently reduces adiposity in obesity prone op and obesity resistant or rats.methods male spraguedawley rats n120 were fed a moderatefat highenergy diet for 4 wk. animals that gained the most weight 40 were classified as obesity prone op and the remaining 60 as obesity resistant or. op n8 and or n12 animals were randomly allocated to one of six groups. one group was killed for baseline measurements the other five groups were allocated to diets that contained 0 control 4 8 12 16 rs provided by hams for 4 wk. at 0 4 and 7 wk adiposity was determined by dualenergy xray absorptiometry. at 8 wk animals were euthanized and fat pad weights intestinal digesta short chain fatty acid scfa pools and plasma gut hormone levels were determined.results irrespective of phenotype 8 rs reduced weight gain and adiposity compared to the control group. 4 rs reduced weight gain in op rats but or animals required 8 rs to reduce weight gain. all rs diets increased total scfa pools in the caecum and colon and lowered plasma gip concentration compared to the control whereas plasma glp1 and pyy were increased when the diet contained at least 8 rs.conclusion the inclusion of rs at levels potentially achievable in the human diet reduced adiposity and weight gain in rats,101159/000170924,,,obes fact,Belobrajdic D.King R.Christophersen C.Bird A.
id_0000017;id_0000616,id_0000017,article,belobrajdic king christophersen bird,2012,dietary resistant starch dose dependently reduces adiposity obesity prone obesity resistant male rats,9,1,93,unlabelled background animal studies show that diets containing resistant starch rs at levels not achievable in the human diet result in lower body weight andor adiposity in rodents. we aimed to determine whether rs dosedependently reduces adiposity in obesityprone op and obesityresistant or rats. methods male spraguedawley rats n120 were fed a moderatefat highenergy diet for 4 wk. rats that gained the most weight 40 were classified as obesityprone op and obesityresistant or rats were the 40 that gained the least weight. op and or rats were randomly allocated to one of six groups n8 for each phenotype. one group was killed for baseline measurements the other five groups were allocated to ain93 based diets that contained 0 4 8 12 and 16 rs as high amylose maize starch for 4 wk. these diets were matched for total carbohydrate content. at 0 4 and 7 wk from the start of the study insulin sensitivity was calculated by homeostasis model assessment of insulin resistance homair and adiposity was determined by dualenergy xray absorptiometry dxa. at 8 wk rats were euthanized and fat pad weights intestinal digesta short chain fatty acid scfa pools and plasma gut hormone levels were determined. results obesity prone rats gained less weight with 4 12 and 16 rs compared to 0 rs but the effect in or animals was significant only at 16 rs. irrespective of phenotype diets containing 8 rs reduced adiposity compared to 0 rs. energy intake decreased by 9.8 kjd for every 4 increase in rs. all diets containing rs increased total scfa pools in the caecum and lowered plasma gip concentrations compared to the 0 rs whereas plasma glp1 and pyy were increased when the diet contained at least 8 rs. insulin sensitivity was not affected by rs. conclusion rs in amounts that could be potentially consumed by humans were effective in reducing adiposity and weight gain in op and or rats due in part to a reduction in energy intake and changes in gut hormones and large bowel carbohydrate fermentation,101186/1743_7075_9_93,,,nutr meta,Belobrajdic D. P.King R. A.Christophersen C. T.Bird A. R.
id_0000017;id_0001364,id_0000017,article,belobrajdic king christophersen bird,2012,dietary resistant starch dose dependently reduces adiposity obesity prone obesity resistant male rats,9,1,93,unlabelled background animal studies show that diets containing resistant starch rs at levels not achievable in the human diet result in lower body weight andor adiposity in rodents. we aimed to determine whether rs dosedependently reduces adiposity in obesityprone op and obesityresistant or rats. methods male spraguedawley rats n120 were fed a moderatefat highenergy diet for 4 wk. rats that gained the most weight 40 were classified as obesityprone op and obesityresistant or rats were the 40 that gained the least weight. op and or rats were randomly allocated to one of six groups n8 for each phenotype. one group was killed for baseline measurements the other five groups were allocated to ain93 based diets that contained 0 4 8 12 and 16 rs as high amylose maize starch for 4 wk. these diets were matched for total carbohydrate content. at 0 4 and 7 wk from the start of the study insulin sensitivity was calculated by homeostasis model assessment of insulin resistance homair and adiposity was determined by dualenergy xray absorptiometry dxa. at 8 wk rats were euthanized and fat pad weights intestinal digesta short chain fatty acid scfa pools and plasma gut hormone levels were determined. results obesity prone rats gained less weight with 4 12 and 16 rs compared to 0 rs but the effect in or animals was significant only at 16 rs. irrespective of phenotype diets containing 8 rs reduced adiposity compared to 0 rs. energy intake decreased by 9.8 kjd for every 4 increase in rs. all diets containing rs increased total scfa pools in the caecum and lowered plasma gip concentrations compared to the 0 rs whereas plasma glp1 and pyy were increased when the diet contained at least 8 rs. insulin sensitivity was not affected by rs. conclusion rs in amounts that could be potentially consumed by humans were effective in reducing adiposity and weight gain in op and or rats due in part to a reduction in energy intake and changes in gut hormones and large bowel carbohydrate fermentation,101186/1743_7075_9_93,,,nutr meta,Belobrajdic D. P.King R. A.Christophersen C. T.Bird A. R.
id_0000017;id_0001364,id_0001364,article,belobrajdic king christophersen bird,2012,resistant starch dose dependently reduces adiposity obesity prone obesity resistant rats,5,1,128,introduction animal studies show that diets containing resistant starch rs at levels not achievable in the human diet lower body weight andor adiposity in rodents. we aimed to determine whether rs dosedependently reduces adiposity in obesity prone op and obesity resistant or rats.methods male spraguedawley rats n120 were fed a moderatefat highenergy diet for 4 wk. animals that gained the most weight 40 were classified as obesity prone op and the remaining 60 as obesity resistant or. op n8 and or n12 animals were randomly allocated to one of six groups. one group was killed for baseline measurements the other five groups were allocated to diets that contained 0 control 4 8 12 16 rs provided by hams for 4 wk. at 0 4 and 7 wk adiposity was determined by dualenergy xray absorptiometry. at 8 wk animals were euthanized and fat pad weights intestinal digesta short chain fatty acid scfa pools and plasma gut hormone levels were determined.results irrespective of phenotype 8 rs reduced weight gain and adiposity compared to the control group. 4 rs reduced weight gain in op rats but or animals required 8 rs to reduce weight gain. all rs diets increased total scfa pools in the caecum and colon and lowered plasma gip concentration compared to the control whereas plasma glp1 and pyy were increased when the diet contained at least 8 rs.conclusion the inclusion of rs at levels potentially achievable in the human diet reduced adiposity and weight gain in rats,101159/000170924,,,obes fact,Belobrajdic D.King R.Christophersen C.Bird A.
id_0000095;id_0000397,id_0000397,article,liang,2016,sglt 2 inhibitor dapagliflozin has therapeutic effect atherosclerosis diabetic apoe mice,32,,25-26,clinical studies have indicated that the sodium glucose cotransporter2 sglt2 inhibitor dapagliflozin may be a potential treatment for diabetic cardiovascular diseases. our study aimed to assess the effect of dapagliflozin on atherosclerosis in diabetic apoe mice. methods aortic atherosclerosis was induced in streptozotocin stzinduced diabetic apoe mice n40 by feeding with a highfat diet and dapagliflozin 1 mgkgd was administrated in tragastrically for 12 weeks as a treatment. c57bl6 j mice n6 served as controls. the effects of dapagliflozin on indices of glucose metabolism were measured and the influences of dapagliflozin on aortic atherosclerosis were evaluated by oil red o and hematoxylineosin staining. moreover we also measured the serum and tissue il1beta and il18 levels and nlrp3 protein levels for subsequent mechanistic analyses. results dapagliflozin treatment had beneficial effects on glucose and fat metabolism as indicated by the decreased serum blood fasting glucose free fatty acids and triglycerides. moreover dapagliflozin partially reversed the formation of aortic atherosclerosis inhibited macrophage infiltration and enhanced the stability of lesions. additionally it reduced il1beta il18 and nlrp3 protein in both the plasma and the aortic tissues which indicated that the benefits of dapagliflozin in diabetic atherosclerosis may be associated with an inhibition of the nlrp3 inflammasome. conclusions dapagliflozin may have therapeutic potential for diabetic atherosclerosis induced by highfat diet and these benefits may be mediated by the inhibitory effect on the nlrp3 inflammasome,101002/dmrr2855,,,diab meta res rev,Liang Z.
id_0000095;id_0000397,id_0000095,article,leng ouyang lei wu chen wu deng liang,2016,sglt 2 inhibitor dapagliflozin has therapeutic effect atherosclerosis diabetic apoe mice,2016,,6305735,our study aimed to observe the effect of sodium glucose cotransporter2 sglt2 inhibitor dapagliflozin on diabetic atherosclerosis and investigate the subsequent mechanism. methods. aortic atherosclerosis was induced in streptozotocin induced diabetic apoe mice by feeding with highfat diet and dapagliflozin was administrated intragastrically for 12 weeks as treatment. effects of dapagliflozin on indices of glucose and fat metabolism il1beta il18 nlrp3 protein levels and the reactive oxygen species ros were measured. the atherosclerosis was evaluated by oil red o and hematoxylineosin staining. the effects of dapagliflozin on the il1beta production in culturing primary macrophages of wild type and nlrp3 knockout mice were investigated for mechanism analyses. results. dapagliflozin treatment showed favorable effects on glucose and fat metabolism partially reversed the formation of atherosclerosis inhibited macrophage infiltration and enhanced the stability of lesion. also reduced production of il1beta il18 nlrp3 protein and mitochondrial ros in the aortic tissues was detected with dapagliflozin treatment. in vitro nlrp3 inflammasome was activated by hyperglucose and hyperlipid through ros pathway. conclusions. dapagliflozin may be of therapeutic potential for diabetic atherosclerosis induced by highfat diet and these benefits may depend on the inhibitory effect on the secretion of il1beta by macrophages via the rosnlrp3caspase1 pathway,101155/2016/6305735,,,med infl,Leng W.Ouyang X.Lei X.Wu M.Chen L.Wu Q.Deng W.Liang Z.
id_0000095;id_0001137,id_0001137,article,liang,2016,sglt 2 inhibitor dapagliflozin has therapeutic effect atherosclerosis diabetic apoe mice,32,2,25-26,clinical studies have indicated that the sodium glucose cotransporter2 sglt2 inhibitor dapagliflozin may be a potential treatment for diabetic cardiovascular diseases. our study aimed to assess the effect of dapagliflozin on atherosclerosis in diabetic apoe mice. methods aortic atherosclerosis was induced in streptozotocin stzinduced diabetic apoe mice n40 by feeding with a highfat diet and dapagliflozin 1 mgkgd was administrated in tragastrically for 12 weeks as a treatment. c57bl6 j mice n6 served as controls. the effects of dapagliflozin on indices of glucose metabolism were measured and the influences of dapagliflozin on aortic atherosclerosis were evaluated by oil red o and hematoxylineosin staining. moreover we also measured the serum and tissue il1beta and il18 levels and nlrp3 protein levels for subsequent mechanistic analyses. results dapagliflozin treatment had beneficial effects on glucose and fat metabolism as indicated by the decreased serum blood fasting glucose free fatty acids and triglycerides. moreover dapagliflozin partially reversed the formation of aortic atherosclerosis inhibited macrophage infiltration and enhanced the stability of lesions. additionally it reduced il1beta il18 and nlrp3 protein in both the plasma and the aortic tissues which indicated that the benefits of dapagliflozin in diabetic atherosclerosis may be associated with an inhibition of the nlrp3 inflammasome. conclusions dapagliflozin may have therapeutic potential for diabetic atherosclerosis induced by highfat diet and these benefits may be mediated by the inhibitory effect on the nlrp3 inflammasome,101002/dmrr2855,,,diab meta res rev,Liang Z.
id_0000095;id_0001137,id_0000095,article,leng ouyang lei wu chen wu deng liang,2016,sglt 2 inhibitor dapagliflozin has therapeutic effect atherosclerosis diabetic apoe mice,2016,,6305735,our study aimed to observe the effect of sodium glucose cotransporter2 sglt2 inhibitor dapagliflozin on diabetic atherosclerosis and investigate the subsequent mechanism. methods. aortic atherosclerosis was induced in streptozotocin induced diabetic apoe mice by feeding with highfat diet and dapagliflozin was administrated intragastrically for 12 weeks as treatment. effects of dapagliflozin on indices of glucose and fat metabolism il1beta il18 nlrp3 protein levels and the reactive oxygen species ros were measured. the atherosclerosis was evaluated by oil red o and hematoxylineosin staining. the effects of dapagliflozin on the il1beta production in culturing primary macrophages of wild type and nlrp3 knockout mice were investigated for mechanism analyses. results. dapagliflozin treatment showed favorable effects on glucose and fat metabolism partially reversed the formation of atherosclerosis inhibited macrophage infiltration and enhanced the stability of lesion. also reduced production of il1beta il18 nlrp3 protein and mitochondrial ros in the aortic tissues was detected with dapagliflozin treatment. in vitro nlrp3 inflammasome was activated by hyperglucose and hyperlipid through ros pathway. conclusions. dapagliflozin may be of therapeutic potential for diabetic atherosclerosis induced by highfat diet and these benefits may depend on the inhibitory effect on the secretion of il1beta by macrophages via the rosnlrp3caspase1 pathway,101155/2016/6305735,,,med infl,Leng W.Ouyang X.Lei X.Wu M.Chen L.Wu Q.Deng W.Liang Z.
id_0000095;id_0001635,id_0001635,article,liang,2016,sglt 2 inhibitor dapagliflozin has therapeutic effect atherosclerosis diabetic apoe mice,32,,25-26,clinical studies have indicated that the sodium glucose cotransporter2 sglt2 inhibitor dapagliflozin may be a potential treatment for diabetic cardiovascular diseases. our study aimed to assess the effect of dapagliflozin on atherosclerosis in diabetic apoe mice. methods aortic atherosclerosis was induced in streptozotocin stzinduced diabetic apoe mice n40 by feeding with a highfat diet and dapagliflozin 1 mgkgd was administrated in tragastrically for 12 weeks as a treatment. c57bl6 j mice n6 served as controls. the effects of dapagliflozin on indices of glucose metabolism were measured and the influences of dapagliflozin on aortic atherosclerosis were evaluated by oil red o and hematoxylineosin staining. moreover we also measured the serum and tissue il1beta and il18 levels and nlrp3 protein levels for subsequent mechanistic analyses. results dapagliflozin treatment had beneficial effects on glucose and fat metabolism as indicated by the decreased serum blood fasting glucose free fatty acids and triglycerides. moreover dapagliflozin partially reversed the formation of aortic atherosclerosis inhibited macrophage infiltration and enhanced the stability of lesions. additionally it reduced il1beta il18 and nlrp3 protein in both the plasma and the aortic tissues which indicated that the benefits of dapagliflozin in diabetic atherosclerosis may be associated with an inhibition of the nlrp3 inflammasome. conclusions dapagliflozin may have therapeutic potential for diabetic atherosclerosis induced by highfat diet and these benefits may be mediated by the inhibitory effect on the nlrp3 inflammasome,,,,diab meta res rev,Liang Z.
id_0000095;id_0001635,id_0000095,article,leng ouyang lei wu chen wu deng liang,2016,sglt 2 inhibitor dapagliflozin has therapeutic effect atherosclerosis diabetic apoe mice,2016,,6305735,our study aimed to observe the effect of sodium glucose cotransporter2 sglt2 inhibitor dapagliflozin on diabetic atherosclerosis and investigate the subsequent mechanism. methods. aortic atherosclerosis was induced in streptozotocin induced diabetic apoe mice by feeding with highfat diet and dapagliflozin was administrated intragastrically for 12 weeks as treatment. effects of dapagliflozin on indices of glucose and fat metabolism il1beta il18 nlrp3 protein levels and the reactive oxygen species ros were measured. the atherosclerosis was evaluated by oil red o and hematoxylineosin staining. the effects of dapagliflozin on the il1beta production in culturing primary macrophages of wild type and nlrp3 knockout mice were investigated for mechanism analyses. results. dapagliflozin treatment showed favorable effects on glucose and fat metabolism partially reversed the formation of atherosclerosis inhibited macrophage infiltration and enhanced the stability of lesion. also reduced production of il1beta il18 nlrp3 protein and mitochondrial ros in the aortic tissues was detected with dapagliflozin treatment. in vitro nlrp3 inflammasome was activated by hyperglucose and hyperlipid through ros pathway. conclusions. dapagliflozin may be of therapeutic potential for diabetic atherosclerosis induced by highfat diet and these benefits may depend on the inhibitory effect on the secretion of il1beta by macrophages via the rosnlrp3caspase1 pathway,101155/2016/6305735,,,med infl,Leng W.Ouyang X.Lei X.Wu M.Chen L.Wu Q.Deng W.Liang Z.
