case,ID,ENTRYTYPE,title,year,volume,number,pages,abstract,author,doi,series,search_set,container_title,author_full
id_0000000;id_2000235,id_0000000,article,,2017,,4,376-383,"the aim of the article is to study and systematize the trends in the transformation of employment and work motivation in the information economy. as a result of the study, the main trends in the transformation of employment in the information economy are identified. the interrelation between the transformation of employment and work motivation is substantiated. a comparative analysis of the main elements of the motivational model in the traditional and information economy is carried out. a new form of interaction between remote digital workers in distributed teams is explored. a new element of the digital labor market artificial intelligence is characterized and its role and place in it is defined. attention is focused on changing the role of artificial intelligence from the labor market object to its subject. there proposed the authors definition of the concept employ ment in the information economy, which is based on the change in the essential characteristics of employment",,,,,prob econ,"АЗЬМУК, Н. А."
id_0000000;id_2000235,id_2000235,proceedings,"proceedings 13th international symposium open collaboration companion, opensym 2017",2017,,,,,,,,,int symp open coll comp open,
id_0000000;id_2000236,id_0000000,article,,2017,,4,376-383,"the aim of the article is to study and systematize the trends in the transformation of employment and work motivation in the information economy. as a result of the study, the main trends in the transformation of employment in the information economy are identified. the interrelation between the transformation of employment and work motivation is substantiated. a comparative analysis of the main elements of the motivational model in the traditional and information economy is carried out. a new form of interaction between remote digital workers in distributed teams is explored. a new element of the digital labor market artificial intelligence is characterized and its role and place in it is defined. attention is focused on changing the role of artificial intelligence from the labor market object to its subject. there proposed the authors definition of the concept employ ment in the information economy, which is based on the change in the essential characteristics of employment",,,,,prob econ,"АЗЬМУК, Н. А."
id_0000000;id_2000236,id_2000236,proceedings,proceedings annual hawaii international conference system sciences,2017,2017,,,,,,,,hawa int conf syst sci,
id_0000000;id_3000384,id_0000000,article,,2017,,4,376-383,"the aim of the article is to study and systematize the trends in the transformation of employment and work motivation in the information economy. as a result of the study, the main trends in the transformation of employment in the information economy are identified. the interrelation between the transformation of employment and work motivation is substantiated. a comparative analysis of the main elements of the motivational model in the traditional and information economy is carried out. a new form of interaction between remote digital workers in distributed teams is explored. a new element of the digital labor market artificial intelligence is characterized and its role and place in it is defined. attention is focused on changing the role of artificial intelligence from the labor market object to its subject. there proposed the authors definition of the concept employ ment in the information economy, which is based on the change in the essential characteristics of employment",,,,,prob econ,"АЗЬМУК, Н. А."
id_0000000;id_3000384,id_3000384,article,,2017,,4,376-383,"the aim of the article is to study and systematize the trends in the transformation of employment and work motivation in the information economy. as a result of the study, the main trends in the transformation of employment in the information economy are identified. the interrelation between the transformation of employment and work motivation is substantiated. a comparative analysis of the main elements of the motivational model in the traditional and information economy is carried out. a new form of interaction between remote digital workers in distributed teams is explored. a new element of the digital labor market artificial intelligence is characterized and its role and place in it is defined. attention is focused on changing the role of artificial intelligence from the labor market object to its subject. there proposed the authors definition of the concept employment in the information economy, which is based on the change in the essential characteristics of employment under the influence of the development of digital technologies. the interrelation between the transformation of employment and work motivation is substantiated. a comparative analysis of the main elements of the motivational model in the traditional and information economy is carried out. a new form of interaction between remote digital workers in distributed teams is explored",azmuk,,,,prob ekon,"Azmuk, N A"
id_0000001;id_2000241,id_0000001,article,,2020,14,2,6-15,"the relevance of the study of platform employment is determined by the fact that under the influence of digitalization, demographic and other challenges over the past decade, its scale has radically increased in the world. the emergence of digital labour platforms has become one of the important tools of the new organization and structuring of the labour market. the article reveals the scale of platform employment, statistically confirmed signs of its instability, as well as its positive and negative effects on workers, employers, and the economy as a whole. measures are proposed to enhance its positive and prevent negative effects. the subject of the article is the socioeconomic aspects of employment through online platforms. platforms are digital virtual technological devicessoftware, algorithms, control systems using artificial intelligence and other digital means of labour. these new tools allow legal entities andor individuals to join the unlimited and unknown circle of othe", ,,,,worl new econ,"Бобков, В. Н. and Черных, Е. А."
id_0000001;id_2000241,id_2000241,proceedings,ec 2020 proceedings 21st acm conference economics computation,2020,,,,,,,,,ec,
id_0000002;id_0001748,id_0000002,article,,2021,19,5,1-13,"the purpose of this research is to analyze how the wage level of new job seekers in the platform labor market affects the period on getting the first job. recently, the platform gets attention as one of alternatives to solve the increase of unemployment rate. it is important to create quality jobs that we build up a trust between employers and employees in the platform. previous studies showed that feedback from previous employers is important for solving the information asymmetry problem between those people. however, there is no feedback for new job seekers who have not get the first job. therefore, we focus on the fact that wages are presented by job seekers rather than employers in the platform, and we will figure out that the low wages of new job seekers may affect the shortening of jobhunting period. for this reason, we use 3,704 job seekers of freelancer.com. survival analysis shows that low wages for new job seekers have a significant impact on shortening jobhunting period",,,,,j digi conv,이종호
id_0000002;id_0001748,id_0001748,article,,2021,,6,14-25,"digitization is sweeping the global business environment. the deep integration of digital technology, platform economy and gig economy has given birth to an emerging organization, the online labor platform, centered on the algorithmic systems of application terminals. online labor platform not only realizes the efficient matching of shortterm and immediate labor service supply and demand in the gig economy market through algorithms, but also relies on algorithms to dynamically monitor and control the labor process of gig workers in real time. theorists call this management process algorithmic control. however, due to the lack of a unified definition of the concept of algorithmic control and related measurement tools, this has led to widespread controversy regarding the qualitative studies on the impact of algorithmic control on gig workers. in addition, how gig workers perceive, recognize and evaluate algorithmic control, will fundamentally affect their attitudes and behaviors in the",   ,,,,nank busi rev,"裴嘉良 and 刘善仕 and 崔, 勋 and 瞿皎皎"
id_0002395;id_1002763,id_0002395,article,editorial,2015,15,1,,"the article offers information on the topics of the 2015 issue of new zealand journal of human resource management including the study on the engagement of employees at work, the importance of upwork feedback in leadership development, and factors that affect job retention of foreign workers",hayman roche,,,,new zeal j hum reso mana,"Hayman, Jeremy and Roche, Maree"
id_0002395;id_1002763,id_1002763,article,editorial,2015,24,2,45-48,,jarvenpaa staples teigland,101016/jjsis201505001,,,j stra info syst,"Jarvenpaa, Sirkka L. and Staples, D. Sandy and Teigland, Robin"
id_0002395;id_1004620,id_0002395,article,editorial,2015,15,1,,"the article offers information on the topics of the 2015 issue of new zealand journal of human resource management including the study on the engagement of employees at work, the importance of upwork feedback in leadership development, and factors that affect job retention of foreign workers",hayman roche,,,,new zeal j hum reso mana,"Hayman, Jeremy and Roche, Maree"
id_0002395;id_1004620,id_1004620,article,editorial,2015,25,1,1-4,,powell,101111/isj12050,,,info syst j,"Powell, Philip"
id_0002395;id_1005572,id_0002395,article,editorial,2015,15,1,,"the article offers information on the topics of the 2015 issue of new zealand journal of human resource management including the study on the engagement of employees at work, the importance of upwork feedback in leadership development, and factors that affect job retention of foreign workers",hayman roche,,,,new zeal j hum reso mana,"Hayman, Jeremy and Roche, Maree"
id_0002395;id_1005572,id_1005572,article,editorial,2015,25,3,161-170,,tarafdar gupta turel,101111/isj12070,,,info syst j,"Tarafdar, Monideepa and Gupta, Ashish and Turel, Ofir"
