case,ID,title,year,author,pages,volume,number,ENTRYTYPE,series,abstract,doi,search_set,container_title,author_full
id_0000009;id_0000010,id_0000010,clinical research recombinant human ad p53 injection combined cisplatin treatment malignant pleural effusion induced lung cancer,2009,zhao wang li zhang,84-87,28,209,article,,,,,chin j canc,"Zhao, W. Z. and Wang, J. K. and Li, W. and Zhang, X. L."
id_0000009;id_0000010,id_0000009,clinical research recombinant human ad p53 injection combined cisplatin treatment malignant pleural effusion induced lung cancer,2009,zhao wang li zhang,1324-1327,28,211,article,,,,,aizh,"Zhao, Wei-Zhu and Wang, Ji-Kun and Li, Wei and Zhang, Xiu-Li"
id_0000010;id_0000011,id_0000011,clinical research recombinant human ad p53 injection combined cisplatin treatment malignant pleural effusion induced lung cancer,2009,zhao wang li zhang,1324-1327,28,210,article,,,,,ai zhen aizh chin j canc,"Zhao, W. Z. and Wang, J. K. and Li, W. and Zhang, X. L."
id_0000010;id_0000011,id_0000010,clinical research recombinant human ad p53 injection combined cisplatin treatment malignant pleural effusion induced lung cancer,2009,zhao wang li zhang,84-87,28,209,article,,,,,chin j canc,"Zhao, W. Z. and Wang, J. K. and Li, W. and Zhang, X. L."
id_0000035;id_0001451,id_0000035,"corticosteroids treatment tuberculous pleurisy double blind, placebo controlled, randomized study",1996,wyser walzl smedema swart vanschalkwyk vandewal,333-338,110,350,article,,,,,ches,"Wyser, C. and Walzl, G. and Smedema, J. P. and Swart, F. and van Schalkwyk, E. M. and van de Wal, B. W."
id_0000035;id_0001451,id_0001451,"corticosteroids treatment tuberculous pleurisy double blind, placebo controlled, randomized study",1988,lee wang lan tsai chiang,1256-1259,94,348,article,,,,,ches,"Lee, C. H. and Wang, W. J. and Lan, R. S. and Tsai, Y. H. and Chiang, Y. C."
id_0000036;id_0001451,id_0000036,"corticosteroids treatment tuberculous pleurisy double blind, placebo controlled, randomized study",1996,wyser walzl smedema swart vanschalkwyk vandewal,333-338,110,349,article,,,,,ches,"Wyser, C. and Walzl, G. and Smedema, J. P. and Swart, F. and Schalkwyk, E. M. and Wal, B. W."
id_0000036;id_0001451,id_0001451,"corticosteroids treatment tuberculous pleurisy double blind, placebo controlled, randomized study",1988,lee wang lan tsai chiang,1256-1259,94,348,article,,,,,ches,"Lee, C. H. and Wang, W. J. and Lan, R. S. and Tsai, Y. H. and Chiang, Y. C."
id_0000045;id_0000046,id_0000045,"1 line treatment chronic myeloid leukemia dasatinib, nilotinib, imatinib",2010,wei rafiyath liu,47,3,656,article,,,,,j hema onco,"Wei, Guoqing and Rafiyath, Shamudheen and Liu, Delong"
id_0000045;id_0000046,id_0000046,"1 line treatment chronic myeloid leukemia dasatinib, nilotinib, imatinib",2010,wei rafiyath liu,,3,657,article,,,,,j hema onco,"Wei, G. and Rafiyath, S. and Liu, D."
