"journal","title_variant","source","note"
"Russian Journal of Genetics","Genetika","user_specified",
"Journal of Zhejiang University. Medical sciences","Zhejiang da xue xue bao. Yi xue ban","user_specified",
"National Medical Journal of China","Zhonghua yi xue za zhi","user_specified",
"Journal of Central South University","Zhong Nan Da Xue Xue Bao Yi Xue Ban","user_specified",
"Brazilian Journal of Physical Therapy","Revista Brasileira de Fisioterapia","user_specified",
"Chinese journal of lung cancer","Zhongguo fei ai za zhi","user_specified",
"Folia pharmacologia Japonica","Nihon Yakurigaku zasshi","user_specified",
"Japanese Journal of Psychopharmacology","Nihon Shinkei Seishin Yakurigaku Zasshi","user_specified",
"Journal of Zhejiang University. Medical sciences","Zhejiang da xue xue bao. Yi xue ban","user_specified",
"Japanese Journal of Psychopharmacology","Yakubutsu Seishin Kodo","user_specified",
"Folia pharmacologia Japonica","Nihon Yakurigaku Zasshi","user_specified",
"Acta physiologica Sinica","Sheng li xue bao","user_specified",
"Psychiatria et Neurologia Japonica","Seishin Shinkeigaku Zasshi","user_specified",
"Spectroscopy and Spectral Analysis","Guang Pu Xue Yu Guang Pu Fen Xi","user_specified",
"Brazilian Journal of Psychiatry","Revista Brasileira de Psiquiatria","user_specified",
"Transactions of the Japanese Society for Artificial Intelligence","Jinko Chino Gakkai Ronbunshi","user_specified",
"Journal of Otolaryngology of Japan","Nihon Jibiinkoka Gakkai Kaiho","user_specified",
"Chinese Journal of Cancer","Aizheng","user_specified",
"Clinical neurology","Rinsho Shinkeigaku","user_specified",
"Acadiensis: Journal of the History of the Atlantic Region","Acadiensis: Revue d'histoire de la région Atlantique","wikipedia","French"
"Accounting Perspectives","Perspectives comptables","wikipedia","French"
"Acta Archaeologica","Acta Archéologique","wikipedia","French"
"Acta Archaeologica","Acta Archaeologica","wikipedia","German"
"Acta Archaeologica","Acta Archeologica","wikipedia","Italian"
"Colombian Biological Act","Ato Biológico Colombiano","wikipedia","Portuguese"
"Colombian Biological Act","Ley Biológica de Colombia","wikipedia","Spanish"
"Acta Botanica Brasilica","Acta Botânica Brasileira","wikipedia","Portuguese"
"Acta Botanica Brasilica","Acta Botánica Brasilica","wikipedia","Spanish"
