case,ID,colrev_origin,ENTRYTYPE,author,year,title,volume,number,pages,abstract,doi,isbn,url,colrev_status,container_title,author_full,first_author,short_title,short_container_title
source_1.bib/0000000787;source_1.bib/0000008401,787,source_1.bib/0000000787,article,chen gong zhong chen zhang wu yang,1997,the role of microvascular permeability in the mechanism for stunned myocardium in rats,54,3,214-220,the microvascular permeability of stunned myocardium in rats in vivo was studied with fitclabeled albumin fitcbsa. it was found that 15 and 20 min of myocardial ischemia followed by 1 hr of reperfusion resulted in myocardial stunning. the concentrations of fitcbsa in myocardial tissue were 240.6 7.8 is15 and 267.4 7.9 is20 microgramsg myocardium in ischemic groups respectively which were significantly higher than those in the control group 166.0 7.9 microgramsg myocardium p 0.01. in stunned groups the concentrations were 224.8 11.8 ms15 and 241.7 6.0 ms20 microgramsg myocardium decreased from those in ischemic groups but still higher than those in control group by 35.4 and 45.6 respectively. the more significant the concentration of fitcbsa the more serious the myocardial stunning. electron microscopy revealed no significant vascular injury. the results suggest that the increase in microvascular permeability resulting from transient ischemia is functional and is involved in the pathogenesis of stunned myocardium,10.1006/mvre.1997.2032,0026-2862,https://www.ncbi.nlm.nih.gov/pubmed/9441892,md_processed,micr res,Chen J. M.Gong X. Q.Zhong J. G.Chen S. C.Zhang G. Y.Wu Z. G.Yang Y. J.,chen,the role of microvascular permeability in the mechanism for stunned,mr
source_1.bib/0000000787;source_1.bib/0000008401,8401,source_1.bib/0000008401,article,jinming xiaoqi jigen sicong guoyuan zhonggui yongji,1998,the role of microvascular permeability in the mechanism for stunned myocardium in rats,54,3,214-220,the microvascular permeability of stunned myocardium in rats in vivo was studied with fitclabeled albumin fitcbsa. it was found that 15 and 20 min of myocardial ischemia followed by 1 hr of reperfusion resulted in myocardial stunning. the concentrations of fitcbsa in myocardial tissue were 240.6 7.8 is15 and 267.4 7.9 is20 mugg myocardium in ischemic groups respectively which were significantly higher than those in the control group 166.0 7.9 mugg myocardium p 0.01. in stunned groups the concentrations were 224.8 11.8 ms15 and 241.7 6.0 ms20 mugg myocardium decreased from those in ischemic groups but still higher than those in control group by 35.4 and 45.6 respectively. the more significant the concentration of fitcbsa the more serious the myocardial stunning. electron microscopy revealed no significant vascular injury. the results suggest that the increase in microvascular permeability resulting from transient ischemia is functional and is involved in the pathogenesis of stunned myocardium,10.1006/mvre.1997.2032,0026-2862,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed4&AN=1998045402http://sfx.ubn.ru.nl/sfx_local?sid=OVID:embase&id=pmid:&id=doi:10.1006%2Fmvre.1997.2032&issn=0026-2862&isbn=&volume=54&issue=3&spage=214&pages=214-220&date=1998&title=Microvascular+Research&atitle=The+role+of+microvascular+permeability+in+the+mechanism+for+stunned+myocardium+in+rats&aulast=Jin-Ming&pid=%3Cauthor%3EJin-Ming+C.%3BXiao-Qi+G.%3BJi-Gen+Z.%3BSi-Cong+C.%3BGuo-Yuan+Z.%3BZhong-Gui+W.%3BYong-Ji+Y.%3C%2Fauthor%3E%3CAN%3E1998045402%3C%2FAN%3E%3CDT%3EJournal%3A+Article%3C%2FDT%3Ehttp://dj9zu3kp8k.search.serialssolutions.com/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rfr_id=info:sid/Ovid:emed4&rft.genre=article&rft_id=info:doi/10.1006%2Fmvre.1997.2032&rft_id=info:pmid/&rft.issn=0026-2862&rft.volume=54&rft.issue=3&rft.spage=214&rft.pages=214-220&rft.date=1998&rft.jtitle=Microvascular+Research&rft.atitle=The+role+of+microvascular+permeability+in+the+mechanism+for+stunned+myocardium+in+rats&rft.aulast=Jin-Ming,md_processed,micr res,Jin-Ming C.Xiao-Qi G.Ji-Gen Z.Si-Cong C.Guo-Yuan Z.Zhong-Gui W.Yong-Ji Y.,jinming,the role of microvascular permeability in the mechanism for stunned,mr
source_1.bib/0000000853;source_1.bib/0000008641,853,source_1.bib/0000000853,article,cleveland wollmering meldrum rowland rehring sheridan harken banerjee,1996,ischemic preconditioning in human and rat ventricle,271,5  2,1786-1794,the signal transduction of ischemic preconditioning involves activation of endogenous receptorbased systems including alpha 1adrenoceptors and adenosine receptors. whereas preconditioning protects against ischemiareperfusion injury it is unknown whether this protective strategy might be useful clinically. furthermore human atrium has been successfully preconditioned but it is unknown whether human ventricle can be functionally protected against hypoxiareoxygenation. to study these questions isolated rat ventricle and human ventricular trabeculae were suspended in an organ bath and subjected to 30 min of hypoxia and 60 min of reoxygenation. in the rat ventricle preconditioning was induced by 5 min of rapid pacing at 3 hz in hypoxic buffer without glucose simulated ischemia alpha 1adrenoceptor stimulation phenylephrine or adenosine receptor stimulation adenosine. in the human trabeculae the effects of preceding simulated ischemia and alpha 1adrenoceptor and adenosine receptor stimulation were examined against hypoxiareoxygenation. in the rat pretreatment with simulated ischemia and alpha 1adrenoceptor and adenosine receptor stimulation improved recovery of developed tension 56 3 56 4 and 58 2 respectively compared with control trabeculae 25 2 after hypoxiareoxygenation p 0.05. in human trabeculae simulated ischemic preconditioning and alpha 1adrenoceptor and adenosine receptor stimulation augmented recovery of developed tension 65 5 59 6 and 60 3 respectively compared with control 29 2 after hypoxiareoxygenation p 0.05. we conclude that functional cardioadaptation preconditioning against hypoxiareoxygenation injury in rat and human myocardium exists and that alpha 1adrenergic and adenosine receptor signaling participate in conferring this protection,10.1152/ajpheart.1996.271.5.h1786,0002-9513,https://www.ncbi.nlm.nih.gov/pubmed/8945892,md_processed,am j phys,Cleveland J. C. Jr.Wollmering M. M.Meldrum D. R.Rowland R. T.Rehring T. F.Sheridan B. C.Harken A. H.Banerjee A.,cleveland,ischemic preconditioning in human and rat ventricle,ajp
source_1.bib/0000000853;source_1.bib/0000008641,8641,source_1.bib/0000008641,article,cleveland wollmering meldrum rowland rehring sheridan harken banerjee,1996,ischemic preconditioning in human and rat ventricle,271,5,1786-1794,the signal transduction of ischemic preconditioning involves activation of endogenous receptorbased systems including alpha 1 adrenoceptors and adenosine receptors. whereas preconditioning protects against ischemia reperfusion injury it is unknown whether this protective strategy might be useful clinically. furthermore human atrium has been successfully preconditioned but it is unknown whether human ventricle can be functionally protected against hypoxiareoxygenation. to study these questions isolated rat ventricle and human ventricular trabeculae were suspended in an organ bath and subjected to 30 min of hypoxia and 60 min of reoxygenation. in the rat ventricle preconditioning was induced by 5 min of rapid pacing at 3 hz in hypoxic buffer without glucose simulated ischemia alpha 1 adrenoceptor stimulation phenylephrine or adenosine receptor stimulation adenosine. in the human trabeculae the effects of preceding simulated ischemia and alpha 1 adrenoceptor and adenosine receptor stimulation were examined against hypoxiareoxygenation. in the rat pretreatment with simulated ischemia and alpha 1 adrenoceptor and adenosine receptor stimulation improved recovery of developed tension 56 3 56 4 and 58 2 respectively compared with control trabeculae 25 2 after hypoxiareoxygenation p 1 adrenoceptor and adenosine receptor stimulation augmented recovery of developed tension 65 5 59 6 and 60 39 respectively compared with control 29 2 after hypoxiareoxygenation p 1 adrenergic and adenosine receptor signaling participate in conferring this protection,,0363-6135,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed4&AN=1996370495http://sfx.ubn.ru.nl/sfx_local?sid=OVID:embase&id=pmid:&id=doi:&issn=0363-6135&isbn=&volume=271&issue=5+40-5&spage=H1786&pages=H1786-H1794&date=1996&title=American+Journal+of+Physiology+-+Heart+and+Circulatory+Physiology&atitle=Ischemic+preconditioning+in+human+and+rat+ventricle&aulast=Cleveland&pid=%3Cauthor%3ECleveland+Jr.+J.C.%3BWollmering+M.M.%3BMeldrum+D.R.%3BRowland+R.T.%3BRehring+T.F.%3BSheridan+B.C.%3BHarken+A.H.%3BBanerjee+A.%3C%2Fauthor%3E%3CAN%3E1996370495%3C%2FAN%3E%3CDT%3EJournal%3A+Article%3C%2FDT%3Ehttp://dj9zu3kp8k.search.serialssolutions.com/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rfr_id=info:sid/Ovid:emed4&rft.genre=article&rft_id=info:doi/&rft_id=info:pmid/&rft.issn=0363-6135&rft.volume=271&rft.issue=5+40-5&rft.spage=H1786&rft.pages=H1786-H1794&rft.date=1996&rft.jtitle=American+Journal+of+Physiology+-+Heart+and+Circulatory+Physiology&rft.atitle=Ischemic+preconditioning+in+human+and+rat+ventricle&rft.aulast=Cleveland,md_processed,amer j phys hear circ phys,Cleveland Jr J. C.Wollmering M. M.Meldrum D. R.Rowland R. T.Rehring T. F.Sheridan B. C.Harken A. H.Banerjee A.,cleveland,ischemic preconditioning in human and rat ventricle,ajphcp
source_1.bib/0000001147;source_1.bib/0000007017,1147,source_1.bib/0000001147,article,eaton hernandez schaefer,2005,ischemic preconditioning and diazoxide limit mitochondrial ca overload during ischemia reperfusion role of reactive oxygen species,10,2,96-103,background generation of reactive oxygen species ros is associated with cardioprotection imparted by ischemic preconditioning ipc and pharmacological pc ppc. the authors have previously shown that ipc or ppc using the mitochondrial atpsensitive k channel opener diazoxide dz reduce mitochondrial ca2 ca2m during ischemia and reperfusion. objectives to test the hypothesis that both ipc and ppc using dz lead to reduced ca2m and improved functional recovery via a rosdependent mechanism. methods intracellular ca2 ca2i and ca2m were measured in isolated perfused rat hearts loaded with the fluorescent indicator indo1 acetoxymethyl ester. ca2m was determined by quenching the cytosolic indo1 signal using manganese before ischemia 25 min. ipc and dz 100 mum group hearts were studied with and without the ros scavenger n2mercaptopropionyl glycine 400 mum 2mpg. results both ipc and dz significantly reduced ca2i and ca2m on reperfusion compared with the control. administration of 2mpg with washout before ischemia significantly attenuated the reduction in ca2m observed on reperfusion in both the ipc and dz groups. additionally the myocardial functional protection imparted by ipc or dz was lost with the administration of 2mpg. conclusions the ca2mreducing effect of ipc and dz was attenuated with the administration of 2mpg resulting in decreased myocardial functional performance and increased release of creatine kinase a marker of cellular injury. it can be concluded that ipc and dz impart their protective effect via a mechanism involving ros generation before the ischemic episode,,1205-6626,https://www.ncbi.nlm.nih.gov/pubmed/19641667,md_processed,exp clin card,Eaton M.Hernandez L. A.Schaefer S.,eaton,ischemic preconditioning and diazoxide limit mitochondrial ca overload during ischemia,ecc
source_1.bib/0000001147;source_1.bib/0000007017,7017,source_1.bib/0000007017,article,eaton hernandez schaefer,2005,ischemic preconditioning and diazoxide limit mitochondrial ca2 overload during ischemia reperfusion role of reactive oxygen species,10,2,96-103,background generation of reactive oxygen species ros is associated with cardioprotection imparted by ischemic preconditioning ipc and pharmacological pc ppc. the authors have previously shown that ipc or ppc using the mitochondrial atpsensitive k channel opener diazoxide dz reduce mitochondrial ca 2 ca 2 m during ischemia and reperfusion. objectives to test the hypothesis that both pc and ppc using dz lead to reduced ca 2 m and improved functional recovery via a rosdependent mechanism. methods intracellular ca 2 ca 2 i and ca 2 m were measured in isolated perfused rat hearts loaded with the fluorescent indicator indo1 acetoxymethyl ester. ca 2 m was determined by quenching the cytosolic indo1 signal using manganese before ischemia 25 min. ipc and dz 100 mum group hearts were studied with and without the ros scavenger n2mercaptopropionyl glycine 400 mum 2mpg. results both ipc and dz significantly reduced ca 2 i and ca 2 m on reperfusion compared with the control. administration of 2mpg with washout before ischemia significantly attenuated the reduction in ca 2 m observed on reperfusion in both the ipc and dz groups. additionally the myocardial functional protection imparted by ipc or dz was lost with the administration of 2mpg. conclusions the ca 2 m reducing effect of ipc and dz was attenuated with the administration of 2mpg resulting in decreased myocardial functional performance and increased release of creatine kinase a marker of cellular injury. it can be concluded that ipc and dz impart their protective effect via a mechanism involving ros generation before the ischemic episode. 2005 pulsus group inc. all rights reserved,,1205-6626,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed7&AN=2005313934http://sfx.ubn.ru.nl/sfx_local?sid=OVID:embase&id=pmid:&id=doi:&issn=1205-6626&isbn=&volume=10&issue=2&spage=96&pages=96-103&date=2005&title=Experimental+and+Clinical+Cardiology&atitle=Ischemic+preconditioning+and+diazoxide+limit+mitochondrial+Ca2%2B+overload+during+ischemia%2Freperfusion%3A+Role+of+reactive+oxygen+species&aulast=Eaton&pid=%3Cauthor%3EEaton+M.%3BHernandez+L.A.%3BSchaefer+S.%3C%2Fauthor%3E%3CAN%3E2005313934%3C%2FAN%3E%3CDT%3EJournal%3A+Article%3C%2FDT%3Ehttp://dj9zu3kp8k.search.serialssolutions.com/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rfr_id=info:sid/Ovid:emed7&rft.genre=article&rft_id=info:doi/&rft_id=info:pmid/&rft.issn=1205-6626&rft.volume=10&rft.issue=2&rft.spage=96&rft.pages=96-103&rft.date=2005&rft.jtitle=Experimental+and+Clinical+Cardiology&rft.atitle=Ischemic+preconditioning+and+diazoxide+limit+mitochondrial+Ca2%2B+overload+during+ischemia%2Freperfusion%3A+Role+of+reactive+oxygen+species&rft.aulast=Eaton,md_processed,exp clin card,Eaton M.Hernandez L. A.Schaefer S.,eaton,ischemic preconditioning and diazoxide limit mitochondrial ca2 overload during ischemia,ecc
source_1.bib/0000001393;source_1.bib/0000005530,1393,source_1.bib/0000001393,article,gomez paillard price chen teixeira spiegel lesnefsky,2011,a novel role for mitochondrial sphingosine 1 phosphate produced by sphingosine kinase 2 in ptp mediated cell survival during cardioprotection,106,6,1341-1353,although mitochondria are key determinants of myocardial injury during ischemiareperfusion ir their interaction with critical cytoprotective signaling systems is not fully understood. sphingosine1phosphate s1p produced by sphingosine kinase1 protects the heart from ir damage. recently a new role for mitochondrial s1p produced by a second isoform of sphingosine kinase sphk2 was described to regulate complex iv assembly and respiration via interaction with mitochondrial prohibitin2. here we investigated the role of sphk2 in cardioprotection by preconditioning. littermate wt and sphk2 mice underwent 45 min of in vivo ischemia and 24 h reperfusion. mice received no intervention ir or preconditioning pc via 5 min ir before the index ischemia. despite the activation of pccytoprotective signaling pathways in both groups infarct size in sphk2 mice was not reduced by pc 42 3 pc vs. 43 4 ir p ns versus wt 24 3 pc vs. 43 3 ir p 0.05. sphk2 mitochondria exhibited decreased oxidative phosphorylation and increased susceptibility to permeability transition ptp. unlike wt pc did not prevent ischemic damage to electron transport or the increased susceptibility to ptp. to evaluate the direct contribution to the resistance of mitochondria to cytoprotection sphk2 phb2 or cytochrome oxidase subunit iv was depleted in cardiomyoblasts. pc protection was abolished by each knockdown concomitant with decreased ptp resistance. these results point to a new action of s1p in cardioprotection and suggest that the mitochondrial s1p produced by sphk2 is required for the downstream protective modulation of ptp as an effector of preconditioning protection,10.1007/s00395-011-0223-7,1435-1803,https://www.ncbi.nlm.nih.gov/pubmed/22002221,md_processed,basi res card,Gomez L.Paillard M.Price M.Chen Q.Teixeira G.Spiegel S.Lesnefsky E. J.,gomez,a novel role for mitochondrial sphingosine 1 phosphate produced by,brc
source_1.bib/0000001393;source_1.bib/0000005530,5530,source_1.bib/0000005530,article,gomez paillard price chen teixeira spiegel lesnefsky,2011,a novel role for sphingosine kinase 2 in ptp mediated cell survival during cardioprotection,1,6,1341-1353,rationale although mitochondria are key determinants of myocardial injury during ischemiareperfusion ir their interaction with critical cytoprotective signaling systems is not fully understood. activation of sphingosine kinase1 protects the heart from ir damage. a second isoform of sphingosine kinase sphingosine kinase2 sphk2 was described in the regulation of complex iv assembly and mitochondrial respiration via interaction with mitochondrial prohibitin2 phb2. objective in this study we investigated the role of mitochondrial sphk2 in ir injury. methods and results littermate wt and sphk2 mice underwent 45 minutes of in vivo ischemia and 24 hours reperfusion. mice received no intervention ir or preconditioning pc via 5 minutes ir before the index ischemia. despite the activation of pccytoprotective pathways phosphorylation of erk12 akt stat3 and gsk3beta in both groups infarct size in sphk2 mice was not reduced by pc 423 pc vs. 434 ir pns vs. wt 243 pc vs. 433 ir p0.05. sphk2 mitochondria had decreased oxidative phosphorylation and increased susceptibility to permeability transition ptp. unlike wt pc did not prevent ischemic damage to electron transport nor the increased susceptibility to ptp. to evaluate the direct contribution to the resistance of mitochondria to cytoprotection sphk2 phb2 or cox iv were depleted in cardiomyoblasts. pc protection was abolished by each knockdown with decreased ptp resistance. conclusions sphk2 is required for the downstream protective modulation of ptp as an effector of pc protection. direct or indirect defect in cox iv renders mitochondria resistant to cardioprotective modulation by upstream cytoprotective kinase cascades,10.1007/s00395-011-0223-7,0009-7322,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed10&AN=70620184http://sfx.ubn.ru.nl/sfx_local?sid=OVID:embase&id=pmid:&id=doi:&issn=0009-7322&isbn=&volume=124&issue=21+SUPPL.+1&spage=&pages=&date=2011&title=Circulation&atitle=A+novel+role+for+sphingosine+kinase-2+in+PTP-mediated+cell+survival+during+cardioprotection&aulast=Gomez&pid=%3Cauthor%3EGomez+L.%3BPaillard+M.%3BPrice+M.%3BChen+Q.%3BTeixeira+G.%3BSpiegel+S.%3BLesnefsky+E.%3C%2Fauthor%3E%3CAN%3E70620184%3C%2FAN%3E%3CDT%3EJournal%3A+Conference+Abstract%3C%2FDT%3Ehttp://dj9zu3kp8k.search.serialssolutions.com/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rfr_id=info:sid/Ovid:emed10&rft.genre=article&rft_id=info:doi/&rft_id=info:pmid/&rft.issn=0009-7322&rft.volume=124&rft.issue=21+SUPPL.+1&rft.spage=&rft.pages=&rft.date=2011&rft.jtitle=Circulation&rft.atitle=A+novel+role+for+sphingosine+kinase-2+in+PTP-mediated+cell+survival+during+cardioprotection&rft.aulast=Gomez,md_processed,circ,Gomez L.Paillard M.Price M.Chen Q.Teixeira G.Spiegel S.Lesnefsky E.,gomez,a novel role for sphingosine kinase 2 in ptp mediated,c
source_1.bib/0000002119;source_1.bib/0000006838,2119,source_1.bib/0000002119,article,koo park lim kim,2006,amiodarone offsets the cardioprotective effects of ischaemic preconditioning against ischaemia reperfusion injury,34,2,140-151,both ischaemic preconditioning ipc and amiodarone protect against myocardial ischaemia. we examined whether a combination of ipc and amiodarone demonstrated an additive protective effect in isolated rat hearts n 40. the controls group i were subjected to ischaemia reperfusion injury group ii was subjected to cycles of ipc prior to ischaemia reperfusion injury group iii was subjected to ischaemia in the presence of amiodarone 1010 mol1 and group iv was subjected to ipc followed by ischaemia in the presence of amiodarone 1010 moll. amiodarone produced the best preserved left ventricular endsystolic pressure and dpdtmax less developed ventricular stiffness the shortest arrhythmia duration and the smallest infarct size among the groups. all of the myocardial protective effects against ischaemiareperfusion injury were diminished or abolished when ipc and amiodarone were applied sequentially,10.1177/147323000603400203,0300-0605,https://www.ncbi.nlm.nih.gov/pubmed/16749409,md_processed,j int med res,Koo E. H.Park Y. C.Lim S. H.Kim H. Z.,koo,amiodarone offsets the cardioprotective effects of ischaemic preconditioning against ischaemia,jimr
source_1.bib/0000002119;source_1.bib/0000006838,6838,source_1.bib/0000006838,article,koo park lim kim,2006,amiodarone offsets the cardioprotective effects of ishaemic preconditioning against ischaemia reperfusion injury,34,2,140-151,both ischaemic preconditioning ipc and amiodarone protect against myocardial ischaemia. we examined whether a combination of ipc and amiodarone demonstrated an additive protective effect in isolated rat hearts n 40. the controls group i were subjected to ischaemia reperfusion injury group ii was subjected to cycles of ipc prior to ischaemiareperfusion injury group iii was subjected to ischaemia in the presence of amiodarone 10 10 moll and group iv was subjected to ipc followed by ischaemia in the presence of amiodarone 10 10 moll. amiodarone produced the best preserved left ventricular endsystolic pressure and dpdt max less developed ventricular stiffness the shortest arrhythmia duration and the smallest infarct size among the groups. all of the myocardial protective effects against ischaemia reperfusion injury were diminished or abolished when ipc and amiodarone were applied sequentially,,0300-0605,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed7&AN=2006243575http://sfx.ubn.ru.nl/sfx_local?sid=OVID:embase&id=pmid:&id=doi:&issn=0300-0605&isbn=&volume=34&issue=2&spage=140&pages=140-151&date=2006&title=Journal+of+International+Medical+Research&atitle=Amiodarone+offsets+the+cardioprotective+effects+of+ishaemic+preconditioning+against+ischaemia%2Freperfusion+injury&aulast=Koo&pid=%3Cauthor%3EKoo+E.H.%3BPark+Y.C.%3BLim+S.H.%3BKim+H.Z.%3C%2Fauthor%3E%3CAN%3E2006243575%3C%2FAN%3E%3CDT%3EJournal%3A+Article%3C%2FDT%3Ehttp://dj9zu3kp8k.search.serialssolutions.com/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rfr_id=info:sid/Ovid:emed7&rft.genre=article&rft_id=info:doi/&rft_id=info:pmid/&rft.issn=0300-0605&rft.volume=34&rft.issue=2&rft.spage=140&rft.pages=140-151&rft.date=2006&rft.jtitle=Journal+of+International+Medical+Research&rft.atitle=Amiodarone+offsets+the+cardioprotective+effects+of+ishaemic+preconditioning+against+ischaemia%2Freperfusion+injury&rft.aulast=Koo,md_processed,j inte medi rese,Koo E. H.Park Y. C.Lim S. H.Kim H. Z.,koo,amiodarone offsets the cardioprotective effects of ishaemic preconditioning against ischaemia,jimr
