merged_origins
"['source_1.bib/0000001658', 'source_1.bib/0000007880']"
"['source_1.bib/0000002255', 'source_1.bib/0000008987']"
"['source_1.bib/0000001059', 'source_1.bib/0000008039']"
"['source_1.bib/0000003116', 'source_1.bib/0000007406']"
"['source_1.bib/0000000332', 'source_1.bib/0000007071']"
"['source_1.bib/0000000409', 'source_1.bib/0000006912', 'source_1.bib/0000007037']"
"['source_1.bib/0000002034', 'source_1.bib/0000008638']"
"['source_1.bib/0000004185', 'source_1.bib/0000006779']"
"['source_1.bib/0000004237', 'source_1.bib/0000007122', 'source_1.bib/0000007230']"
"['source_1.bib/0000000672', 'source_1.bib/0000006695', 'source_1.bib/0000006719']"
"['source_1.bib/0000002156', 'source_1.bib/0000006033']"
"['source_1.bib/0000002828', 'source_1.bib/0000008026']"
"['source_1.bib/0000004120', 'source_1.bib/0000007914', 'source_1.bib/0000008024']"
"['source_1.bib/0000004463', 'source_1.bib/0000008345']"
"['source_1.bib/0000003613', 'source_1.bib/0000008613', 'source_1.bib/0000008709']"
"['source_1.bib/0000004440', 'source_1.bib/0000008076', 'source_1.bib/0000008192']"
"['source_1.bib/0000003136', 'source_1.bib/0000007370']"
"['source_1.bib/0000001117', 'source_1.bib/0000005462']"
"['source_1.bib/0000002795', 'source_1.bib/0000008703']"
"['source_1.bib/0000004498', 'source_1.bib/0000008965']"
"['source_1.bib/0000003982', 'source_1.bib/0000008106']"
"['source_1.bib/0000002424', 'source_1.bib/0000006943']"
"['source_1.bib/0000004345', 'source_1.bib/0000008779']"
"['source_1.bib/0000002608', 'source_1.bib/0000006832']"
"['source_1.bib/0000002027', 'source_1.bib/0000005110']"
"['source_1.bib/0000001651', 'source_1.bib/0000006319']"
"['source_1.bib/0000004338', 'source_1.bib/0000005621']"
"['source_1.bib/0000001393', 'source_1.bib/0000005316']"
"['source_1.bib/0000004523', 'source_1.bib/0000005936', 'source_1.bib/0000006012']"
"['source_1.bib/0000001226', 'source_1.bib/0000005252']"
"['source_1.bib/0000002813', 'source_1.bib/0000006890']"
"['source_1.bib/0000003790', 'source_1.bib/0000008202']"
"['source_1.bib/0000003190', 'source_1.bib/0000009199', 'source_1.bib/0000009201']"
"['source_1.bib/0000001534', 'source_1.bib/0000005638']"
"['source_1.bib/0000006225', 'source_1.bib/0000006282']"
"['source_1.bib/0000003672', 'source_1.bib/0000006827']"
"['source_1.bib/0000000802', 'source_1.bib/0000008834']"
"['source_1.bib/0000001119', 'source_1.bib/0000006211']"
"['source_1.bib/0000004441', 'source_1.bib/0000008027']"
"['source_1.bib/0000002571', 'source_1.bib/0000009036']"
"['source_1.bib/0000000281', 'source_1.bib/0000009159']"
"['source_1.bib/0000001879', 'source_1.bib/0000006533']"
"['source_1.bib/0000004146', 'source_1.bib/0000004867', 'source_1.bib/0000005461']"
"['source_1.bib/0000000816', 'source_1.bib/0000005643']"
"['source_1.bib/0000001250', 'source_1.bib/0000009063']"
"['source_1.bib/0000002916', 'source_1.bib/0000008608', 'source_1.bib/0000008657']"
"['source_1.bib/0000002917', 'source_1.bib/0000008776', 'source_1.bib/0000008839']"
"['source_1.bib/0000002702', 'source_1.bib/0000004901', 'source_1.bib/0000005361']"
"['source_1.bib/0000004477', 'source_1.bib/0000005349', 'source_1.bib/0000005411']"
"['source_1.bib/0000001437', 'source_1.bib/0000005341']"
"['source_1.bib/0000000581', 'source_1.bib/0000007501']"
"['source_1.bib/0000001015', 'source_1.bib/0000007496']"
"['source_1.bib/0000002472', 'source_1.bib/0000007180']"
"['source_1.bib/0000004040', 'source_1.bib/0000008954']"
"['source_1.bib/0000000684', 'source_1.bib/0000008855']"
"['source_1.bib/0000004042', 'source_1.bib/0000009054']"
"['source_1.bib/0000003879', 'source_1.bib/0000005932', 'source_1.bib/0000006026']"
"['source_1.bib/0000003515', 'source_1.bib/0000007282']"
"['source_1.bib/0000000556', 'source_1.bib/0000007609']"
"['source_1.bib/0000001526', 'source_1.bib/0000007032']"
"['source_1.bib/0000000868', 'source_1.bib/0000007749']"
"['source_1.bib/0000004500', 'source_1.bib/0000009018']"
"['source_1.bib/0000003972', 'source_1.bib/0000004767']"
"['source_1.bib/0000003856', 'source_1.bib/0000007876']"
"['source_1.bib/0000000862', 'source_1.bib/0000006418']"
"['source_1.bib/0000002311', 'source_1.bib/0000006332']"
"['source_1.bib/0000004216', 'source_1.bib/0000006426']"
"['source_1.bib/0000001064', 'source_1.bib/0000005605']"
"['source_1.bib/0000002981', 'source_1.bib/0000008762']"
"['source_1.bib/0000002115', 'source_1.bib/0000009186']"
"['source_1.bib/0000002992', 'source_1.bib/0000008021']"
"['source_1.bib/0000002008', 'source_1.bib/0000004982']"
"['source_1.bib/0000002476', 'source_1.bib/0000005507']"
"['source_1.bib/0000004126', 'source_1.bib/0000007710']"
"['source_1.bib/0000001336', 'source_1.bib/0000006475', 'source_1.bib/0000006554']"
"['source_1.bib/0000003557', 'source_1.bib/0000007384']"
"['source_1.bib/0000004497', 'source_1.bib/0000008904']"
"['source_1.bib/0000002709', 'source_1.bib/0000006911', 'source_1.bib/0000006929']"
"['source_1.bib/0000003162', 'source_1.bib/0000006416']"
"['source_1.bib/0000004642', 'source_1.bib/0000005595']"
"['source_1.bib/0000004454', 'source_1.bib/0000008486']"
"['source_1.bib/0000004347', 'source_1.bib/0000005615', 'source_1.bib/0000005676']"
"['source_1.bib/0000002947', 'source_1.bib/0000008594']"
"['source_1.bib/0000000669', 'source_1.bib/0000005772']"
"['source_1.bib/0000002395', 'source_1.bib/0000007693']"
"['source_1.bib/0000004260', 'source_1.bib/0000008128']"
"['source_1.bib/0000003625', 'source_1.bib/0000007313']"
"['source_1.bib/0000003865', 'source_1.bib/0000008084']"
"['source_1.bib/0000003345', 'source_1.bib/0000006388']"
"['source_1.bib/0000003367', 'source_1.bib/0000005127']"
"['source_1.bib/0000002497', 'source_1.bib/0000005922', 'source_1.bib/0000006036']"
"['source_1.bib/0000002568', 'source_1.bib/0000007837']"
"['source_1.bib/0000001165', 'source_1.bib/0000005383']"
"['source_1.bib/0000002475', 'source_1.bib/0000005475']"
"['source_1.bib/0000003848', 'source_1.bib/0000004924']"
"['source_1.bib/0000003638', 'source_1.bib/0000007826']"
"['source_1.bib/0000002164', 'source_1.bib/0000007755']"
"['source_1.bib/0000000649', 'source_1.bib/0000005366']"
"['source_1.bib/0000004399', 'source_1.bib/0000007962']"
"['source_1.bib/0000000470', 'source_1.bib/0000007078']"
"['source_1.bib/0000004035', 'source_1.bib/0000006432']"
"['source_1.bib/0000000365', 'source_1.bib/0000006762']"
"['source_1.bib/0000000934', 'source_1.bib/0000008815']"
"['source_1.bib/0000001894', 'source_1.bib/0000006496']"
"['source_1.bib/0000001433', 'source_1.bib/0000007236']"
"['source_1.bib/0000002051', 'source_1.bib/0000008019']"
"['source_1.bib/0000003331', 'source_1.bib/0000007999']"
"['source_1.bib/0000002147', 'source_1.bib/0000007887']"
"['source_1.bib/0000001980', 'source_1.bib/0000008326']"
"['source_1.bib/0000000698', 'source_1.bib/0000006992']"
"['source_1.bib/0000003850', 'source_1.bib/0000008955']"
"['source_1.bib/0000003072', 'source_1.bib/0000008842']"
"['source_1.bib/0000003399', 'source_1.bib/0000007766']"
"['source_1.bib/0000000738', 'source_1.bib/0000008540']"
"['source_1.bib/0000003687', 'source_1.bib/0000005314']"
"['source_1.bib/0000002998', 'source_1.bib/0000005911', 'source_1.bib/0000005946']"
"['source_1.bib/0000003073', 'source_1.bib/0000008862']"
"['source_1.bib/0000003141', 'source_1.bib/0000004834']"
"['source_1.bib/0000000830', 'source_1.bib/0000005438']"
"['source_1.bib/0000004701', 'source_1.bib/0000008835']"
"['source_1.bib/0000004165', 'source_1.bib/0000007739']"
"['source_1.bib/0000000416', 'source_1.bib/0000008134']"
"['source_1.bib/0000002135', 'source_1.bib/0000008295']"
"['source_1.bib/0000002604', 'source_1.bib/0000006699']"
"['source_1.bib/0000002860', 'source_1.bib/0000007851']"
"['source_1.bib/0000003957', 'source_1.bib/0000006326']"
"['source_1.bib/0000001787', 'source_1.bib/0000007495']"
"['source_1.bib/0000000944', 'source_1.bib/0000008017']"
"['source_1.bib/0000000943', 'source_1.bib/0000008028']"
"['source_1.bib/0000003468', 'source_1.bib/0000006510']"
"['source_1.bib/0000003539', 'source_1.bib/0000007123', 'source_1.bib/0000007178']"
"['source_1.bib/0000003979', 'source_1.bib/0000007653']"
"['source_1.bib/0000002167', 'source_1.bib/0000007650']"
"['source_1.bib/0000000430', 'source_1.bib/0000008977', 'source_1.bib/0000009022']"
"['source_1.bib/0000002161', 'source_1.bib/0000007124', 'source_1.bib/0000007162']"
"['source_1.bib/0000002824', 'source_1.bib/0000007796']"
"['source_1.bib/0000004190', 'source_1.bib/0000007295']"
"['source_1.bib/0000002817', 'source_1.bib/0000008910']"
"['source_1.bib/0000003325', 'source_1.bib/0000008861']"
"['source_1.bib/0000001689', 'source_1.bib/0000008935']"
"['source_1.bib/0000003673', 'source_1.bib/0000008856']"
"['source_1.bib/0000002337', 'source_1.bib/0000008992']"
"['source_1.bib/0000002684', 'source_1.bib/0000008457']"
"['source_1.bib/0000001422', 'source_1.bib/0000008528']"
"['source_1.bib/0000003166', 'source_1.bib/0000007772']"
"['source_1.bib/0000001284', 'source_1.bib/0000008469']"
"['source_1.bib/0000000523', 'source_1.bib/0000008896']"
"['source_1.bib/0000002060', 'source_1.bib/0000007951']"
"['source_1.bib/0000003611', 'source_1.bib/0000004996']"
"['source_1.bib/0000001367', 'source_1.bib/0000006996']"
"['source_1.bib/0000001971', 'source_1.bib/0000007399']"
"['source_1.bib/0000000465', 'source_1.bib/0000005977']"
"['source_1.bib/0000004070', 'source_1.bib/0000008322']"
"['source_1.bib/0000003755', 'source_1.bib/0000007812']"
"['source_1.bib/0000002650', 'source_1.bib/0000008263']"
"['source_1.bib/0000002649', 'source_1.bib/0000008343']"
"['source_1.bib/0000002647', 'source_1.bib/0000008200']"
"['source_1.bib/0000002646', 'source_1.bib/0000007852']"
"['source_1.bib/0000004657', 'source_1.bib/0000007841']"
"['source_1.bib/0000003123', 'source_1.bib/0000007380']"
"['source_1.bib/0000001128', 'source_1.bib/0000006501']"
"['source_1.bib/0000003770', 'source_1.bib/0000007103']"
"['source_1.bib/0000002293', 'source_1.bib/0000007927']"
"['source_1.bib/0000000899', 'source_1.bib/0000006082']"
"['source_1.bib/0000001510', 'source_1.bib/0000008691']"
"['source_1.bib/0000003396', 'source_1.bib/0000006642']"
"['source_1.bib/0000000850', 'source_1.bib/0000004979']"
"['source_1.bib/0000001267', 'source_1.bib/0000009221']"
"['source_1.bib/0000002252', 'source_1.bib/0000006577']"
"['source_1.bib/0000004688', 'source_1.bib/0000005616']"
"['source_1.bib/0000004667', 'source_1.bib/0000004780', 'source_1.bib/0000004872']"
"['source_1.bib/0000001735', 'source_1.bib/0000005327']"
"['source_1.bib/0000001677', 'source_1.bib/0000007504', 'source_1.bib/0000007578']"
"['source_1.bib/0000001804', 'source_1.bib/0000009092']"
"['source_1.bib/0000001229', 'source_1.bib/0000007982']"
"['source_1.bib/0000002619', 'source_1.bib/0000007820']"
"['source_1.bib/0000002764', 'source_1.bib/0000008332']"
"['source_1.bib/0000002089', 'source_1.bib/0000005610', 'source_1.bib/0000005635']"
"['source_1.bib/0000000889', 'source_1.bib/0000004922']"
"['source_1.bib/0000003647', 'source_1.bib/0000007630']"
"['source_1.bib/0000004622', 'source_1.bib/0000007724', 'source_1.bib/0000007884']"
"['source_1.bib/0000004039', 'source_1.bib/0000008930']"
"['source_1.bib/0000002066', 'source_1.bib/0000008952']"
"['source_1.bib/0000004009', 'source_1.bib/0000008853']"
"['source_1.bib/0000003420', 'source_1.bib/0000006920', 'source_1.bib/0000007097']"
"['source_1.bib/0000003226', 'source_1.bib/0000006474']"
"['source_1.bib/0000003355', 'source_1.bib/0000008707']"
"['source_1.bib/0000003946', 'source_1.bib/0000007595']"
"['source_1.bib/0000000480', 'source_1.bib/0000008932']"
"['source_1.bib/0000002713', 'source_1.bib/0000006877']"
"['source_1.bib/0000002683', 'source_1.bib/0000008525']"
"['source_1.bib/0000001773', 'source_1.bib/0000008702']"
"['source_1.bib/0000001096', 'source_1.bib/0000007308']"
"['source_1.bib/0000000700', 'source_1.bib/0000005235']"
"['source_1.bib/0000003385', 'source_1.bib/0000007651']"
"['source_1.bib/0000002325', 'source_1.bib/0000005315']"
"['source_1.bib/0000003893', 'source_1.bib/0000008255']"
"['source_1.bib/0000001118', 'source_1.bib/0000006069']"
"['source_1.bib/0000003497', 'source_1.bib/0000006778']"
"['source_1.bib/0000004551', 'source_1.bib/0000008280']"
"['source_1.bib/0000004248', 'source_1.bib/0000007904']"
"['source_1.bib/0000004428', 'source_1.bib/0000005721']"
"['source_1.bib/0000002530', 'source_1.bib/0000005743']"
"['source_1.bib/0000003801', 'source_1.bib/0000006651']"
"['source_1.bib/0000001862', 'source_1.bib/0000004853']"
"['source_1.bib/0000003472', 'source_1.bib/0000007995']"
"['source_1.bib/0000001533', 'source_1.bib/0000008973', 'source_1.bib/0000008989']"
"['source_1.bib/0000001726', 'source_1.bib/0000008227']"
"['source_1.bib/0000001365', 'source_1.bib/0000005129', 'source_1.bib/0000005154']"
"['source_1.bib/0000002773', 'source_1.bib/0000008413', 'source_1.bib/0000008452']"
"['source_1.bib/0000002119', 'source_1.bib/0000006838']"
"['source_1.bib/0000002803', 'source_1.bib/0000008125']"
"['source_1.bib/0000002638', 'source_1.bib/0000008251', 'source_1.bib/0000008354']"
"['source_1.bib/0000004438', 'source_1.bib/0000007810']"
"['source_1.bib/0000001659', 'source_1.bib/0000005710']"
"['source_1.bib/0000003753', 'source_1.bib/0000005339']"
"['source_1.bib/0000001255', 'source_1.bib/0000007556']"
"['source_1.bib/0000002398', 'source_1.bib/0000008606', 'source_1.bib/0000008720']"
"['source_1.bib/0000002509', 'source_1.bib/0000006903', 'source_1.bib/0000006961']"
"['source_1.bib/0000001511', 'source_1.bib/0000008918']"
"['source_1.bib/0000002096', 'source_1.bib/0000007763']"
"['source_1.bib/0000003386', 'source_1.bib/0000007571']"
"['source_1.bib/0000001040', 'source_1.bib/0000006548']"
"['source_1.bib/0000000781', 'source_1.bib/0000006392']"
"['source_1.bib/0000001988', 'source_1.bib/0000006371']"
"['source_1.bib/0000000350', 'source_1.bib/0000006775']"
"['source_1.bib/0000002954', 'source_1.bib/0000007398']"
"['source_1.bib/0000001991', 'source_1.bib/0000007355']"
"['source_1.bib/0000003378', 'source_1.bib/0000007110']"
"['source_1.bib/0000002956', 'source_1.bib/0000007652']"
"['source_1.bib/0000000741', 'source_1.bib/0000008481']"
"['source_1.bib/0000001310', 'source_1.bib/0000007266']"
"['source_1.bib/0000002429', 'source_1.bib/0000005130']"
"['source_1.bib/0000000373', 'source_1.bib/0000007260']"
"['source_1.bib/0000003582', 'source_1.bib/0000008441']"
"['source_1.bib/0000001769', 'source_1.bib/0000007697']"
"['source_1.bib/0000000970', 'source_1.bib/0000006707']"
"['source_1.bib/0000004096', 'source_1.bib/0000004973']"
"['source_1.bib/0000001823', 'source_1.bib/0000007848']"
"['source_1.bib/0000003189', 'source_1.bib/0000008759']"
"['source_1.bib/0000001975', 'source_1.bib/0000005734']"
"['source_1.bib/0000003274', 'source_1.bib/0000008652']"
"['source_1.bib/0000000786', 'source_1.bib/0000006562']"
"['source_1.bib/0000004225', 'source_1.bib/0000006092']"
"['source_1.bib/0000000493', 'source_1.bib/0000007096']"
"['source_1.bib/0000001248', 'source_1.bib/0000008639']"
"['source_1.bib/0000002305', 'source_1.bib/0000006425']"
"['source_1.bib/0000003799', 'source_1.bib/0000006954']"
"['source_1.bib/0000001115', 'source_1.bib/0000007221']"
"['source_1.bib/0000004134', 'source_1.bib/0000009097']"
"['source_1.bib/0000002253', 'source_1.bib/0000008731']"
"['source_1.bib/0000002615', 'source_1.bib/0000007104']"
"['source_1.bib/0000001696', 'source_1.bib/0000005625', 'source_1.bib/0000005742']"
