"ID","title","year","author","pages","volume","number","ENTRYTYPE","journal"
"id_0000001","Comparison of human papillomavirus distribution in cytologic subgroups of low-grade squamous intraepithelial lesion",2006,"Zuna, R E and Wang, S S and Schiffman, M and Solomon, D","288-297",108,,"article","Cancer"
"id_0000002","Comparison of human papillomavirus distribution in cytologic subgroups of low-grade squamous intraepithelial lesion",2006,"Zuna, R E and Wang, S S and Schiffman, M and Solomon, D","288-297",108,,"article","Cancer"
"id_0000003","Comparison of human papillomavirus distribution in cytologic subgroups of low-grade squamous intraepithelial lesion",2006,"Zuna, R E and Wang, S S and Schiffman, M and Solomon, D","288-297",108,,"article","Cancer"
"id_0000004","Determinants of human papillomavirus-negative, low-grade squamous intraepithelial lesions in the atypical squamous cells of undetermined significance/low-grade squamous intraepithelial lesions triage ",2005,"Zuna, R E and Wang, S S and Rosenthal, D L and Jeronimo, J and Schiffman, M and Solomon, D and Group, ALTS","253-262",105,,"article","Cancer"
"id_0000005","Determinants of human papillomavirus-negative, low-grade squamous intraepithelial lesions in the atypical squamous cells of undetermined significance/low-grade squamous intraepithelial lesions triage ",2005,"Zuna, R E and Wang, S S and Rosenthal, D L and Jeronimo, J and Schiffman, M and Solomon, D","253-262",105,,"article","Cancer"
"id_0000006","HPV16 variant lineage, clinical stage, and survival in women with invasive cervical cancer",2011,"Zuna, R E and Tuller, E and Wentzensen, N and Mathews, C and Allen, R A and Shanesmith, R and Dunn, S T and Gold, M A and Wang, S S and Walker, J and Schiffman, M",,6,,"article","Infectious Agents and Cancer"
"id_0000007","HPV16 variant lineage, clinical stage, and survival in women with invasive cervical cancer",2011,"Zuna, R E and Tuller, E and Wentzensen, N and Mathews, C and Allen, R A and Shanesmith, R and Dunn, S T and Gold, M A and Wang, S S and Walker, J and Schiffman, M",19,6,,"article","Infectious Agents & Cancer [Electronic Resource]"
"id_0000008","HPV DNA testing of the residual sample of liquid-based Pap test: Utility as a quality assurance monitor",2001,"Zuna, R E and Moore, W and Dunn, S T","147-151",14,,"article","Modern Pathology"
"id_0000009","HPV DNA testing of the residual sample of liquid-based Pap test: utility as a quality assurance monitor",2001,"Zuna, R E and Moore, W and Dunn, S T","147-151",14,,"article","Modern Pathology"
"id_0000010","HPV testing can reduce the number of follow-up visits in women treated for cervical intraepithelial neoplasia grade 3",2003,"Zielinski, G D and Rozendaal, L and Voorhorst, F J and Berkhof, J and Snijders, P J F and Risse, E J K and Runsink, A P and de Schipper, F A and Meijer, C.J.L.M.","67-73",91,,"article","Gynecologic Oncology"
"id_0000011","HPV testing can reduce the number of follow-up visits in women treated for cervical intraepithelial neoplasia grade 3",2003,"Zielinski, G D and Rozendaal, L and Voorhorst, F J and Berkhof, J and Snijders, P J and Risse, E J and Runsink, A P and de Schipper, F A and Meijer, C J","67-73",91,,"article","Gynecologic Oncology"
"id_0000012","HPV testing and monitoring of women after treatment of CIN 3: review of the literature and meta-analysis (Provisional abstract)",2004,"Zielinski, G D and Bais, A G and Helmerhorst, T J and Verheijen, R H and de-Schipper, F A and Snijders, P J and Voorhorst, F J and van-Kemenade, F J and Rozendaal, L and Meijer, C J","543-553",59,,"article","Obstetrical and Gynecological Survey"
"id_0000013","HPV testing and monitoring of women after treatment of CIN 3: review of the literature and meta-analysis. [Review] [45 refs]",2004,"Zielinski, G D and Bais, A G and Helmerhorst, T J and Verheijen, R H and de Schipper, F A and Snijders, P J and Voorhorst, F J and van Kemenade, F J and Rozendaal, L and Meijer, C J","543-553",59,,"article","Obstetrical & Gynecological Survey"
