case,ID,ENTRYTYPE,author,year,title,volume,number,pages,abstract,doi,series,search_set,container_title,author_full
id_0000490;id_0070518,id_0000490,article,jukic carriloroa bar becker jovanovic zega binder brodski,2014,aberrant development monoaminergic neurons is implicated mood fluctuations bipolar disorder,,,409,subtle mood fluctuations are normal emotional experiences. however drastic mood swings can be a manifestation of bipolar disorder 1. despite their importance for normal and pathological behavior the mechanisms underlying endogenous mood instability are largely unknown. previously we demonstrated that the transcription factor otx2 orchestrates the genetic networks directing the specification of dopaminergic and serotonergic neurons during embryogenesis 2. here we behaviorally phenotyped mouse mutants overexpressing otx2 in the hindbrain resulting in an increased number of dopaminergic neurons and a decreased number of serotonergic neurons in both developing and mature animals. mutants showed a mixed mania and depressivelike state. manialike behavior of mutants was indicated by an increased locomotor activity in the open field t16 2.972 p 0.003 and in their home cage f 144 17.152 p 136 4.663 p 0.038 f 148 5.666 p 0.005 attenuated maniclike behavior in mutants. chronic treatments with lithium f 131 0.005 p 0.942 f 131 4.291 p 0.047 f 131 1.794 p 0.19 and carbamazepine f 135 6.732 p 0.014 f 135 7.679 p 0.009 f 135 4.696 p 0.037 ameliorated aspects of the maniclike behavior of mutants as well as their intraindividual fluctuations. behavioral alterations of mutants were also improved by the mixed serotonin receptor agonist quipazine f136 8.429 p 0.006 and the 5ht2c selective receptor agonist cp809101 f136 4.249 p 0.047. testing the relevance of the genetic networks specifying monoaminergic neurons for bipolar disorder in humans we applied an intervalbased enrichment analysis tool for genomewide association studies 3. we observed that the genes specifying dopaminergic and serotonergic neurons exhibit a significant level of aggregated association with bipolar disorder but not with schizophrenia or major depressive disorder table 1. the results of our translational study suggest that aberrant development of monoaminergic neurons leads to mood fluctuations and may be associated with bipolar disorder. table presented,,,,eur neur,JukicM.Carrilo-RoaT.BarM.BeckerG.JovanovicV.ZegaK.BinderE.B.BrodskiC.
id_0000490;id_0070518,id_0070518,article,jukic carrilloroa bar becker jovanovic zega binder brodski,2014,aberrant development monoaminergic neurons is implicated mood fluctuations bipolar disorder,,,128,the biological mechanisms underlying fluctuations in mood a hallmark of bipolar disorder are largely unknown 1. in this translational study we tested the hypothesis that aberrant development of monoaminergic neurons is involved in mood fluctuations and bipolar disorder. methods we behaviorally phenotyped mouse mutants aberrantly expressing the transcription factor otx2 which orchestrates during embryogenesis the genetic networks directing the specification of dopaminergic and serotonergic neurons 2. this mutation leads to an increased number of dopaminergic neurons and a decreased number of serotonergic neurons in both developing and mature animals. to test the relevance of the genetic networks specifying monoaminergic neurons for psychiatric disorders in humans we applied an intervalbased enrichment analysis tool for genomewide association studies 3. results over the course of a month control animals exhibited stable locomotor activity in their home cage while mutants showed extended periods of elevated or decreased activity relative to their individual average. additional behavioral paradigms testing for manic and depressivelike behavior demonstrated that mutants showed an increase in intraindividual fluctuations in locomotor activity habituation risktaking behavioral parameters social interaction and hedoniclike behavior. olanzapine lithium carbamazepine and the serotonin receptor agonists quipazine and cp809101 ameliorated behavioral alterations of mutants. human genetic studies indicated that the genes specifying dopaminergic and serotonergic neurons exhibit a significant level of aggregated association with bipolar disorder but not with schizophrenia or major depressive disorder. conclusions our results suggest that aberrant development of monoaminergic neurons leads to mood fluctuations and may be associated with bipolar disorder,,,,eur neur,JukicM.Carrillo-RoaT.BarM.BeckerG.JovanovicV.ZegaK.BinderE.B.BrodskiC.
id_0001933;id_0070663,id_0001933,article,stern,2010,addicts lose plasticity,3,128,29,,101126/scisignal3128ec201,,,sci sign,SternP.R.
id_0001933;id_0070663,id_0070663,article,stern,2010,addicts lose plasticity,,128,201,,,,,sci sign,SternP.R.
id_0002301;id_0070702,id_0002301,article,alves machadosantos mateuspinheiro patricio correia morais bessa sousa,2015,adult neuroplasticity pathological trigger recurrence depression,,,564-565,depression is a highly prevalent neuropsychiatric disorder associated with a huge rate of relapses and recurrent episodes. despite a wide number of studies focusing on the onset and the treatment of this disorder insufficient attention has been given to the events that precipitate the reappearance of depression. indeed although relevant studies have raising the importance of mechanisms of plasticity in the adult brain to understand the pathogenesis and the treatment of depression efforts may be applied to understand their involvement to trigger recurrence in depression 1. in this context it is urgent to understand the impact of recurrent exposure to depression on different behavior dimensions and the involvement of adult neuroplastic mechanisms including structural remodeling of neuronal branching as well as the importance of adult cytogenic processes neurogenesis and gliogenesis. for this purpose recurrent depression was modelling in rodents by repeated exposure to an unpredictable chronic mild stress ucms protocol. following to a first ucms protocol to induce a depressivelike state animals followed a period of recovery without stress exposure. subsequently a second stress protocol was applied to precipitate the return of a depressivelike phenotype. at the end of the experimental protocol a behavior and molecular assessment was performed. in terms of behavior different tests were applied to evaluate distinct behavior dimensions typically affected in depression namely mood anxiety and cognition 2. regarding the evaluation of adult neuroplastic mechanisms distinct markers of proliferation and differentiation of neural stem cells were analyzed. the behavior assessment has revealed that recurrent stress impacts differently on mood anxiety and cognition. moreover a putative resilience to stressinduced deficits may be related to alterations on neuronal morphology and cell genesis in the adult hippocampus a brain region known to be strongly affected by depression. we also aim to reveal the capacity of different typical antidepressants ads to counteract the reappearance of depressivelike behavior. thus subgroups of animals were initially treated with fluoxetine or imipramine which belong to different classes of ads. surprisingly distinct ads appear to be differently effective against to recurrent stress. furthermore results strongly indicate that the treatment with different ads may concede either vulnerability or resilience to exhibit a recurrent depressivelike state. additionally depending on the ad the pattern of alterations induced on the morphology and cell genesis in the dentate gyrus of the hippocampus is notably distinct. these observations reveal that the modulation of adult neuroplastic mechanisms including adult hippocampal neurogenesis and alterations on neuronal morphology could trigger further resilience or susceptibility to recurrence of depression. taken together the results of this study extend the understanding of the process of recurrence in depression particularly the involvement of adult neuroplastic mechanisms and the importance of choosing the appropriate ad having in mind its resilient capability to falling into a recurrent depressive episode,,,,eur neur,AlvesN.Machado-SantosA.Mateus-PinheiroA.PatricioP.CorreiaJ.MoraisM.BessaJ.SousaN.PintoL.
id_0002301;id_0070702,id_0070702,article,alves machadosantos mateuspinheiro patricio morais bessa sousa pinto,2015,adult neuroplasticity pathological trigger recurrence depression,,,40-41,depression is a highly prevalent neuropsychiatric disorder associated with a huge rate of relapses and recurrent episodes. despite a wide number of studies focusing on the onset and the treatment of this disorder insufficient attention has been given to the events that precipitate the reappearance of depression. indeed although relevant studies have raising the importance of mechanisms of plasticity in the adult brain to understand the pathogenesis and the treatment of depression efforts may be applied to understand their involvement to trigger recurrence in depression 1. in this context it is urgent to understand the impact of recurrent exposure to depression on different behavior dimensions and the involvement of adult neuroplastic mechanisms including structural remodeling of neuronal branching as well as the importance of adult cytogenic processes neurogenesis and gliogenesis. for this purpose recurrent depression was modelling in rodents by repeated exposure to an unpredictable chronic mild stress ucms protocol. following to a first ucms protocol to induce a depressivelike state animals followed a period of recovery without stress exposure. subsequently a second stress protocol was applied to precipitate the return of a depressivelike phenotype. at the end of the experimental protocol a behavior and molecular assessment was performed. in terms of behavior different tests were applied to evaluate distinct behavior dimensions typically affected in depression namely mood anxiety and cognition 2. regarding the evaluation of adult neuroplastic mechanisms distinct markers of proliferation and differentiation of neural stem cells were analyzed. the behavior assessment has revealed that recurrent stress impacts differently on mood anxiety and cognition. moreover a putative resilience to stressinduced deficits may be related to alterations on neuronal morphology and cell genesis in the adult hippocampus a brain region known to be strongly affected by depression. we also aim to reveal the capacity of different typical antidepressants ads to counteract the reappearance of depressivelike behavior. thus subgroups of animals were initially treated with fluoxetine or imipramine which belong to different classes of ads. surprisingly distinct ads appear to be differently effective against to recurrent stress. furthermore results strongly indicate that the treatment with different ads may concede either vulnerability or resilience to exhibit a recurrent depressivelike state. additionally depending on the ad the pattern of alterations induced on the morphology and cell genesis in the dentate gyrus of the hippocampus is notably distinct. these observations reveal that the modulation of adult neuroplastic mechanisms including adult hippocampal neurogenesis and alterations on neuronal morphology could trigger further resilience or susceptibility to recurrence of depression. taken together the results of this study extend the understanding of the process of recurrence in depression particularly the involvement of adult neuroplastic mechanisms and the importance of choosing the appropriate ad having in mind its resilient capability to falling into a recurrent depressive episode,,,,eur neur,AlvesN.D.Machado-SantosA.R.Mateus-PinheiroA.PatricioP.MoraisM.BessaJ.SousaN.PintoL.
id_0002315;id_0002316,id_0002315,article,kas krishnan gould collier olivier lesch domenici fuchs,2011,advances multidisciplinary cross species approaches examine neurobiology psychiatric disorders,,7,532-544,current approaches to dissect the molecular neurobiology of complex neuropsychiatric disorders such as schizophrenia and major depression have been rightly criticized for failing to provide benefits to patients. improving the translational potential of our efforts will require the development and refinement of better disease models that consider a wide variety of contributing factors such as genetic variation genebyenvironment interactions endophenotype or intermediate phenotype assessment cross species analysis sex differences and developmental stages. during a targeted expert meeting of the european college of neuropsychopharmacology ecnp in istanbul we addressed the opportunities and pitfalls of current translational animal models of psychiatric disorders and agreed on a series of core guidelines and recommendations that we believe will help guiding further research in this area,,,,eur neur,KasM.J.H.KrishnanV.GouldT.D.CollierD.A.OlivierB.LeschK.-P.DomeniciE.FuchsE.GrossC.CastrenE.
id_0002315;id_0002316,id_0002316,article,kas krishnan gould collier olivier lesch domenici fuchs,2012,advances multidisciplinary cross species approaches examine neurobiology psychiatric disorders,,1,9-20,current approaches to dissect the molecular neurobiology of complex neuropsychiatric disorders such as schizophrenia and major depression have been rightly criticized for failing to provide benefits to patients. improving the translational potential of our efforts will require the development and refinement of better disease models that consider a wide variety of contributing factors such as genetic variation genebyenvironment interactions endophenotype or intermediate phenotype assessment cross species analysis sex differences and developmental stages. during a targeted expert meeting of the european college of neuropsychopharmacology ecnp in istanbul we addressed the opportunities and pitfalls of current translational animal models of psychiatric disorders and agreed on a series of core guidelines and recommendations that we believe will help guiding further research in this area,,,,psiq biol,KasM.J.H.KrishnanV.GouldT.D.CollierD.A.OlivierB.LeschK.-P.DomeniciE.FuchsE.GrossC.CastrenE.
id_0003086;id_0003087,id_0003086,article,rodriguzgaztelumendi rojo pazos diaz,2009,altered cb receptor signaling prefrontal cortex animal model depression is reversed chronic fluoxetine,108,6,1423-1433,bilateral olfactory bulbectomy in the rat obx induces behavioral neurochemical and structural abnormalities similar to those observed in human depression that are normalized after chronic but not acute treatment with antidepressants. in our study obx animals exhibited significant increases in both cb1 receptor density 3hcp55490 binding and functionality stimulation of 35sgtpgammas binding by the cannabinoid cb agonist win 552122 at the prefrontal cortex pfc. after chronic treatment with fluoxetine 10 mgkgday 14 days s.c. obxinduced hyperactivity in the openfield test was fully abolished. interestingly chronic fluoxetine fully reversed the enhanced cb1receptor signaling in pfc observed following obx. the cb agonist delta9tetrahydrocannabinol 5 mgkg i.p. 1 day did not produce any behavioral effect in shamoperated animals but returned locomotor activity to control values in obx rats. as both acute administration of delta9tetrahydrocannabinol and chronic fluoxetine elicited a similar behavioral effect in the obx rat it is not unlikely that the regionally selective enhancement of cb1 receptorsignaling in the pfc could be related with the altered obx behavior. our findings reinforce the utility of this animal model to further investigating the implication of the endocannabinoid system in the modulation of emotional processes and its potential role in the adaptive responses to chronic antidepressants,101111/j1471_4159200905898x,,,j neur,Rodriguez-GaztelumendiA.RojoM.L.PazosA.DiazA.
id_0003086;id_0003087,id_0003087,article,rodriguzgaztelumendi rojo pazos diaz,2009,altered cb 1 receptor signaling prefrontal cortex animal model depression is reversed chronic fluoxetine,,6,1423-1433,bilateral olfactory bulbectomy in the rat obx induces behavioral neurochemical and structural abnormalities similar to those observed in human depression that are normalized after chronic but not acute treatment with antidepressants. in our study obx animals exhibited significant increases in both cb 1 receptor density 3hcp55490 binding and functionality stimulation of 35sgtpgammas binding by the cannabinoid cb agonist win 552122 at the prefrontal cortex pfc. after chronic treatment with fluoxetine 10 mgkgday 14 days s.c. obxinduced hyperactivity in the openfield test was fully abolished. interestingly chronic fluoxetine fully reversed the enhanced cb 1 receptor signaling in pfc observed following obx. the cb agonist delta9tetrahydrocannabinol 5 mgkg i.p. 1 day did not produce any behavioral effect in shamoperated animals but returned locomotor activity to control values in obx rats. as both acute administration of delta9tetrahydrocannabinol and chronic fluoxetine elicited a similar behavioral effect in the obx rat it is not unlikely that the regionally selective enhancement of cb 1 receptorsignaling in the pfc could be related with the altered obx behavior. our findings reinforce the utility of this animal model to further investigating the implication of the endocannabinoid system in the modulation of emotional processes and its potential role in the adaptive responses to chronic antidepressants,,,,j neur,Rodriguez-GaztelumendiA.RojoM.L.PazosA.DiazA.
