"ID","title","year","author","pages","volume","number","ENTRYTYPE","journal"
"id_0000001","New insights into postrenal transplant hemolytic uremic syndrome.",2011,"Zuber, J and Le Quintrec, M and Sberro-Soussan, R and Loirat, C and Fremeaux-Bacchi, V and Legendre, C","23-35",7,1,"article","Nat Rev Nephrol"
"id_0000002",,2011,"Zuber, J. and Le Quintrec, M. and Sberro-Soussan, R. and Loirat, C. and Fremeaux-Bacchi, V. and Legendre, C.","23-35",7,1,"article","Nat Rev Nephrol"
"id_0000003","New insights into postrenal transplant hemolytic uremic syndrome.",2011,"Zuber, J and Le Quintrec, M and Sberro-Soussan, R and Loirat, C and Fremeaux-Bacchi, V and Legendre, C","23-35",7,1,"article","Nat Rev Nephrol"
"id_0000004","Complement dysfunction in hemolytic uremic syndrome",2006,"Zipfel, P. F. and Skerka, C.","548-555",18,5,"article","Current Opinion in Rheumatology"
"id_0000005","Complement dysfunction in hemolytic uremic syndrome.",2006,"Zipfel, P. F. and Skerka, C.","548-555",18,5,"article","Current Opinion in Rheumatology"
"id_0000006","The role of defective complement control in hemolytic uremic syndrome",2006,"Zipfel, P. F. and Misselwitz, J. and Licht, C. and Skerka, C.","146-154",32,2,"article","Seminars in Thrombosis and Hemostasis"
"id_0000007","The role of defective complement control in hemolytic uremic syndrome.",2006,"Zipfel, P. F. and Misselwitz, J. and Licht, C. and Skerka, C.","146-154",32,2,"article","Seminars in Thrombosis & Hemostasis"
"id_0000008","Atypical hemolytic uremic syndrome associated with group A beta hemolytic streptococcus (multiple letters) [1]",2004,"Yildiz, B. and Kural, N. and Yarar, C. and Shepherd, A. B. and Palmer, A. L. and Baliga, R.","943-945",19,8,"article","Pediatric Nephrology."
"id_0000009","Atypical hemolytic uremic syndrome associated with group A beta hemolytic streptococcus",2004,"Yildiz, B. and Kural, N. and Yarar, C.","943-944",19,8,"article","Pediatric Nephrology"
"id_0000010","Prophylactic eculizumab prior to kidney transplantation for atypical hemolytic uremic syndrome",2011,"Weitz, M. and Amon, O. and Bassler, D. and Koenigsrainer, A. and Nadalin, S.","1325-1329",26,8,"article","Pediatric Nephrology."
"id_0000011","Prophylactic eculizumab prior to kidney transplantation for atypical hemolytic uremic syndrome",2011,"Weitz, M. and Amon, O. and Bassler, D. and Koenigsrainer, A. and Nadalin, S.","1325-1329",26,8,"article","Pediatric Nephrology"
