merged_origins
"['source_1.bib/0000000004', 'source_1.bib/0000002045']"
"['source_1.bib/0000000020', 'source_1.bib/0000001542', 'source_1.bib/0000002041']"
"['source_1.bib/0000000030', 'source_1.bib/0000002147']"
"['source_1.bib/0000000043', 'source_1.bib/0000001549']"
"['source_1.bib/0000000048', 'source_1.bib/0000002033']"
"['source_1.bib/0000000057', 'source_1.bib/0000001553', 'source_1.bib/0000002111']"
"['source_1.bib/0000000061', 'source_1.bib/0000002107']"
"['source_1.bib/0000000074', 'source_1.bib/0000002030']"
"['source_1.bib/0000000077', 'source_1.bib/0000001559']"
"['source_1.bib/0000000079', 'source_1.bib/0000002118']"
"['source_1.bib/0000000102', 'source_1.bib/0000001577']"
"['source_1.bib/0000000117', 'source_1.bib/0000002195']"
"['source_1.bib/0000000124', 'source_1.bib/0000002185']"
"['source_1.bib/0000000129', 'source_1.bib/0000001586', 'source_1.bib/0000002194']"
"['source_1.bib/0000000130', 'source_1.bib/0000001623']"
"['source_1.bib/0000000142', 'source_1.bib/0000002209']"
"['source_1.bib/0000000144', 'source_1.bib/0000002225']"
"['source_1.bib/0000000161', 'source_1.bib/0000001603']"
"['source_1.bib/0000000167', 'source_1.bib/0000002217']"
"['source_1.bib/0000000171', 'source_1.bib/0000002029']"
"['source_1.bib/0000000175', 'source_1.bib/0000001609']"
"['source_1.bib/0000000178', 'source_1.bib/0000003072']"
"['source_1.bib/0000000186', 'source_1.bib/0000001611', 'source_1.bib/0000002273', 'source_1.bib/0000003098']"
"['source_1.bib/0000000206', 'source_1.bib/0000002268']"
"['source_1.bib/0000000211', 'source_1.bib/0000002254']"
"['source_1.bib/0000000215', 'source_1.bib/0000002065']"
"['source_1.bib/0000000218', 'source_1.bib/0000002032', 'source_1.bib/0000003066']"
"['source_1.bib/0000000230', 'source_1.bib/0000002205']"
"['source_1.bib/0000000242', 'source_1.bib/0000001616']"
"['source_1.bib/0000000269', 'source_1.bib/0000002199', 'source_1.bib/0000003112']"
"['source_1.bib/0000000290', 'source_1.bib/0000002335']"
"['source_1.bib/0000000291', 'source_1.bib/0000002284']"
"['source_1.bib/0000000299', 'source_1.bib/0000001649']"
"['source_1.bib/0000000317', 'source_1.bib/0000002332']"
"['source_1.bib/0000000332', 'source_1.bib/0000001661']"
"['source_1.bib/0000000334', 'source_1.bib/0000002318']"
"['source_1.bib/0000000344', 'source_1.bib/0000002316']"
"['source_1.bib/0000000352', 'source_1.bib/0000002326']"
"['source_1.bib/0000000355', 'source_1.bib/0000002324']"
"['source_1.bib/0000000358', 'source_1.bib/0000002320', 'source_1.bib/0000003116']"
"['source_1.bib/0000000364', 'source_1.bib/0000001668']"
"['source_1.bib/0000000372', 'source_1.bib/0000002222']"
"['source_1.bib/0000000373', 'source_1.bib/0000002323']"
"['source_1.bib/0000000382', 'source_1.bib/0000002241']"
"['source_1.bib/0000000384', 'source_1.bib/0000002322']"
"['source_1.bib/0000000387', 'source_1.bib/0000001674']"
"['source_1.bib/0000000411', 'source_1.bib/0000002232']"
"['source_1.bib/0000000429', 'source_1.bib/0000002255']"
"['source_1.bib/0000000430', 'source_1.bib/0000001687', 'source_1.bib/0000002140', 'source_1.bib/0000003080']"
"['source_1.bib/0000000464', 'source_1.bib/0000003150']"
"['source_1.bib/0000000438', 'source_1.bib/0000000481', 'source_1.bib/0000001689']"
"['source_1.bib/0000000505', 'source_1.bib/0000002398']"
"['source_1.bib/0000000506', 'source_1.bib/0000001724', 'source_1.bib/0000002246', 'source_1.bib/0000003155']"
"['source_1.bib/0000000517', 'source_1.bib/0000001757']"
"['source_1.bib/0000000527', 'source_1.bib/0000001756']"
"['source_1.bib/0000000529', 'source_1.bib/0000002013', 'source_1.bib/0000002378']"
"['source_1.bib/0000000552', 'source_1.bib/0000002423']"
"['source_1.bib/0000000556', 'source_1.bib/0000002372']"
"['source_1.bib/0000000566', 'source_1.bib/0000002411']"
"['source_1.bib/0000000568', 'source_1.bib/0000002401']"
"['source_1.bib/0000000620', 'source_1.bib/0000001771', 'source_1.bib/0000002476', 'source_1.bib/0000003198']"
"['source_1.bib/0000000625', 'source_1.bib/0000002289', 'source_1.bib/0000003186']"
"['source_1.bib/0000000627', 'source_1.bib/0000002421', 'source_1.bib/0000003168']"
"['source_1.bib/0000000636', 'source_1.bib/0000002491']"
"['source_1.bib/0000000657', 'source_1.bib/0000002468']"
"['source_1.bib/0000000666', 'source_1.bib/0000002512']"
"['source_1.bib/0000000670', 'source_1.bib/0000003200']"
"['source_1.bib/0000000684', 'source_1.bib/0000001794']"
"['source_1.bib/0000000693', 'source_1.bib/0000002530']"
"['source_1.bib/0000000699', 'source_1.bib/0000002498']"
"['source_1.bib/0000000701', 'source_1.bib/0000002469']"
"['source_1.bib/0000000706', 'source_1.bib/0000002525']"
"['source_1.bib/0000000713', 'source_1.bib/0000003206']"
"['source_1.bib/0000000714', 'source_1.bib/0000001791']"
"['source_1.bib/0000000727', 'source_1.bib/0000002475']"
"['source_1.bib/0000000730', 'source_1.bib/0000002485']"
"['source_1.bib/0000000634', 'source_1.bib/0000002514']"
"['source_1.bib/0000000769', 'source_1.bib/0000002606']"
"['source_1.bib/0000000773', 'source_1.bib/0000002639']"
"['source_1.bib/0000000781', 'source_1.bib/0000002601']"
"['source_1.bib/0000000785', 'source_1.bib/0000002630']"
"['source_1.bib/0000000811', 'source_1.bib/0000002589']"
"['source_1.bib/0000000812', 'source_1.bib/0000002576']"
"['source_1.bib/0000000817', 'source_1.bib/0000002642']"
"['source_1.bib/0000000837', 'source_1.bib/0000002597']"
"['source_1.bib/0000000845', 'source_1.bib/0000002591']"
"['source_1.bib/0000000849', 'source_1.bib/0000002586']"
"['source_1.bib/0000000860', 'source_1.bib/0000001844', 'source_1.bib/0000002605']"
"['source_1.bib/0000000863', 'source_1.bib/0000002581']"
"['source_1.bib/0000000899', 'source_1.bib/0000002619']"
"['source_1.bib/0000000905', 'source_1.bib/0000003243']"
"['source_1.bib/0000000911', 'source_1.bib/0000001848', 'source_1.bib/0000003249']"
"['source_1.bib/0000000928', 'source_1.bib/0000000931', 'source_1.bib/0000001877']"
"['source_1.bib/0000000940', 'source_1.bib/0000002750']"
"['source_1.bib/0000000941', 'source_1.bib/0000002714']"
"['source_1.bib/0000000954', 'source_1.bib/0000002730']"
"['source_1.bib/0000000986', 'source_1.bib/0000002752']"
"['source_1.bib/0000000997', 'source_1.bib/0000003261']"
"['source_1.bib/0000001004', 'source_1.bib/0000001872']"
"['source_1.bib/0000001006', 'source_1.bib/0000002746']"
"['source_1.bib/0000001017', 'source_1.bib/0000002803']"
"['source_1.bib/0000001029', 'source_1.bib/0000002739', 'source_1.bib/0000003270']"
"['source_1.bib/0000001044', 'source_1.bib/0000002183']"
"['source_1.bib/0000001045', 'source_1.bib/0000002737']"
"['source_1.bib/0000001050', 'source_1.bib/0000002753']"
"['source_1.bib/0000001053', 'source_1.bib/0000001880']"
"['source_1.bib/0000001065', 'source_1.bib/0000002816']"
"['source_1.bib/0000001075', 'source_1.bib/0000002840']"
"['source_1.bib/0000001100', 'source_1.bib/0000002805']"
"['source_1.bib/0000001103', 'source_1.bib/0000002848']"
"['source_1.bib/0000001110', 'source_1.bib/0000003292']"
"['source_1.bib/0000001072', 'source_1.bib/0000001123', 'source_1.bib/0000001894']"
"['source_1.bib/0000001127', 'source_1.bib/0000001898']"
"['source_1.bib/0000001145', 'source_1.bib/0000001903']"
"['source_1.bib/0000001153', 'source_1.bib/0000001905']"
"['source_1.bib/0000001156', 'source_1.bib/0000003296']"
"['source_1.bib/0000001191', 'source_1.bib/0000002911']"
"['source_1.bib/0000001196', 'source_1.bib/0000002915', 'source_1.bib/0000003306']"
"['source_1.bib/0000001203', 'source_1.bib/0000001914']"
"['source_1.bib/0000001206', 'source_1.bib/0000002922']"
"['source_1.bib/0000001207', 'source_1.bib/0000002888']"
"['source_1.bib/0000001213', 'source_1.bib/0000002923']"
"['source_1.bib/0000001226', 'source_1.bib/0000002886']"
"['source_1.bib/0000001229', 'source_1.bib/0000002918']"
"['source_1.bib/0000001237', 'source_1.bib/0000002905', 'source_1.bib/0000003308']"
"['source_1.bib/0000001241', 'source_1.bib/0000002887']"
"['source_1.bib/0000001272', 'source_1.bib/0000002956']"
"['source_1.bib/0000001274', 'source_1.bib/0000002950']"
"['source_1.bib/0000001282', 'source_1.bib/0000003323']"
"['source_1.bib/0000001295', 'source_1.bib/0000003325']"
"['source_1.bib/0000001298', 'source_1.bib/0000002954']"
"['source_1.bib/0000001317', 'source_1.bib/0000003329']"
