case,ID,colrev_origin,title,year,author,pages,volume,number,ENTRYTYPE,colrev_status,abstract,isbn,doi,container_title,author_full
source_1.bib/0000000009;source_1.bib/0000000010,10,source_1.bib/0000000010,clinical research recombinant human ad p53 injection combined cisplatin treatment malignant pleural effusion induced lung cancer,2009,zhao wang li zhang,84-87,28,209,article,md_processed,,,,chin j canc,"Zhao, W. Z. and Wang, J. K. and Li, W. and Zhang, X. L."
source_1.bib/0000000009;source_1.bib/0000000010,9,source_1.bib/0000000009,clinical research recombinant human ad p53 injection combined cisplatin treatment malignant pleural effusion induced lung cancer,2009,zhao wang li zhang,1324-1327,28,211,article,md_processed,,,,aizh,"Zhao, Wei-Zhu and Wang, Ji-Kun and Li, Wei and Zhang, Xiu-Li"
source_1.bib/0000000010;source_1.bib/0000000011,10,source_1.bib/0000000010,clinical research recombinant human ad p53 injection combined cisplatin treatment malignant pleural effusion induced lung cancer,2009,zhao wang li zhang,84-87,28,209,article,md_processed,,,,chin j canc,"Zhao, W. Z. and Wang, J. K. and Li, W. and Zhang, X. L."
source_1.bib/0000000010;source_1.bib/0000000011,11,source_1.bib/0000000011,clinical research recombinant human ad p53 injection combined cisplatin treatment malignant pleural effusion induced lung cancer,2009,zhao wang li zhang,1324-1327,28,210,article,md_processed,,,,ai zhen aizh chin j canc,"Zhao, W. Z. and Wang, J. K. and Li, W. and Zhang, X. L."
source_1.bib/0000000045;source_1.bib/0000000046,45,source_1.bib/0000000045,"1 line treatment chronic myeloid leukemia dasatinib, nilotinib, imatinib",2010,wei rafiyath liu,47,3,656,article,md_processed,,,,j hema onco,"Wei, Guoqing and Rafiyath, Shamudheen and Liu, Delong"
source_1.bib/0000000045;source_1.bib/0000000046,46,source_1.bib/0000000046,"1 line treatment chronic myeloid leukemia dasatinib, nilotinib, imatinib",2010,wei rafiyath liu,,3,657,article,md_processed,,,,j hema onco,"Wei, G. and Rafiyath, S. and Liu, D."
source_1.bib/0000000049;source_1.bib/0000000050,49,source_1.bib/0000000049,cell free microrna expression profiles malignant effusion associated patient survival non small cell lung cancer,2012,wang lv shen zhou wang chen liu yu,43268,7,152,article,md_processed,,,,plos one elec reso,"Wang, Tingting and Lv, Mingming and Shen, Sunan and Zhou, Sheng and Wang, Ping and Chen, Yueqiu and Liu, Baorui and Yu, Like and Hou, Yayi"
source_1.bib/0000000049;source_1.bib/0000000050,50,source_1.bib/0000000050,cell free microrna expression profiles malignant effusion associated patient survival non small cell lung cancer,2012,wang lv shen zhou wang chen liu yu,,7,153,article,md_processed,,,,plos one,"Wang, T. and Lv, M. and Shen, S. and Zhou, S. and Wang, P. and Chen, Y. and Liu, B. and Yu, L. and Hou, Y."
source_1.bib/0000000049;source_1.bib/0000000893,49,source_1.bib/0000000049,cell free microrna expression profiles malignant effusion associated patient survival non small cell lung cancer,2012,wang lv shen zhou wang chen liu yu,43268,7,152,article,md_processed,,,,plos one elec reso,"Wang, Tingting and Lv, Mingming and Shen, Sunan and Zhou, Sheng and Wang, Ping and Chen, Yueqiu and Liu, Baorui and Yu, Like and Hou, Yayi"
source_1.bib/0000000049;source_1.bib/0000000893,893,source_1.bib/0000000893,cell free microrna expression profiles malignant effusion associated patient survival non small cell lung cancer,2012,wang liu hou,,30,151,article,md_processed,,,,j clin onco,"Wang, T. and Liu, B. and Hou, Y."
source_1.bib/0000000050;source_1.bib/0000000893,50,source_1.bib/0000000050,cell free microrna expression profiles malignant effusion associated patient survival non small cell lung cancer,2012,wang lv shen zhou wang chen liu yu,,7,153,article,md_processed,,,,plos one,"Wang, T. and Lv, M. and Shen, S. and Zhou, S. and Wang, P. and Chen, Y. and Liu, B. and Yu, L. and Hou, Y."
source_1.bib/0000000050;source_1.bib/0000000893,893,source_1.bib/0000000893,cell free microrna expression profiles malignant effusion associated patient survival non small cell lung cancer,2012,wang liu hou,,30,151,article,md_processed,,,,j clin onco,"Wang, T. and Liu, B. and Hou, Y."
source_1.bib/0000000062;source_1.bib/0000000063,62,source_1.bib/0000000062,biologically active helevin based compositions treatment pleural empyema,1991,vishnevskii adamian akylbekov romashov supov,109-111,,109,article,md_processed,,,,khir,"Vishnevskii, A. A. and Adamian, A. A. and Akylbekov, I. K. and Romashov, Iu V. and Supoev, A. A."
source_1.bib/0000000062;source_1.bib/0000000063,63,source_1.bib/0000000063,biologically active helevin based compositions treatment pleural empyema,1991,vishnevski adamian akylbekov romashoviu supov,109-111,,108,article,md_processed,,,,khir,"Vishnevski, A. A. and Adamian, A. A. and Akylbekov, I. K. and Romashov Iu, V. and Supoev, A. A."
source_1.bib/0000000088;source_1.bib/0000000089,88,source_1.bib/0000000088,antibiotic prophylaxis pulmonary surgery controlled double blind study amoxicillin versus cefamandole,1994,train soulard bouyer bizouarn blanloil,280-284,13,65,article,md_processed,,,,ann fr anes rean,"Train, M. and Soulard, D. and Bouyer, L. and Bizouarn, P. and Blanloeil, Y."
source_1.bib/0000000088;source_1.bib/0000000089,89,source_1.bib/0000000089,comparison amoxicillin cefamandole prevention bronchopulmonary infections pulmonary surgery randomized double blind study,1994,train soulard bouyer bizouarn blanloil,280-284,13,266,article,md_processed,,,,ann fran anes rean,"Train, M. and Soulard, D. and Bouyer, L. and Bizouarn, P. and Blanloeil, Y."
source_1.bib/0000000088;source_1.bib/0000000090,88,source_1.bib/0000000088,antibiotic prophylaxis pulmonary surgery controlled double blind study amoxicillin versus cefamandole,1994,train soulard bouyer bizouarn blanloil,280-284,13,65,article,md_processed,,,,ann fr anes rean,"Train, M. and Soulard, D. and Bouyer, L. and Bizouarn, P. and Blanloeil, Y."
source_1.bib/0000000088;source_1.bib/0000000090,90,source_1.bib/0000000090,comparison amoxicillin cefamandole prevention bronchopulmonary infections pulmonary surgery randomized double blind study,1994,train soulard bouyer bizouarn blanloil,280-284,13,267,article,md_processed,,,,ann fran aise anes sie r anim,"Train, M. and Soulard, D. and Bouyer, L. and Bizouarn, P. and Blanloeil, Y."
source_1.bib/0000000091;source_1.bib/0000000799,799,source_1.bib/0000000799,postoperative local immunostimulation non oatcell bronchial carcinoma,1984,,935-940,109,1351,article,md_processed,,,,dtsc med woch,
source_1.bib/0000000091;source_1.bib/0000000799,91,source_1.bib/0000000091,postoperative immunostimulation non small cell bronchial carcinoma outcome complications,1984,toomes,935-940,109,1347,article,md_processed,,,,deut med woch,"Toomes, H."
source_1.bib/0000000092;source_1.bib/0000000799,799,source_1.bib/0000000799,postoperative local immunostimulation non oatcell bronchial carcinoma,1984,,935-940,109,1351,article,md_processed,,,,dtsc med woch,
source_1.bib/0000000092;source_1.bib/0000000799,92,source_1.bib/0000000092,postoperative immunostimulation non small cell bronchial carcinoma outcome complications,1984,toomes,935-940,109,1348,article,md_processed,,,,deut med woch,"Toomes, H."
source_1.bib/0000000109;source_1.bib/0000000110,109,source_1.bib/0000000109,safety effectiveness 3 different doses silver nitrate pleurodesis patients malignant pleural effusion preliminary results,2010,terra bellato hortencio teixeira chate camelo fahel jatene,,138,1687,article,md_processed,,,,ches,"Terra, R. M. and Bellato, R. T. and Hortencio, L. O. and Teixeira, L. R. and Chate, R. C. and Camelo, L. K. and Fahel, M. G. and Jatene, F. B."
source_1.bib/0000000109;source_1.bib/0000000110,110,source_1.bib/0000000110,safety effectiveness 3 different doses silver nitrate pleurodesis patients malignant pleural effusion preliminary results [abstract,2010,terra bellato hortencio teixeira chate camelo,811,138,1689,article,md_processed,,,,ches,"Terra, R. M. and Bellato, R. T. and Hortencio, L. O. and Teixeira, L. R. and Chate, R. C. and Camelo, L. K."
source_1.bib/0000000121;source_1.bib/0000000122,121,source_1.bib/0000000121,prophylactic antibiotics reduce morbidity mortality newborn infants intercostal catheters,2012,stewart inglis jardine koorts davies,008173,4,1426,article,md_processed,,,,coch data syst rev,"Stewart, Alice and Inglis, Garry D. T. and Jardine, Luke A. and Koorts, Pieter and Davies, Mark W."
source_1.bib/0000000121;source_1.bib/0000000122,122,source_1.bib/0000000122,prophylactic antibiotics reduce morbidity mortality newborn infants intercostal catheters,2012,stewart inglis jardine koorts davies,,,1425,article,md_processed,,,,coch data syst rev,"Stewart, A. and Inglis, G. D. and Jardine, L. A. and Koorts, P. and Davies, M. W."
source_1.bib/0000000190;source_1.bib/0000000191,190,source_1.bib/0000000190,"a new paracentesis needle ascites pleural effusion compared venous indwelling catheter prospective, randomized study",2001,schlottmann gelbmann grune lock scholmerich,321-324,96,1022,article,md_processed,,,,med klin muni germ,"Schlottmann, K. and Gelbmann, C. and Grüne, S. and Lock, G. and Schölmerich, J."
source_1.bib/0000000190;source_1.bib/0000000191,191,source_1.bib/0000000191,new paracentesis device ascites pleural effusions compared angiocath prospective randomized study,2001,schlottmann gelbmann grune lock scholmerich,321-324,96,1020,article,md_processed,,,,med klin,"Schlottmann, K. and Gelbmann, C. and Grune, S. and Lock, G. and Scholmerich, J."
source_1.bib/0000000191;source_1.bib/0000000192,191,source_1.bib/0000000191,new paracentesis device ascites pleural effusions compared angiocath prospective randomized study,2001,schlottmann gelbmann grune lock scholmerich,321-324,96,1020,article,md_processed,,,,med klin,"Schlottmann, K. and Gelbmann, C. and Grune, S. and Lock, G. and Scholmerich, J."
source_1.bib/0000000191;source_1.bib/0000000192,192,source_1.bib/0000000192,"a new paracentesis needle ascites pleural effusion compared venous indwelling catheter prospective, randomized study",2001,schlottmann gelbmann grune lock scholmerich,321-324,96,1021,article,md_processed,,,,med klin,"Schlottmann, K. and Gelbmann, C. and Grune, S. and Lock, G. and Scholmerich, J."
source_1.bib/0000000279;source_1.bib/0000000280,279,source_1.bib/0000000279,estudio multic ntrico sobre las infecciones pedi tricas por staphylococcus aureus meticilino resistente provenientes de la comunidad en la argentina community acquired methicillin resistant staphyloc,2008,paganini dellalatta mulleropet ezcurra uranga aguirre ensinck kamiyademacarrein,397-403,106,600,article,md_processed,,,,arch arge pedi,"Paganini, Hugo and Della Latta, María P. and Muller Opet, Beatriz and Ezcurra, Gustavo and Uranga, Macarena and Aguirre, Clarisa and Ensinck, Gabriela and Kamiya de Macarrein, Marys and Miranda, María R. and Ciriaci, Cristina and Hernández, Claudia and Casimir, Lidia and Rial, María J. and Schenonne, Norma and Ronchi, Estela and Rodríguez, María del C. and Aprile, Fabiana and De Ricco, Catalina and García Saito, Viviana and Vrátnica, Claudia and Pons, Laura and Ernst, Adriana and Morinigo, Sandra and Toffoli, Marcelo and Bosque, Celia and Monzani, Victoria and Mónaco, Andrea and Pinheiro, José L. and López, María del P. and Maninno, Leonardo and Sarkis, Claudia"
source_1.bib/0000000279;source_1.bib/0000000280,280,source_1.bib/0000000280,community acquired methicillin resistant staphylococcus aureus infections children multicenter trial,2008,paganini dellalatta mulleropet ezcurra uranga aguirre ensinck kamiyademacarrein,397-403,106,241,article,md_processed,,,,arch arge pedi,"Paganini, Hugo and Della Latta, Maria P. and Muller Opet, Beatriz and Ezcurra, Gustavo and Uranga, Macarena and Aguirre, Clarisa and Ensinck, Gabriela and Kamiya de Macarrein, Marys and Miranda, Maria R. and Ciriaci, Cristina and Hernandez, Claudia and Casimir, Lidia and Rial, Maria J. and Schenonne, Norma and Ronchi, Estela and Rodriguez, Maria del C. and Aprile, Fabiana and De Ricco, Catalina and Garcia Saito, Viviana and Vratnica, Claudia and Pons, Laura and Ernst, Adriana and Morinigo, Sandra and Toffoli, Marcelo and Bosque, Celia and Monzani, Victoria and Monaco, Andrea and Pinheiro, Jose L. and Lopez, Maria del P. and Maninno, Leonardo and Sarkis, Claudia"
source_1.bib/0000000289;source_1.bib/0000000291,289,source_1.bib/0000000289,effect continuous positive airway pressure fluid absorption among patients pleural effusion due tuberculosis,2010,oliveira mello rodrigus bochat conde menezes,127-132,14,511,article,md_processed,,,,braz j phys ther,"Oliveira, Juliana F. and Mello, Fernanda C. Q. and Rodrigues, Rosana S. and Boechat, Ana L. and Conde, Marcus B. and Menezes, Sara L. S."
source_1.bib/0000000289;source_1.bib/0000000291,291,source_1.bib/0000000291,effect continuous positive airway pressure fluid absorption among patients pleural effusion due tuberculosis,2010,oliveira mello rodrigus bochat conde menezes,127-132,14,510,article,md_processed,,,,rev bras fisi s o carl s o paul braz,"Oliveira, J. F. and Mello, F. C. and Rodrigues, R. S. and Boechat, A. L. and Conde, M. B. and Menezes, S. L."
source_1.bib/0000000290;source_1.bib/0000000291,290,source_1.bib/0000000290,effect continuous positive airway pressure fluid absorption among patients pleural effusion due tuberculosis efeito da press o positiva nas vias reas sobre absor o derrame pleur,2010,oliveira mello rodrigus bochat conde menezes,127-132,14,512,article,md_processed,,,,braz j phys ther,"Oliveira, Juliana F. and Mello, Fernanda C. Q. and Rodrigues, Rosana S. and Boechat, Ana L. and Conde, Marcus B. and Menezes, Sara L. S."
source_1.bib/0000000290;source_1.bib/0000000291,291,source_1.bib/0000000291,effect continuous positive airway pressure fluid absorption among patients pleural effusion due tuberculosis,2010,oliveira mello rodrigus bochat conde menezes,127-132,14,510,article,md_processed,,,,rev bras fisi s o carl s o paul braz,"Oliveira, J. F. and Mello, F. C. and Rodrigues, R. S. and Boechat, A. L. and Conde, M. B. and Menezes, S. L."
source_1.bib/0000000335;source_1.bib/0000000337,335,source_1.bib/0000000335,regional immunotherapy intrapleural bcg lung cancer,1976,mckneally maver kausel alley,333-338,72,1620,article,md_processed,,,,j thor card surg,"McKneally, M. F. and Maver, C. and Kausel, H. W. and Alley, R. D."
