merged_origins
"['source_1.bib/0000000001', 'source_1.bib/0000000002']"
"['source_1.bib/0000000003', 'source_1.bib/0000000004']"
"['source_1.bib/0000000005', 'source_1.bib/0000000006']"
"['source_1.bib/0000000007', 'source_1.bib/0000000008']"
"['source_1.bib/0000000009', 'source_1.bib/0000000010', 'source_1.bib/0000000011']"
"['source_1.bib/0000000012', 'source_1.bib/0000000013', 'source_1.bib/0000000014', 'source_1.bib/0000000015']"
"['source_1.bib/0000000016', 'source_1.bib/0000000017']"
"['source_1.bib/0000000018', 'source_1.bib/0000000019']"
"['source_1.bib/0000000020', 'source_1.bib/0000000021']"
"['source_1.bib/0000000022', 'source_1.bib/0000000023']"
"['source_1.bib/0000000024', 'source_1.bib/0000000025']"
"['source_1.bib/0000000026', 'source_1.bib/0000000027', 'source_1.bib/0000000028']"
"['source_1.bib/0000000029', 'source_1.bib/0000000030']"
"['source_1.bib/0000000031', 'source_1.bib/0000000032']"
"['source_1.bib/0000000033', 'source_1.bib/0000000034']"
"['source_1.bib/0000000035', 'source_1.bib/0000000036']"
"['source_1.bib/0000000037', 'source_1.bib/0000000038']"
"['source_1.bib/0000000039', 'source_1.bib/0000000040']"
"['source_1.bib/0000000041', 'source_1.bib/0000000042']"
"['source_1.bib/0000000043', 'source_1.bib/0000000044']"
"['source_1.bib/0000000045', 'source_1.bib/0000000046']"
"['source_1.bib/0000000047', 'source_1.bib/0000000048']"
"['source_1.bib/0000000049', 'source_1.bib/0000000050', 'source_1.bib/0000000893']"
"['source_1.bib/0000000051', 'source_1.bib/0000000052']"
"['source_1.bib/0000000053', 'source_1.bib/0000000054']"
"['source_1.bib/0000000055', 'source_1.bib/0000000056']"
"['source_1.bib/0000000057', 'source_1.bib/0000000058']"
"['source_1.bib/0000000059', 'source_1.bib/0000000060']"
"['source_1.bib/0000000061', 'source_1.bib/0000000264', 'source_1.bib/0000000265']"
"['source_1.bib/0000000062', 'source_1.bib/0000000063']"
"['source_1.bib/0000000064', 'source_1.bib/0000000065', 'source_1.bib/0000000066']"
"['source_1.bib/0000000067', 'source_1.bib/0000000068']"
"['source_1.bib/0000000069', 'source_1.bib/0000000070']"
"['source_1.bib/0000000071', 'source_1.bib/0000000072']"
"['source_1.bib/0000000073', 'source_1.bib/0000000074']"
"['source_1.bib/0000000075', 'source_1.bib/0000000076']"
"['source_1.bib/0000000077', 'source_1.bib/0000000195']"
"['source_1.bib/0000000078', 'source_1.bib/0000000079']"
"['source_1.bib/0000000080', 'source_1.bib/0000000081']"
"['source_1.bib/0000000082', 'source_1.bib/0000000083']"
"['source_1.bib/0000000084', 'source_1.bib/0000000085']"
"['source_1.bib/0000000086', 'source_1.bib/0000000087']"
"['source_1.bib/0000000088', 'source_1.bib/0000000089', 'source_1.bib/0000000090']"
"['source_1.bib/0000000091', 'source_1.bib/0000000092', 'source_1.bib/0000000799']"
"['source_1.bib/0000000093', 'source_1.bib/0000000094']"
"['source_1.bib/0000000095', 'source_1.bib/0000000096']"
"['source_1.bib/0000000097', 'source_1.bib/0000000098']"
"['source_1.bib/0000000099', 'source_1.bib/0000000100']"
"['source_1.bib/0000000101', 'source_1.bib/0000000102', 'source_1.bib/0000000103']"
"['source_1.bib/0000000104', 'source_1.bib/0000000105']"
"['source_1.bib/0000000106', 'source_1.bib/0000000107', 'source_1.bib/0000000108']"
"['source_1.bib/0000000109', 'source_1.bib/0000000110']"
