"ID","title","year","author","pages","volume","number","ENTRYTYPE","journal"
"id_0000001","Perioperative nutritional support in patients undergoing hepatectomy for hepatocellular carcinoma",1996,"Ziegler, T. R.","91-92",20,1112,"article","Jpen: Journal of Parenteral & Enteral Nutrition"
"id_0000002","Perioperative nutritional support in patients undergoing hepatectomy for hepatocellular carcinoma",1996,"Ziegler, T. R.","91-92",20,1113,"article","JPEN. Journal of parenteral and enteral nutrition"
"id_0000003","[A study on the use of mycobacterium vaccine in the treatment of tuberculous pleurisy]",2002,"Zhou, Xiangdong and Lan, Jian and Zhang, Ting","595-597",25,1765,"article","Chung-Hua Chieh Ho Ho Hu Hsi Tsa Chih Chinese Journal of Tuberculosis & Respiratory Diseases"
"id_0000004","[A study on the use of mycobacterium vaccine in the treatment of tuberculous pleurisy]",2002,"Zhou, X. and Lan, J. and Zhang, T.","595-597",25,1766,"article","Zhonghua jie he he hu xi za zhi = Zhonghua jiehe he huxi zazhi = Chinese journal of tuberculosis and respiratory diseases"
"id_0000005","Effect of an intrathoracic injection of sodium hyaluronic acid on the prevention of pleural thickening in excess fluid of tuberculous thoracic cavity",2003,"Zhou, Ailian and Guo, Lanping and Tang, Liangchun","203-205",30,504,"article","Clinical & Experimental Pharmacology & Physiology"
"id_0000006","Effect of an intrathoracic injection of sodium hyaluronic acid on the prevention of pleural thickening in excess fluid of tuberculous thoracic cavity",2003,"Zhou, A. and Guo, L. and Tang, L.","203-205",30,505,"article","Clinical and experimental pharmacology & physiology"
"id_0000007","Omentoplasty in preventing anastomotic leakage of oesophagogastrostomy following radical oesophagectomy with three-field lymphadenectomy",2013,"Zheng, Qing-Feng and Wang, Jian-Jun and Ying, Min-Gang and Liu, Shou-Yan","274-278",43,1044,"article","European Journal of Cardio-Thoracic Surgery"
"id_0000008","Omentoplasty in preventing anastomotic leakage of oesophagogastrostomy following radical oesophagectomy with three-field lymphadenectomy",2013,"Zheng, Q. F. and Wang, J. J. and Ying, M. G. and Liu, S. Y.","274-278",43,1043,"article","European Journal of Cardio-thoracic Surgery"
"id_0000009","[Clinical research on recombinant human Ad-p53 injection combined with cisplatin in treatment of malignant pleural effusion induced by lung cancer]",2009,"Zhao, Wei-Zhu and Wang, Ji-Kun and Li, Wei and Zhang, Xiu-Li","1324-1327",28,211,"article","Aizheng"
"id_0000010","Clinical research on recombinant human Ad-p53 injection combined with cisplatin in treatment of malignant pleural effusion induced by lung cancer",2009,"Zhao, W. Z. and Wang, J. K. and Li, W. and Zhang, X. L.","84-87",28,209,"article","Chinese Journal of Cancer"
"id_0000011","[Clinical research on recombinant human Ad-p53 injection combined with cisplatin in treatment of malignant pleural effusion induced by lung cancer]",2009,"Zhao, W. Z. and Wang, J. K. and Li, W. and Zhang, X. L.","1324-1327",28,210,"article","Ai zheng = Aizheng = Chinese journal of cancer"
"id_0000012","Research on fast track surgery application in lung cancer surgery",2010,"Zhao, G. and Huang, Y. and Chen, X. and Duan, L. and Ma, Q. and Yujie, L. E. I. and Yang, K. and Wang, J.","102-106",13,1628,"article","Chinese Journal of Lung Cancer"
"id_0000013","[Research on fast track surgery application in lung cancer surgery] LA: Chi",2010,"Zhao, G. and Huang, Y. and Chen, X. and Duan, L. and Ma, Q. and Yujie, L. E. I. and Yang, K. and Wang, J.","102-106",13,1631,"article","Chinese Journal of Lung Cancer"
"id_0000014","[Research on fast track surgery application in lung cancer surgery]",2010,"Zhao, Guangqiang and Huang, Yunchao and Chen, Xiaobo and Duan, Lincan and Ma, Qianli and Lei, Yujie and Yang, Kaiyun and Wang, Jiyang","102-106",13,1629,"article","Chinese Journal of Lung Cancer"
"id_0000015","[Research on fast track surgery application in lung cancer surgery]",2010,"Zhao, G. and Huang, Y. and Chen, X. and Duan, L. and Ma, Q. and Lei, Y. and Yang, K. and Wang, J.","102-106",13,1630,"article","Zhongguo fei ai za zhi = Chinese journal of lung cancer"
"id_0000016","Randomized phase II trial of three intrapleural therapy regimens for the management of malignant pleural effusion in previously untreated non-small cell lung cancer: JCOG 9515",2007,"Yoshida, Kimihide and Sugiura, Takahiko and Takifuji, Nobuhide and Kawahara, Masaaki and Matsui, Kaoru and Kudoh, Shinzoh and Takada, Minoru and Fukuoka, Masahiro and Ariyoshi, Yutaka and Fukuda, Haruhiko and Saijo, Nagahiro","362-368",58,1566,"article","Lung Cancer"
"id_0000017","Randomized phase II trial of three intrapleural therapy regimens for the management of malignant pleural effusion in previously untreated non-small cell lung cancer: JCOG 9515",2007,"Yoshida, K. and Sugiura, T. and Takifuji, N. and Kawahara, M. and Matsui, K. and Kudoh, S. and Takada, M. and Fukuoka, M. and Ariyoshi, Y. and Fukuda, H. and Saijo, N.","362-368",58,1567,"article","""Lung cancer (Amsterdam, Netherlands)"""
"id_0000018","Does pleurodesis for pleural effusions give bright ideas about the agents for hydrocele sclerotherapy?",2000,"Yilmaz, U. and Ekmekcioglu, O. and Tatlisen, A. and Demirci, D.","89-92",32,468,"article","International Urology & Nephrology"
"id_0000019","Does pleurodesis for pleural effusions give bright ideas about the agents for hydrocele sclerotherapy?",2000,"Yilmaz, U. and Ekmekçio?lu, O. and Tatli?en, A. and Demirci, D.","89-92",32,467,"article","International urology and nephrology"
"id_0000020","The predictors of response to neoadjuvant chemotherapy in advanced epithelial ovarian cancer",2012,"Yildirim, Yusuf and Ertas, Ibrahim Egemen and Dogan, Askin and Gultekin, Ozge Elmastas and Gultekin, Emre","200-205",105,1375,"article","Journal of Surgical Oncology"
"id_0000021","The predictors of response to neoadjuvant chemotherapy in advanced epithelial ovarian cancer",2012,"Yildirim, Y. and Ertas, I. E. and Dogan, A. and Gultekin, O. E. and Gultekin, E.","200-205",105,1376,"article","Journal of Surgical Oncology"
