case,ID,colrev_origin,title,year,author,pages,volume,number,ENTRYTYPE,colrev_status,abstract,isbn,doi,container_title,author_full,first_author,short_title,short_container_title
source_1.bib/0000000121;source_1.bib/0000000122,121,source_1.bib/0000000121,prophylactic antibiotics to reduce morbidity and mortality in newborn infants with intercostal catheters,2012,stewart inglis jardine koorts davies,008173,4,1426,article,md_processed,,,,coch data syst revi,"Stewart, Alice and Inglis, Garry D. T. and Jardine, Luke A. and Koorts, Pieter and Davies, Mark W.",stewart,prophylactic antibiotics to reduce morbidity and mortality in newborn infants,cdsr
source_1.bib/0000000121;source_1.bib/0000000122,122,source_1.bib/0000000122,prophylactic antibiotics to reduce morbidity and mortality in newborn infants with intercostal catheters,2012,stewart inglis jardine koorts davies,,,1425,article,md_processed,,,,coch data syst revi,"Stewart, A. and Inglis, G. D. and Jardine, L. A. and Koorts, P. and Davies, M. W.",stewart,prophylactic antibiotics to reduce morbidity and mortality in newborn infants,cdsr
source_1.bib/0000000418;source_1.bib/0000000419;source_1.bib/0000000420,418,source_1.bib/0000000418,"treatment for poems polyneuropathy, organomegaly, endocrinopathy, m protein, and skin changes syndrome",2012,kuwabara dispenzieri arimura misawa nakaseko,006828,6,1863,article,md_processed,,,,coch data syst revi,"Kuwabara, Satoshi and Dispenzieri, Angela and Arimura, Kimiyoshi and Misawa, Sonoko and Nakaseko, Chiaki",kuwabara,"treatment for poems polyneuropathy, organomegaly, endocrinopathy, m protein, and skin",cdsr
source_1.bib/0000000418;source_1.bib/0000000419;source_1.bib/0000000420,419,source_1.bib/0000000419,"treatment for poems polyneuropathy, organomegaly, endocrinopathy, m protein, and skin changes syndrome",2012,kuwabara dispenzieri arimura misawa nakaseko,,,1864,article,md_processed,,,,coch data syst revi,"Kuwabara, S. and Dispenzieri, A. and Arimura, K. and Misawa, S. and Nakaseko, C.",kuwabara,"treatment for poems polyneuropathy, organomegaly, endocrinopathy, m protein, and skin",cdsr
source_1.bib/0000000418;source_1.bib/0000000419;source_1.bib/0000000420,420,source_1.bib/0000000420,"treatment for poems polyneuropathy, organomegaly, endocrinopathy, m protein, and skin changes syndrome",2008,kuwabara dispenzieri arimura misawa,006828,,1862,article,md_processed,,,,coch data syst revi,"Kuwabara, Satoshi and Dispenzieri, Angela and Arimura, Kimiyoshi and Misawa, Sonoko",kuwabara,"treatment for poems polyneuropathy, organomegaly, endocrinopathy, m protein, and skin",cdsr
source_1.bib/0000000560;source_1.bib/0000000561,560,source_1.bib/0000000560,medically assisted hydration for adult palliative care patients,2008,good cavenagh mather ravenscroft,006273,,962,article,md_processed,,,,coch data syst revi,"Good, P. and Cavenagh, J. and Mather, M. and Ravenscroft, P.",good,medically assisted hydration for adult palliative care patients,cdsr
source_1.bib/0000000560;source_1.bib/0000000561,561,source_1.bib/0000000561,medically assisted hydration for palliative care patients,2008,good cavenagh mather ravenscroft,006273,,963,article,md_processed,,,,coch data syst revi,"Good, P. and Cavenagh, J. and Mather, M. and Ravenscroft, P.",good,medically assisted hydration for palliative care patients,cdsr
source_1.bib/0000000606;source_1.bib/0000000607,606,source_1.bib/0000000606,corticosteroids for tuberculous pleurisy,2007,engel matchaba volmink,001876,,346,article,md_processed,,,,coch data syst revi,"Engel, M. E. and Matchaba, P. T. and Volmink, J.",engel,corticosteroids for tuberculous pleurisy,cdsr
source_1.bib/0000000606;source_1.bib/0000000607,607,source_1.bib/0000000607,corticosteroids for tuberculous pleurisy,2007,engel matchaba volmink,,,347,article,md_processed,,,,coch data syst revi,"Engel, M. E. and Matchaba, P. T. and Volmink, J.",engel,corticosteroids for tuberculous pleurisy,cdsr
source_1.bib/0000000738;source_1.bib/0000000739,738,source_1.bib/0000000738,surgical sealant for preventing air leaks after pulmonary resections in patients with lung cancer,2010,beldasanchis serramitjans iglesiassentis rami,,,1780,article,md_processed,,,,coch data syst revi,"Belda-Sanchís, J. and Serra-Mitjans, M. and Iglesias Sentis, M. and Rami, R.",beldasanchis,surgical sealant for preventing air leaks after pulmonary resections in,cdsr
source_1.bib/0000000738;source_1.bib/0000000739,739,source_1.bib/0000000739,surgical sealant for preventing air leaks after pulmonary resections in patients with lung cancer,2010,beldasanchis serramitjans iglesiassentis rami,003051,,1779,article,md_processed,,,,coch data syst revi,"Belda-Sanchis, Jose and Serra-Mitjans, Mireia and Iglesias Sentis, Manuela and Rami, Ramon",beldasanchis,surgical sealant for preventing air leaks after pulmonary resections in,cdsr
