case,ID,ENTRYTYPE,author,year,title,volume,number,pages,abstract,doi,series,search_set,container_title,author_full
id_0000187;id_0001123,id_0000187,article,shi huang zhang bao yu wang cui zheng,2019,corrigendum interventions live poultry markets control avian influenza systematic review meta analysis,,,,,101093/infdis/jiz662,,,j infe dis,Shi N.Huang J.Zhang X.Bao C.Yue N.Wang Q.Cui T.Zheng M.Huo X.Jin H.
id_0000187;id_0001123,id_0001123,article,shi huang zhang bao yu wang cui zheng,2019,interventions live poultry markets control avian influenza systematic review meta analysis,,,,this review aimed to provide constructive suggestions for the control and management of avian influenza through quantitative and qualitative evaluation of the impact of different live poultry market lpm interventions. methods both english and chinese databases were searched for articles that were published on or before november 9 2018. after extraction and assessment of the included literature stata14.0 was applied to perform metaanalysis to explore the impacts of lpm interventions. results a total of 19 studies were identified. in total 224 humans 3550 poultry and 13773 environment samples were collected before the intervention 181 humans 4519 poultry and 9562 environments were sampled after lpm interventions. avian influenza virus aiv detection rates of the lpm environment odds ratio or 0.393 95 confidence interval ci 0.2620.589 and the incidence of human avian influenza infection or 0.045 95 ci 0.0250.079 were significantly lower after lpm interventions while lpm interventions on poultry were not significantly effective or 0.803 95 ci 0.4031.597. conclusions lpm interventions can reduce human infections of avian influenza and the detection rate of aiv in market environments,101093/infdis/jiz372,,,j infe dis,Shi N.Huang J.Zhang X.Bao C.Yue N.Wang Q.Cui T.Zheng M.Huo X.Jin H.
id_0001307;id_0044146,id_0001307,article,plancartesanchez mansillaolivares delosreyespacheco menesesgonzalez,2019,aplicaciones terapeuticas por accion de los cannabinoides,155,3,307-318,the interest on cannabinoids became evident between the 1940 and 1950 decades. although the active substance of the plant was not known a series of compounds with cannabinomimetic activity were synthesized which were investigated in animals and clinically. the most widely tested was delta6a 10athc hexyl. delta6a 10athc dimethylheptyl dmhp antiepileptic effects were studied in several children with positive results being obtained in some cases. dmhp differs from sinhexyl in that its side chain is dmhp instead of nhexyl. the first cannabinoid isolated from cannabis sativa was cannabinol although its structure was correctly characterized several years later. cannabidiol was isolated some years later and was subsequently characterized by mechoulam and shvo. in 2013 the national academy of medicine and the faculty of medicine of the national autonomous university of mexico through the seminar of studies on entirety decided to carry out a systematic review on a subject that is both complex and controversial the relationship between marijuana and health. in recent years studies have been conducted with cannabis in several diseases controlled clinical trials on spasticity in multiple sclerosis and spinal cord injury chronic essentially neuropathic pain movement disorders gilles de latourette dystonia levodopa dyskinesia asthma and glaucoma as well as noncontrolled clinical trials on alzheimers disease neuroprotection intractable hiccups epilepsy alcohol and opioid dependence and inflammatory processes,1024875/gmm18004928,,,gac med mex,Plancarte-Sanchez R.Mansilla-Olivares A.De Los Reyes-Pacheco V. A.Meneses-Gonzalez F.
id_0001307;id_0044146,id_0044146,article,plancartesanchez manillaolivares alfonsodelos menesesgonzalez,2019,therapeutic applications based cannabinoids action,155,3,283-294,,1024875/gmm18004928,,,gac med mex,Plancarte-Sanchez RicardoManilla-Olivares ArmandoAlfonso De los Reyes-Pacheco VictorMeneses-Gonzalez Fernando
id_0001933;id_0001255,id_0001255,article,hendrickx thomas dorny bobic braa devleesschauwer eichenberger gabriel,2019,epidemiology taenia saginata taeniosis cysticercosis systematic review distribution west central africa,12,1,324,the zoonotic tapeworm taenia saginata although causing only minor discomfort in humans is responsible for considerable economic losses in the livestock sector due to condemnation or downgrading of infected beef carcasses. an overview of current knowledge on the distribution and prevalence of this parasite in west and central africa is lacking. methods we conducted a systematic review collecting information on published and grey literature about t. saginata taeniosis and bovine cysticercosis from 27 countriesterritories in west and central africa published between january 1st 1990 and december 31st 2017. results the literature search retrieved 1672 records of which 51 and 45 were retained for a qualitative and quantitative synthesis respectively. nonspecified human taeniosis cases were described for nigeria cameroon senegal burkina faso democratic republic congo guinea and ivory coast seven out of 27 countriesterritories while t. saginata taeniosis specifically was only reported for cameroon. most prevalence estimates for taeniosis ranged between 011 while three studies from nigeria reported prevalence estimates ranging between 2350. none of the studies included molecular confirmation of the causative species. the presence of bovine cysticercosis was reported for benin burkina faso cameroon central african republic chad democratic republic congo ghana guinea ivory coast mali niger nigeria senegal and tristan da cunha 14 out of 27 countriesterritories. prevalence estimates ranged between 029. conclusions our systematic review has revealed that human taeniosis and bovine cysticercosis are seriously understudied in west and central africa. the high prevalence estimates of both conditions suggest an active dissemination of this parasite in the region calling for a concerted one health action from public health veterinary health and food surveillance sectors,101186/s13071_019_3584_7,,,para vect,Hendrickx E.Thomas L. F.Dorny P.Bobic B.Braae U. C.Devleesschauwer B.Eichenberger R. M.Gabriel S.Saratsis A.Torgerson P. R.Robertson L. J.Dermauw V.
id_0001933;id_0001255,id_0001933,article,saratsis sotiraki braa devleesschauwer dermauw eichenberger thomas bobic,2019,epidemiology taenia saginata taeniosis cysticercosis systematic review distribution middle east north africa,12,1,113,the zoonotic parasite taenia saginata utilizes bovines as an intermediate host causing cysticercosis and humans as the definitive host causing taeniosis. the public health burden of t. saginata is assumed to be low but the economic burden is large due to the resources utilized in the detection and condemnation of infected carcasses and carcass parts. as part of a collaborative effort to synthesize worldwide epidemiological data on this parasite we present here the results of a systematic review on the distribution of t. saginata taeniosis and bovine cysticercosis in the middle east and north africa mena. methods information on the occurrence and prevalence of t. saginata taeniosis and cysticercosis in the mena region was obtained through a systematic review of published and grey literature including oie reports published between january 1st 1990 and december 31st 2017. results a total of 63 publications were retrieved across the 21 mena countries. taenia saginata taeniosis was reported in 11 of these countries whereas unspecified taeniosis was reported for a further seven. microscopybased prevalence values ranged between 0.028.6. bovine cysticercosis prevalence estimates based on meat inspection were only reported for egypt and israel with prevalence data ranging between 0.220 and 0.19.1 for cattle and buffaloes respectively. the presence of bovine cysticercosis could be confirmed for 10 additional countries through oie reports. conclusions human taeniosis occurrence was confirmed for 86 1821 of the countries in the mena region although in several of these countries the species responsible was not specified. religious prohibitions on the consumption of pork and the limited extent of pig farming across much of this region however suggest that many reported taeniosis cases are likely to be attributable to t. saginata rather than taenia solium or taenia asiatica. there was a paucity of data regarding both the prevalence and economic impact of bovine cysticercosis. more detailed epidemiological data on both t. saginata taeniosis and bovine cysticercosis could be obtained by adopting an integrated one health approach considering the characteristics e.g. ecosystem related and sociopolitical aspects of the mena region. compared with more conventional approaches this could lead to an enhanced performance and costeffectiveness of surveillance systems,101186/s13071_019_3339_5,,,para vect,Saratsis A.Sotiraki S.Braae U. C.Devleesschauwer B.Dermauw V.Eichenberger R. M.Thomas L. F.Bobic B.Dorny P.Gabriel S.Robertson L. J.
id_0002813;id_0003167,id_0002813,article,dermauw dorny braa devleesschauwer robertson saratsis thomas,2018,epidemiology taenia saginata taeniosis cysticercosis systematic review distribution southern eastern africa,11,1,578,the beef tapeworm taenia saginata causing cysticercosis in bovines and taeniosis in humans is thought to have a global distribution. in eastern and southern africa cattle production plays a crucial role in the economy but a clear overview of the prevalence of t. saginata in the region is still lacking. this review aims to summarize existing knowledge on t. saginata taeniosis and bovine cysticercosis distribution in eastern and southern africa. methods a systematic review was conducted that gathered published and grey literature including oie reports concerning t. saginata taeniosis and bovine cysticercosis in eastern and southern africa published between january 1st 1990 and december 31st 2017. results a total of 1232 records were initially retrieved with 78 full text articles retained for inclusion in the database. unspecified taeniosis cases were reported for angola ethiopia kenya madagascar malawi south africa tanzania uganda and zambia whereas t. saginata taeniosis cases were found for ethiopia kenya south africa tanzania zambia and zimbabwe. the prevalence of taeniosis ranged between 0.28.1 based on microscopy and between 0.1219.7 based on coproagelisa. in ethiopia the percentage of tapeworm selfreporting was high 45.064.2 and a substantial number of anthelmintic treatments were reported to be sold in towns. the presence of bovine cysticercosis was reported in all 27 countriesterritories included in the study except for rwanda and somalia comoros madagascar mauritius mayotte seychelles and socotra. the prevalence of cysticercosis ranged between 0.0226.3 based on meat inspection and between 6.134.9 based on agelisa. conclusions although t. saginata has been reported in the majority of countriesterritories of the study area t. saginata taeniosiscysticercosis remains a largely ignored condition probably due to the absence of symptoms in cattle the lack of data on its economic impact and the fact that human taeniosis is considered a minor health problem. however the occurrence of bovine cysticercosis is a clear sign of inadequate sanitation insufficient meat inspection and culinary habits that may favour transmission. measures to reduce transmission of t. saginata are therefore warranted and the infection should be properly monitored,101186/s13071_018_3163_3,,,para vect,Dermauw V.Dorny P.Braae U. C.Devleesschauwer B.Robertson L. J.Saratsis A.Thomas L. F.
id_0002813;id_0003167,id_0003167,article,braa thomas robertson dermauw dorny willingham saratsis devleesschauwer,2018,epidemiology taenia saginata taeniosis cysticercosis systematic review distribution americas,11,1,518,the distribution of taenia saginata in the americas is unclear. establishing the distribution economic burden and potentials for control of bovine cysticercosis is increasingly important due to the growing demand for beef. this paper aims to take the first step and reviews the recent distribution of t. saginata taeniosis and bovine cysticercosis on a national level within the americas. methods we undertook a systematic review of published and grey literature for information on the occurrence prevalence and geographical distribution of bovine cysticercosis and human taeniosis in the 54 countries and territories of the americas between january 1st 1990 and december 31st 2017. data on bovine cysticercosis from oie reports from 1994 to 2005 were also included. results we identified 66 papers from the americas with data on the occurrence of taeniosis or bovine cysticercosis and an additional 19 oie country reports on bovine cysticercosis. taeniosis was reported from 13 countries with nine of these countries reporting specifically t. saginata taeniosis and four countries reporting nonspecies specific taeniosis. the reported prevalence of taeniosis ranged between 0.048.8. bovine cysticercosis was reported from 19 countries nine identified through the literature search and an additional 10 identified through the oie country reports for notifiable diseases. the reported prevalence of bovine cysticercosis ranged between 0.119. disease occurrence was restricted to 21 countries within the americas the majority from the mainland with the only island nations reporting either bovine cysticercosis or taeniosis being cuba haiti and the us virgin islands. conclusions taenia saginata is widely distributed across 21 of the 54 countries in the americas but insufficient epidemiological data are available to estimate the subnational spatial distribution prevalence incidence and intensity of infections. this needs to be addressed through active surveillance and disease detection programmes. such programmes would improve the data quantity and quality and may enable estimation of the economic burden due to bovine cysticercosis in the region in turn determining the requirement for and costeffectiveness of control measures,101186/s13071_018_3079_y,,,para vect,Braae U. C.Thomas L. F.Robertson L. J.Dermauw V.Dorny P.Willingham A. L.Saratsis A.Devleesschauwer B.
id_0004656;id_0046762,id_0004656,article,rada deldicqu francaux zbindenfoncea,2018,toll like receptor expression induced exercise obesity metabolic syndrome systematic review,24,,60-71,obesity and metabolic syndrome are disorders that correlate with the activation of proinflammatory pathways and cytokine production to which toll like receptors tlr contribute. exercise may act as an antiinflammatory modulator but there is no consensus about the role of the tlr in this tuning. the present styudy aims to systematically review the current evidence on exerciseinduced tlr regulation in animals and humans suffering from obesity and metabolic syndrome. methods pubmed and scopus databases were searched for publications from 1990 to september 2015. search terms included toll like receptor tlr exercise obesity diabetes and metabolic syndrome. elegibility criteria comprised randomized control trials crosssectional and cohort studies human or animal models with metabolic syndrome any type of exercise tlr expression measurement in any tissue by a clearly reported technique. the quality of selected studies was assessed using a modified version of the downs and black quality assessment checklist. data of study design population exercise type timing and training elements measurement technique tissue analyzed and main outcome were extracted and categorized to facilitate data synthesis. results 17 studies were included of which 11 publications obtained a high 5 a moderate and 1 a low score for quality assessment. a total of 8 human studies were analyzed 6 studies used endurance continuous or interval training protocols 1 study resistance training and the remaining study was performed following a marathon race. blood cells were analyzed in seven studies of which four studies sampled peripheral blood mononuclear cells pbmc three analyzed whole blood and one study sampled skeletal muscle. nine animal studies were included 8 used endurance training and 1 acute aerobic exercise. a variety of tissues samples were explored such as pbmc skeletal muscle adipose vascular and nervous tissue. globally the animal studies showed a marked tendency towards a downregulation of tlr2 and 4 expression accompagnied with a reduced activation of nuclear factorkappab nfkappab signaling and cytokine production and an improvement in insulin sensitivity and body composition. conclusion while animal studies showed a marked tendency towards tlr2 and 4 downregulation after chronic endurance exercise the current evidence in human is not sufficiently robust to conclude any role of tlr in the antiinflammatory properties of exercise,,,,exer immu rev,Rada I.Deldicque L.Francaux M.Zbinden-Foncea H.
id_0004656;id_0046762,id_0046762,article,rada deldicqu francaux zbindenfoncea,2018,toll like receptor expression induced exercise obesity metabolic syndrome systematic review,24,,72-83,,,,,exer immu rev,Rada IsabelDeldicque LouiseFrancaux MarcZbinden-Foncea Hermann
