case,ID,colrev_origin,title,year,author,pages,volume,number,ENTRYTYPE,colrev_status,abstract,isbn,doi,container_title,author_full,first_author,short_title,short_container_title
source_1.bib/0000000009;source_1.bib/0000000010,9,source_1.bib/0000000009,an intelligent rehabilitation system for cognitive rehabilitation,2012,yip,1524,73,3-,article,md_processed,,,,diss abst inte sect b scie engi,"Yip, Chi Bun",yip,an intelligent rehabilitation system for cognitive rehabilitation,daisbse
source_1.bib/0000000009;source_1.bib/0000000010,10,source_1.bib/0000000010,an intelligent rehabilitation system for cognitive rehabilitation,2011,yip,215,Ph.D.,,article,md_processed,,,,,"Yip, Chi Bun",yip,an intelligent rehabilitation system for cognitive rehabilitation,
source_1.bib/0000000260;source_1.bib/0000000261,260,source_1.bib/0000000260,evaluating the effectiveness of reasoning training in military and civilian chronic traumatic brain injury patients study protocol,2013,krawczyk plata schauer vas keebler tuthill gardner jantz,,14,1,article,md_processed,,,,tria,"Krawczyk, D. C. and Plata, C. M. and Schauer, G. F. and Vas, A. K. and Keebler, M. and Tuthill, S. and Gardner, C. and Jantz, T. and Yu, W. and Chapman, S. B.",krawczyk,evaluating the effectiveness of reasoning training in military and civilian,t
source_1.bib/0000000260;source_1.bib/0000000261,261,source_1.bib/0000000261,evaluating the effectiveness of reasoning training in military and civilian chronic traumatic brain injury patients study protocol,2013,krawczyk marquezdelaplata schauer vas keebler tuthill gardner jantz,29,14,,article,md_processed,,,,tria,"Krawczyk, D. C. and Marquez de la Plata, C. and Schauer, G. F. and Vas, A. K. and Keebler, M. and Tuthill, S. and Gardner, C. and Jantz, T. and Yu, W. and Chapman, S. B.",krawczyk,evaluating the effectiveness of reasoning training in military and civilian,t
source_1.bib/0000000260;source_1.bib/0000000262,260,source_1.bib/0000000260,evaluating the effectiveness of reasoning training in military and civilian chronic traumatic brain injury patients study protocol,2013,krawczyk plata schauer vas keebler tuthill gardner jantz,,14,1,article,md_processed,,,,tria,"Krawczyk, D. C. and Plata, C. M. and Schauer, G. F. and Vas, A. K. and Keebler, M. and Tuthill, S. and Gardner, C. and Jantz, T. and Yu, W. and Chapman, S. B.",krawczyk,evaluating the effectiveness of reasoning training in military and civilian,t
source_1.bib/0000000260;source_1.bib/0000000262,262,source_1.bib/0000000262,evaluating the effectiveness of reasoning training in military and civilian chronic traumatic brain injury patients study protocol,2013,krawczyk marquezdelaplata schauer vas keebler tuthill gardner jantz,29,14,,article,md_processed,,,,tria elec reso,"Krawczyk, Daniel C. and Marquez de la Plata, Carlos and Schauer, Guido F. and Vas, Asha K. and Keebler, Molly and Tuthill, Stephanie and Gardner, Claire and Jantz, Tiffani and Yu, Weikei and Chapman, Sandra B.",krawczyk,evaluating the effectiveness of reasoning training in military and civilian,ter
source_1.bib/0000000261;source_1.bib/0000000263,261,source_1.bib/0000000261,evaluating the effectiveness of reasoning training in military and civilian chronic traumatic brain injury patients study protocol,2013,krawczyk marquezdelaplata schauer vas keebler tuthill gardner jantz,29,14,,article,md_processed,,,,tria,"Krawczyk, D. C. and Marquez de la Plata, C. and Schauer, G. F. and Vas, A. K. and Keebler, M. and Tuthill, S. and Gardner, C. and Jantz, T. and Yu, W. and Chapman, S. B.",krawczyk,evaluating the effectiveness of reasoning training in military and civilian,t
source_1.bib/0000000261;source_1.bib/0000000263,263,source_1.bib/0000000263,evaluating the effectiveness of reasoning training in military and civilian chronic traumatic brain injury patients study protocol,2013,krawczyk delaplata schauer vas keebler tuthill gardner jantz,,14,1,article,md_processed,,,,tria,"Krawczyk, D. C. and de la Plata, C. M. and Schauer, G. F. and Vas, A. K. and Keebler, M. and Tuthill, S. and Gardner, C. and Jantz, T. and Yu, W. and Chapman, S. B.",krawczyk,evaluating the effectiveness of reasoning training in military and civilian,t
source_1.bib/0000000262;source_1.bib/0000000263,262,source_1.bib/0000000262,evaluating the effectiveness of reasoning training in military and civilian chronic traumatic brain injury patients study protocol,2013,krawczyk marquezdelaplata schauer vas keebler tuthill gardner jantz,29,14,,article,md_processed,,,,tria elec reso,"Krawczyk, Daniel C. and Marquez de la Plata, Carlos and Schauer, Guido F. and Vas, Asha K. and Keebler, Molly and Tuthill, Stephanie and Gardner, Claire and Jantz, Tiffani and Yu, Weikei and Chapman, Sandra B.",krawczyk,evaluating the effectiveness of reasoning training in military and civilian,ter
source_1.bib/0000000262;source_1.bib/0000000263,263,source_1.bib/0000000263,evaluating the effectiveness of reasoning training in military and civilian chronic traumatic brain injury patients study protocol,2013,krawczyk delaplata schauer vas keebler tuthill gardner jantz,,14,1,article,md_processed,,,,tria,"Krawczyk, D. C. and de la Plata, C. M. and Schauer, G. F. and Vas, A. K. and Keebler, M. and Tuthill, S. and Gardner, C. and Jantz, T. and Yu, W. and Chapman, S. B.",krawczyk,evaluating the effectiveness of reasoning training in military and civilian,t
source_1.bib/0000000389;source_1.bib/0000000390,389,source_1.bib/0000000389,recognizing the impact of obstructive sleep apnea syndrome and treatment on activities of daily living in nursing home residents,2010,daley ahmed,20-21,11,3,article,md_processed,,,,j amer medi dire asso,"Daley, P. M. and Ahmed, K.",daley,recognizing the impact of obstructive sleep apnea syndrome and treatment,jamda
source_1.bib/0000000389;source_1.bib/0000000390,390,source_1.bib/0000000390,recognizing the impact of obstructive sleep apnea syndrome and treatment in the elderly,2010,daley ahmed,140-141,58,,article,md_processed,,,,j amer geri soci,"Daley, P. and Ahmed, K.",daley,recognizing the impact of obstructive sleep apnea syndrome and treatment,jags
source_1.bib/0000000408;source_1.bib/0000000409,408,source_1.bib/0000000408,cognitive rehabilitation for executive dysfunction in adults with stroke or other adult non progressive acquired brain damage,2013,chung pollock campbell durward hagen,008391,4,,article,md_processed,,,,coch data syst revi,"Chung, Charlie S. Y. and Pollock, Alex and Campbell, Tanya and Durward, Brian R. and Hagen, Suzanne",chung,cognitive rehabilitation for executive dysfunction in adults with stroke or,cdsr
source_1.bib/0000000408;source_1.bib/0000000409,409,source_1.bib/0000000409,cognitive rehabilitation for executive dysfunction in adults with stroke or other adult non progressive acquired brain damage,2013,chung pollock campbell durward hagen,,,4,article,md_processed,,,,coch data syst revi,"Chung, C. S. and Pollock, A. and Campbell, T. and Durward, B. R. and Hagen, S.",chung,cognitive rehabilitation for executive dysfunction in adults with stroke or,cdsr
source_1.bib/0000000417;source_1.bib/0000000418,417,source_1.bib/0000000417,the neuroaid 2 mlc901 in vascular cognitive impairment study neurites,2013,chen ikram anqi yin chen venketasubramanian neuriteinvestigators,23-29,35,,article,md_processed,,,,cere dise,"Chen, Christopher L. H. and Ikram, Kamran and Anqi, Qiu and Yin, Wong Tien and Chen, Annabel and Venketasubramanian, Narayanaswamy and Neurite Investigators",chen,the neuroaid 2 mlc901 in vascular cognitive impairment study neurites,cd
source_1.bib/0000000417;source_1.bib/0000000418,418,source_1.bib/0000000418,the neuroaid 2 mlc901 in vascular cognitive impairment study neurites for the neurite investigators,2013,chen ikram anqi yin chen venketasubramanian,23-29,35,1,article,md_processed,,,,cere dise,"Chen, C. L. H. and Ikram, K. and Anqi, Q. and Yin, W. T. and Chen, A. and Venketasubramanian, N.",chen,the neuroaid 2 mlc901 in vascular cognitive impairment study neurites,cd
source_1.bib/0000000428;source_1.bib/0000000429,428,source_1.bib/0000000428,stroke and aphasia overcoming the challenges of capacity evaluation,2010,carlingrowland black mcdonald kagan,42,37,3,article,md_processed,,,,cana j neur scie,"Carling-Rowland, A. and Black, S. and McDonald, L. and Kagan, A.",carlingrowland,stroke and aphasia overcoming the challenges of capacity evaluation,cjns
source_1.bib/0000000428;source_1.bib/0000000429,429,source_1.bib/0000000429,stroke and aphasia overcoming the challenges of capacity evaluation,2010,carlingrowland black mcdonald kagan,505,41,7,article,md_processed,,,,stro,"Carling-Rowland, A. and Black, S. and McDonald, L. and Kagan, A.",carlingrowland,stroke and aphasia overcoming the challenges of capacity evaluation,s
source_1.bib/0000000452;source_1.bib/0000000453,452,source_1.bib/0000000452,music therapy for acquired brain injury,2010,bradt magee dileo wheeler mcgilloway,,,7,article,md_processed,,,,coch data syst revi,"Bradt, J. and Magee, W. L. and Dileo, C. and Wheeler, B. L. and McGilloway, E.",bradt,music therapy for acquired brain injury,cdsr
source_1.bib/0000000452;source_1.bib/0000000453,453,source_1.bib/0000000453,music therapy for acquired brain injury,2010,bradt magee dileo wheeler mcgilloway,006787,,7,article,md_processed,,,,coch data syst revi,"Bradt, Joke and Magee, Wendy L. and Dileo, Cheryl and Wheeler, Barbara L. and McGilloway, Emer",bradt,music therapy for acquired brain injury,cdsr
source_1.bib/0000000454;source_1.bib/0000000455,454,source_1.bib/0000000454,"non pharmacological interventions for perceptual disorders following stroke and other adult acquired, non progressive brain injury",2011,bowen knapp gillespie nicolson vail,,,4,article,md_processed,,,,coch data syst revi,"Bowen, A. and Knapp, P. and Gillespie, D. and Nicolson, D. J. and Vail, A.",bowen,non pharmacological interventions for perceptual disorders following stroke and other,cdsr
source_1.bib/0000000454;source_1.bib/0000000455,455,source_1.bib/0000000455,"non pharmacological interventions for perceptual disorders following stroke and other adult acquired, non progressive brain injury",2011,bowen knapp gillespie nicolson vail,007039,,4,article,md_processed,,,,coch data syst revi,"Bowen, Audrey and Knapp, Peter and Gillespie, David and Nicolson, Donald J. and Vail, Andy",bowen,non pharmacological interventions for perceptual disorders following stroke and other,cdsr
