ID,ENTRYTYPE,doi,year,volume,number,url,journal,title,author,pages,abstract,language,dblp_key
000002,misc,10.25300/MISQ/2014/38.2,2014,38,2,https://misq.umn.edu/contents-38-2/,,,,,,,
000003,article,10.2307/248764,1977,1,1,,MIS Quarterly,Transfer Pricing Management Information Systems,"Turney, Peter B. B.",,,,
000004,article,10.2307/30036532,2003,27,2,,MIS Quarterly,The Adoption and Use of GSS in Project Teams: Toward More Participative Processes and Outcomes,Dennis and Garfield,289,,,
000005,article,10.25300/MISQ/2014/38.3.10,2014,38,3,,MIS Quarterly,Toward Generalizable Sociomaterial Inquiry: A Computational Approach for Zooming In and Out of Sociomaterial Routines,"Gaskin, James and Berente, Nicholas and Lyytinen, Kalle and Yoo, Youngjin",849--871,,,
000006,article,10.2307/249210,1988,12,3,,MIS Quarterly,Are Information Systems People Different? An Investigation of How They Are and Should Be Managed,"Ferratt, Thomas W. and Short, Larry E.",427,,,
000007,article,10.2307/248904,1978,2,4,,MIS Quarterly,The Internal Auditor's Role in MIS Developments,"Rittenberg, Larry E. and Purdy, Charles R.",,,,
000008,article,10.2307/20650275,2009,33,1,,MIS Quarterly,Comment: Where Is the Theory in Wikis?,Majchrzak,,,,
000009,article,10.2307/25148731,2006,30,2,,MIS Quarterly,The Effects of State-Based and Event-Based Data Representation on User Performance in Query Formulation Tasks,Allen and March,269,,,
000010,article,10.2307/249124,1988,12,4,,MIS Quarterly,Letter to the Editor,"Dutton, William H.",,,,
000011,article,10.2307/248949,1985,9,3,,MIS Quarterly,An Environmentally Dependent Framework for Data Dictionary Systems,"Kahn, Beverly K.",,,,
000013,article,10.25300/MISQ/2015/39.1.05,2015,39,1,https://misq.umn.edu/insider-threats-in-a-financial-institution-analysis-of-attack-proneness-of-information-systems-applications.html,MIS Quarterly,Insider Threats in a Financial Institution: Analysis of Attack-Proneness of Information Systems Applications,"Wang, Jingguo and Gupta, Manish and Rao, H. Raghav",91--112,,,
000015,article,10.2307/249145,1979,3,1,,MIS Quarterly,Cryptographic Protection of Computer-Based Data Files,"Murray, Thomas J.",,,,
000016,article,10.25300/MISQ/2014/38.1.12,2014,38,1,https://misq.umn.edu/distributed-cognition-in-software-design-an-experimental-investigation-of-the-role-of-design-patterns-and-collaboration.html,MIS Quarterly,Distributed Cognition in Software Design: An Experimental Investigation of the Role of Design Patterns and Collaboration,"Mangalaraj, George and Nerur, Sridhar and Mahapatra, RadhaKanta and Price, Kenneth H.",249--274,,,
