ID,orig_ID,orig_source,url,number,volume,year,doi,ENTRYTYPE,title,journal,author,pages,abstract,language,dblp_key
C_000002,000002,crossref,https://misq.umn.edu/contents-38-2/,2,38,2014,10.25300/MISQ/2014/38.2,misc,,,,,,,
C_000003,000003,crossref,,1,1,1977,10.2307/248764,article,Transfer Pricing Management Information Systems,MIS Quarterly,"Turney, Peter B. B.",,,,
C_000004,000004,crossref,,2,27,2003,10.2307/30036532,article,The Adoption and Use of GSS in Project Teams: Toward More Participative Processes and Outcomes,MIS Quarterly,Dennis and Garfield,289,,,
C_000005,000005,crossref,,3,38,2014,10.25300/MISQ/2014/38.3.10,article,Toward Generalizable Sociomaterial Inquiry: A Computational Approach for Zooming In and Out of Sociomaterial Routines,MIS Quarterly,"Gaskin, James and Berente, Nicholas and Lyytinen, Kalle and Yoo, Youngjin",849--871,,,
C_000006,000006,crossref,,3,12,1988,10.2307/249210,article,Are Information Systems People Different? An Investigation of How They Are and Should Be Managed,MIS Quarterly,"Ferratt, Thomas W. and Short, Larry E.",427,,,
C_000007,000007,crossref,,4,2,1978,10.2307/248904,article,The Internal Auditor's Role in MIS Developments,MIS Quarterly,"Rittenberg, Larry E. and Purdy, Charles R.",,,,
C_000008,000008,crossref,,1,33,2009,10.2307/20650275,article,Comment: Where Is the Theory in Wikis?,MIS Quarterly,Majchrzak,,,,
C_000009,000009,crossref,,2,30,2006,10.2307/25148731,article,The Effects of State-Based and Event-Based Data Representation on User Performance in Query Formulation Tasks,MIS Quarterly,Allen and March,269,,,
C_000010,000010,crossref,,4,12,1988,10.2307/249124,article,Letter to the Editor,MIS Quarterly,"Dutton, William H.",,,,
C_000011,000011,crossref,,3,9,1985,10.2307/248949,article,An Environmentally Dependent Framework for Data Dictionary Systems,MIS Quarterly,"Kahn, Beverly K.",,,,
C_000013,000013,crossref,https://misq.umn.edu/insider-threats-in-a-financial-institution-analysis-of-attack-proneness-of-information-systems-applications.html,1,39,2015,10.25300/MISQ/2015/39.1.05,article,Insider Threats in a Financial Institution: Analysis of Attack-Proneness of Information Systems Applications,MIS Quarterly,"Wang, Jingguo and Gupta, Manish and Rao, H. Raghav",91--112,,,
C_000015,000015,crossref,,1,3,1979,10.2307/249145,article,Cryptographic Protection of Computer-Based Data Files,MIS Quarterly,"Murray, Thomas J.",,,,
C_000016,000016,crossref,https://misq.umn.edu/distributed-cognition-in-software-design-an-experimental-investigation-of-the-role-of-design-patterns-and-collaboration.html,1,38,2014,10.25300/MISQ/2014/38.1.12,article,Distributed Cognition in Software Design: An Experimental Investigation of the Role of Design Patterns and Collaboration,MIS Quarterly,"Mangalaraj, George and Nerur, Sridhar and Mahapatra, RadhaKanta and Price, Kenneth H.",249--274,,,
C_000017,000017,crossref,,3,40,2016,10.25300/MISQ/2016/40.3.10,article,The Making of a Good Impression: Information Hiding in Ad Exchanges,MIS Quarterly,"Sun, Zhen and Dawande, Milind and Janakiraman, Ganesh and Mookerjee, Vijay",717--739,,,
C_000018,000018,crossref,https://misq.umn.edu/the-impact-of-the-sharing-economy-on-household-bankruptcy.html,3,45,2021,10.25300/MISQ/2021/15514,article,The Impact of the Sharing Economy on Household Bankruptcy,MIS Quarterly,"Nian, Tingting and Zhu, Yuyuan (Anthony) and Gurbaxani, Vijay",1213--1248,"Powered by digital technologies, many peer-to-peer platforms, or what is called the sharing economy, have emerged in the past decade. Although the impact of the sharing economy has received considerable attention over the past few years, extant research has not fully documented the impact of the sharing economy on consumers, workers, industry, or society as a whole. In this study, we exploit the geographical and temporal variation in Uber’s entry to examine its impact on the personal bankruptcy rate as well as on other consumer credit default rates. We empirically document the changes in personal bankruptcy filings after Uber’s entry, and show that personal bankruptcy filings under Chapter 7 experience a drop of 0.047 per 1,000 people after Uber enters a county, which translates to a 3.26% reduction in quarterly bankruptcy filings. Uber’s entry also leads to a reduction in Chapter 13 personal bankruptcy filings, but to a smaller degree (0.018 cases per 1,000 people per quarter). We check the validity of our estimates using business bankruptcy filings, which we find are uncorrelated with Uber’s entry.",,
C_000019,000019,crossref,https://misq.umn.edu/contents-45-2,2,45,2021,10.25300/MISQ/2021/45.2,misc,,,,,,,
C_000020,000020,crossref,https://misq.umn.edu/contents-41-4/,4,41,2017,10.25300/MISQ/2017/41.4,misc,,,,,,,
C_000021,000021,crossref,,1,36,2012,10.2307/41410409,article,Revisiting Bias Due to Construct Misspecification: Different Results from Considering Coefficients in Standardized Form,MIS Quarterly,Aguirre-Urreta and Marakas,,,,
C_000022,000022,crossref,,4,44,2020,10.25300/MISQ/2020/11872,article,Organizational Sensemaking in ERP Implementation: The Influence of Sensemaking Structure,MIS Quarterly,"Tan, Barney and Pan, Shan L. and Chen, Wenbo and Huang, Lihua",1773--1809,,,
