dataset,id1,id2,title1,author1,year1,title2,author2,year2
mixed,mixed_2722,mixed_3738,Improving Employees' Compliance Through Information Systems Security Training - An Action Research Study,"Puhakainen, Petri and Siponen, Mikko T.",2010,IMPROVING EMPLOYEES' COMPLIANCE THROUGH INFORMATION SYSTEMS SECURITY TRAINING: AN ACTION RESEARCH STUDY 1,"Puhakainen, Petri and Siponen, Mikko",nan
mixed,mixed_4882,mixed_1343,VIRTUAL SPACE AND PLACE: THEORY AND TEST 1,"Saunders, Carol and Rutkowski, Anne F and Van Genuchten, Michiel and Vogel, Doug and Orrego, Julio Molina",nan,Virtual Space and Place: Theory And Test,"Saunders and Rutkowski and van, Genuchten and Vogel and Orrego",2011
mixed,mixed_624,mixed_2995,Work Harder or Work Smarter? Information Technology and Resource Allocation in Healthcare Processes,"Yeow, Adrian and Goh, Kim Huat",2015,Work Harder or Work Smarter? Information Technology and Resource Allocation in Healthcare Processes,"Yeow, Adrian and Goh, Kim Huat",2015
mixed,mixed_1915,mixed_3105,System Dynamics Modeling for Information Systems Research: Theory of Development and Practical Application,"Fang, Yulin and Lim, Kai H. and Qian, Ying and Feng, Bo",2018,System Dynamics Modeling for Information Systems Research - Theory of Development and Practical Application,"Fang, Yulin and Lim, Kai H. and Qian, Ying and Feng, Bo",2018
mixed,mixed_3070,mixed_1443,On the Role of Fairness and Social Distance in Designing Effective Social Referral Systems,"Hong, Yili and Pavlou, Paul A. and Shi, Nan and Wang, Kanliang",2017,On the Role of Fairness and Social Distance in Designing Effective Social Referral Systems,"Hong, Yili and Pavlou, Paul A. and Shi, Nan and Wang, Kanliang",2017
mixed,mixed_4292,mixed_2635,ASSIMILATION OF ENTERPRISE SYSTEMS: THE EFFECT OF INSTITUTIONAL PRESSURES AND THE MEDIATING ROLE OF TOP MANAGEMENT 1,"Liang, Huigang and Saraf, Nilesh and Hu, Qing and Xue, Yajiong",nan,Assimilation of Enterprise Systems - The Effect of Institutional Pressures and the Mediating Role of Top Management,"Liang, Huigang and Saraf, Nilesh and Hu, Qing and Xue, Yajiong",2007
mixed,mixed_3896,mixed_1373,Microcomputer Playfulness: Development of a Measure With Workplace Implications,"Webster, Jane and Martocchio, Joseph J",nan,Microcomputer Playfulness: Development of a Measure with Workplace Implications,"Webster, Jane and Martocchio, Joseph J.",1992
mixed,mixed_1906,mixed_5198,Adverse Selection in B2B Secondary Market Online Auctions for IT Equipment: An Empirical Analysis,"Alhauli, Abdullah and Elmaghraby, Wedad and Gopal, Anandasivam",2022,ADVERSE SELECTION IN B2B SECONDARY MARKET ONLINE AUCTIONS FOR IT EQUIPMENT: AN EMPIRICAL ANALYSIS 1,"Alhauli, Abdullah and Elmaghraby, Wedad J and Gopal, Anandasivam",nan
mixed,mixed_297,mixed_4765,Organization Development Methods in the Management of the Information Systems Function,"Loftin, R. D. and Moosbruker, J. M.",1982,Organization Development Methods in the Management of the Information Systems Function,"Loftin, R. D and Moosbruker, J. M",nan
mixed,mixed_629,mixed_4771,The Value of It-Enabled Retailer Learning: Personalized Product Recommendations and Customer Store Loyalty in Electronic Markets,"Zhang, Tongxiao (Catherine) and Agarwal and Lucas",2011,THE VALUE OF IT-ENABLED RETAILER LEARNING: PERSONALIZED PRODUCT RECOMMENDATIONS AND CUSTOMER STORE LOYALTY IN ELECTRONIC MARKETS 1,"Zhang, Catherine and Agarwal, Ritu and Lucas, Henry C",nan
