cluster_id,id1,title1,author1,doi1,id2,title2,author2,doi2
0,C_000859,Editor's Comments: Necessary Changes,Saunders,10.2307/25148739,P_0000000896,Editor's Comments: Necessary Changes,Saunders,
1,D_000416,Measuring the Linkage between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",,D_000518,Measuring the Linkage between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",
2,D_000562,Editor's Comments,Weber,,D_000590,Editor's Comments,Weber,
3,P_0000000691,Editor's Comments,Weber,,P_0000001654,Editor's Comments,Weber,
4,C_001380,Editor's Comments: Necessary Changes,Saunders,10.2307/25148765,P_0000000896,Editor's Comments: Necessary Changes,Saunders,
5,D_000159,Instant Quality Control of Large Batch Processing Jobs,"Ahituv, Niv and Zelek, Meir",,P_0000000172,Instant Quality Control of Large Batch Processing Jobs,"Ahituv, Niv and Zelek, Meir",
6,C_000355,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",10.25300/MISQ/2016/40.4.08,D_001088,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",
7,C_000684,Editor's Comments,Weber,10.2307/30036516,P_0000000691,Editor's Comments,Weber,
8,C_000355,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",10.25300/MISQ/2016/40.4.08,P_0000000597,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",
9,D_000562,Editor's Comments,Weber,,P_0000000691,Editor's Comments,Weber,
10,C_000257,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",10.25300/MISQ/2016/40.4.05,D_001106,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",
11,C_000684,Editor's Comments,Weber,10.2307/30036516,P_0000001654,Editor's Comments,Weber,
12,D_000562,Editor's Comments,Weber,,P_0000001654,Editor's Comments,Weber,
13,C_000200,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",10.25300/MISQ/2016/40:4.03,P_0000001566,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",
14,C_000684,Editor's Comments,Weber,10.2307/30036516,C_000881,Editor's Comments,Weber,10.2307/25148621
15,C_000384,Editor's Comments: Necessary Changes,Saunders,10.2307/25148713,P_0000001723,Editor's Comments: Necessary Changes,Saunders,
16,C_001389,Straub/Editor's Comments,Straub,10.2307/25750684,P_0000001568,Straub/Editor's Comments,Straub,
17,P_0000000146,Editor's Comments,Weber,,P_0000000845,Editor's Comments,Weber,
18,C_001299,Straub/Editor's Comments,Straub,10.2307/25148851,P_0000000242,Straub/Editor's Comments,Straub,
19,P_0000000845,Editor's Comments,Weber,,P_0000001654,Editor's Comments,Weber,
20,P_0000000691,Editor's Comments,Weber,,P_0000000845,Editor's Comments,Weber,
21,C_000601,Editor's Comments: Use,Straub,10.2307/41703495,C_000978,Editor's Comments: Use,Straub,10.2307/41703494
22,C_000481,Measuring the Linkage between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",10.2307/3250980,D_000416,Measuring the Linkage between Business and Information Technology Objectives,"Reich, Blaize Horner and Benbasat, Izak",
23,C_000200,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",10.25300/MISQ/2016/40:4.03,C_000257,Transformational Issues of Big Data and Analytics in Networked Business,"Baesens, Bart and Bapna, Ravi and Marsden, James R. and Vanthienen, Jan and Zhao, J. Leon",10.25300/MISQ/2016/40.4.05
