ID,ID,ENTRYTYPE,file,grobid-version,journal,title,volume,number,author,doi,year,note
0000000003,0000000003,article,data/pdfs/34_1/StraubAnderson2010.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,EDITOR'S COMMENTS Journal Quality and Citations: Common Metrics and Considerations about Their Use,34,1,"Straub, Detmar and Anderson, Chad",,,
0000000004,0000000004,article,data/pdfs/12_2/MoneyTrompWegner1988.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,The Quantification of Decision Support Benefits Within the Context of Value Analysis,12,2,"Money, Arthur and Tromp, David and Wegner, Trevor",,,
0000000005,0000000005,article,data/pdfs/38_4/PangTaftiKrishnan2014.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,INFORMATION TECHNOLOGY AND ADMINISTRATIVE EFFICIENCY IN U.S. STATE GOVERNMENTS: A STOCHASTIC FRONTIER APPROACH 1,38,4,"Pang, Min-Seok and Tafti, Ali and Krishnan, M. S and Ross, Stephen M",,,
0000000006,0000000006,article,data/pdfs/32_4/AdomaviciusBockstedtGuptaEtAl2008.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,MAKING SENSE OF TECHNOLOGY TRENDS IN THE INFORMATION TECHNOLOGY LANDSCAPE: A DESIGN SCIENCE APPROACH 1,32,4,"Bockstedt, Jesse C and Gupta, Alok and Kauffman, Robert J",,,
0000000007,0000000007,article,data/pdfs/44_4/Rai2020.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,EDITOR'S COMMENTS,44,4,"Rai, Arun",,,
0000000008,0000000008,article,data/pdfs/41_2/GuTayi2017.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,CONSUMER PSEUDO-SHOWROOMING AND OMNI-CHANNEL PLACEMENT STRATEGIES 1,41,2,"Gu, Jane and Kumar, Giri",,,
0000000009,0000000009,article,data/pdfs/45_1/GuoLiuNault2021.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,"PROVISIONING INTEROPERABLE DISASTER MANAGEMENT SYSTEMS: INTEGRATED, UNIFIED, AND FEDERATED APPROACHES 1",45,1,"Guo, Hong and Liu, Yipeng and Nault, Barrie R",10.25300/MISQ/2020/14947,,
0000000010,0000000010,article,data/pdfs/23_1/DennisAronsonHeningerEtAl1999.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,Structuring Time and Task in Electronic Brainstorming,23,1,"Mis - Rterly, C. and Dennis, Alan R and Aronson, Jay E and Heninger, William G and Walker, Edward D",,,
0000000011,0000000011,article,data/pdfs/42_4/BhattacharyaGuptaHasija2018.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,SINGLE-SOURCING VERSUS MULTISOURCING: THE ROLES OF OUTPUT VERIFIABILITY ON TASK MODULARITY 1,42,4,"Bhattacharya, Shantanu and Gupta, Alok and Hasija, Sameer",10.25300/MISQ/2018/14067,,
0000000012,0000000012,article,data/pdfs/40_1/ChenZahedi2016.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,INDIVIDUALS' INTERNET SECURITY PERCEPTIONS AND BEHAVIORS: POLYCONTEXTUAL CONTRASTS BETWEEN THE UNITED STATES AND CHINA 1,40,1,"Chen, Yan and Lubar, Sheldon B",,,
