ID,orig_ID,orig_source,number,volume,title,journal,author,grobid-version,file,ENTRYTYPE,doi,year,note
P_0000000003,0000000003,pdf,1,34,EDITOR'S COMMENTS Journal Quality and Citations: Common Metrics and Considerations about Their Use,MIS Quarterly,"Straub, Detmar and Anderson, Chad",lfoppiano/grobid:0.8.1,data/pdfs/34_1/StraubAnderson2010.pdf,article,,,
P_0000000004,0000000004,pdf,2,12,The Quantification of Decision Support Benefits Within the Context of Value Analysis,MIS Quarterly,"Money, Arthur and Tromp, David and Wegner, Trevor",lfoppiano/grobid:0.8.1,data/pdfs/12_2/MoneyTrompWegner1988.pdf,article,,,
P_0000000005,0000000005,pdf,4,38,INFORMATION TECHNOLOGY AND ADMINISTRATIVE EFFICIENCY IN U.S. STATE GOVERNMENTS: A STOCHASTIC FRONTIER APPROACH 1,MIS Quarterly,"Pang, Min-Seok and Tafti, Ali and Krishnan, M. S and Ross, Stephen M",lfoppiano/grobid:0.8.1,data/pdfs/38_4/PangTaftiKrishnan2014.pdf,article,,,
P_0000000006,0000000006,pdf,4,32,MAKING SENSE OF TECHNOLOGY TRENDS IN THE INFORMATION TECHNOLOGY LANDSCAPE: A DESIGN SCIENCE APPROACH 1,MIS Quarterly,"Bockstedt, Jesse C and Gupta, Alok and Kauffman, Robert J",lfoppiano/grobid:0.8.1,data/pdfs/32_4/AdomaviciusBockstedtGuptaEtAl2008.pdf,article,,,
P_0000000007,0000000007,pdf,4,44,EDITOR'S COMMENTS,MIS Quarterly,"Rai, Arun",lfoppiano/grobid:0.8.1,data/pdfs/44_4/Rai2020.pdf,article,,,
P_0000000008,0000000008,pdf,2,41,CONSUMER PSEUDO-SHOWROOMING AND OMNI-CHANNEL PLACEMENT STRATEGIES 1,MIS Quarterly,"Gu, Jane and Kumar, Giri",lfoppiano/grobid:0.8.1,data/pdfs/41_2/GuTayi2017.pdf,article,,,
P_0000000009,0000000009,pdf,1,45,"PROVISIONING INTEROPERABLE DISASTER MANAGEMENT SYSTEMS: INTEGRATED, UNIFIED, AND FEDERATED APPROACHES 1",MIS Quarterly,"Guo, Hong and Liu, Yipeng and Nault, Barrie R",lfoppiano/grobid:0.8.1,data/pdfs/45_1/GuoLiuNault2021.pdf,article,10.25300/MISQ/2020/14947,,
P_0000000010,0000000010,pdf,1,23,Structuring Time and Task in Electronic Brainstorming,MIS Quarterly,"Mis - Rterly, C. and Dennis, Alan R and Aronson, Jay E and Heninger, William G and Walker, Edward D",lfoppiano/grobid:0.8.1,data/pdfs/23_1/DennisAronsonHeningerEtAl1999.pdf,article,,,
P_0000000011,0000000011,pdf,4,42,SINGLE-SOURCING VERSUS MULTISOURCING: THE ROLES OF OUTPUT VERIFIABILITY ON TASK MODULARITY 1,MIS Quarterly,"Bhattacharya, Shantanu and Gupta, Alok and Hasija, Sameer",lfoppiano/grobid:0.8.1,data/pdfs/42_4/BhattacharyaGuptaHasija2018.pdf,article,10.25300/MISQ/2018/14067,,
P_0000000012,0000000012,pdf,1,40,INDIVIDUALS' INTERNET SECURITY PERCEPTIONS AND BEHAVIORS: POLYCONTEXTUAL CONTRASTS BETWEEN THE UNITED STATES AND CHINA 1,MIS Quarterly,"Chen, Yan and Lubar, Sheldon B",lfoppiano/grobid:0.8.1,data/pdfs/40_1/ChenZahedi2016.pdf,article,,,
P_0000000013,0000000013,pdf,1,34,AN EMPIRICAL ANALYSIS OF THE IMPACT OF INFORMATION CAPABILITIES DESIGN ON BUSINESS PROCESS OUTSOURCING PERFORMANCE 1,MIS Quarterly,"Mani, Deepa and Barua, Anitesh and Whinston, Andrew",lfoppiano/grobid:0.8.1,data/pdfs/34_1/ManiBaruaWhinston2010.pdf,article,,,
P_0000000014,0000000014,pdf,3,27,THE INFLUENCE OF QUERY INTERFACE DESIGN ON DECISION-MAKING PERFORMANCE 1,MIS Quarterly,"Morris, Speier & and Speier, Cheri and Broad, Eli and Morris, Michael G",lfoppiano/grobid:0.8.1,data/pdfs/27_3/SpeierMorris2003.pdf,article,,,
P_0000000015,0000000015,pdf,1,23,c MIS rterly,MIS Quarterly,"Sahay, Walsham & and Gis In India, /. and Walsham, Geoff and Sahay, Sundeep",lfoppiano/grobid:0.8.1,data/pdfs/23_1/WalshamSahay1999.pdf,article,,,
P_0000000016,0000000016,pdf,3,26,EDITOR'S COMMENTS The Alliance,MIS Quarterly,"Weber, Ron",lfoppiano/grobid:0.8.1,data/pdfs/26_3/Weber2002b.pdf,article,,,
P_0000000017,0000000017,pdf,3,39,EXTENDING ICT4D STUDIES: THE VALUE OF CRITICAL RESEARCH 1,MIS Quarterly,"Lin, Cecilia I C and Kuo, Feng-Yang and Myers, Michael D",lfoppiano/grobid:0.8.1,data/pdfs/39_3/LinKuoMyers2015.pdf,article,,,
P_0000000018,0000000018,pdf,3,37,SPECIAL ISSUE: CRITICAL REALISM IN IS RESEARCH THE BROADER CONTEXT FOR ICT4D PROJECTS: A MORPHOGENETIC ANALYSIS 1,MIS Quarterly,"Muranga Njihia, James and Merali, Yasmin",lfoppiano/grobid:0.8.1,data/pdfs/37_3/NjihiaMerali2013.pdf,article,,,
P_0000000019,0000000019,pdf,2,35,EDITOR'S COMMENTS An Update and Extension to SEM Guidelines for Administrative and Social Science Research 1,MIS Quarterly,"Gefen, David and Rigdon, Edward E and Straub, Detmar",lfoppiano/grobid:0.8.1,data/pdfs/35_2/GefenRigdonStraub2011.pdf,article,,,
P_0000000020,0000000020,pdf,3,12,Airline Reservations Systems: Lessons From History,MIS Quarterly,"Copeland, Duncan G and Mckenney, James L",lfoppiano/grobid:0.8.1,data/pdfs/12_3/CopelandMcKenney1988.pdf,article,,,
P_0000000021,0000000021,pdf,1,34,WHAT MAKES A HELPFUL ONLINE REVIEW? A STUDY OF CUSTOMER REVIEWS ON AMAZON.COM 1,MIS Quarterly,"Mudambi, Susan M and Schuff, David",lfoppiano/grobid:0.8.1,data/pdfs/34_1/MudambiSchuff2010.pdf,article,,,
P_0000000022,0000000022,pdf,3,34,NEUTRALIZATION: NEW INSIGHTS INTO THE PROBLEM OF EMPLOYEE INFORMATION SYSTEMS SECURITY POLICY VIOLATIONS 1,MIS Quarterly,"Siponen, Mikko and Vance, Anthony",lfoppiano/grobid:0.8.1,data/pdfs/34_3/SiponenVance2010.pdf,article,,,
P_0000000023,0000000023,pdf,3,25,UNDERSTANDING INFORMATION SYSTEMS CONTINUANCE: AN EXPECTATION-CONFIRMATION MODEL 1,MIS Quarterly,"Bhattacherjee, Anol",lfoppiano/grobid:0.8.1,data/pdfs/25_3/Bhattacherjee2001.pdf,article,,,
P_0000000024,0000000024,pdf,4,13,Reducing Data Processing Costs Through Centralized Procurement,MIS Quarterly,"Taylor, James R",lfoppiano/grobid:0.8.1,data/pdfs/13_4/TaylorTucker1989.pdf,article,,,
P_0000000025,0000000025,pdf,2,46,CROSS-LINGUAL CYBERSECURITY ANALYTICS IN THE INTERNATIONAL DARK WEB WITH ADVERSARIAL DEEP REPRESENTATION LEARNING 1,MIS Quarterly,"Ebrahimi, Mohammadreza and Chai, Yidong and Samtani, Sagar and Chen, Hsinchun",lfoppiano/grobid:0.8.1,data/pdfs/46_2/EbrahimiChaiSamtaniEtAl2022.pdf,article,10.25300/MISQ/2022/16618,,
P_0000000026,0000000026,pdf,4,25,WEB-BASED VIRTUAL LEARNING ENVIRONMENTS: A RESEARCH FRAMEWORK AND A PRELIMINARY ASSESSMENT OF EFFECTIVENESS IN BASIC IT SKILLS TRAINING 1,MIS Quarterly,"Piccoli, Gabriele and Ahmad, Rami and Ives, Blake",lfoppiano/grobid:0.8.1,data/pdfs/25_4/PiccoliAhmadIves2001.pdf,article,,,
P_0000000027,0000000027,pdf,2,39,SUPPORT STRUCTURES AND THEIR IMPACTS ON EMPLOYEE OUTCOMES: A LONGITUDINAL FIELD STUDY OF AN ENTERPRISE SYSTEM IMPLEMENTATION 1,MIS Quarterly,"Sykes, Tracy Ann",lfoppiano/grobid:0.8.1,data/pdfs/39_2/Sykes2015.pdf,article,,,
P_0000000028,0000000028,pdf,1,20,An Empirical Examination of the Value of Creativity Support Systems on Idea Generation,MIS Quarterly,"Massetti, Brenda",lfoppiano/grobid:0.8.1,data/pdfs/20_1/Massetti1996.pdf,article,,,
P_0000000029,0000000029,pdf,2,16,Managing Telecommunications by Steering Committee',MIS Quarterly,"Torkzadeh, Gholamreza and Xia, Weidong",lfoppiano/grobid:0.8.1,data/pdfs/16_2/TorkzadehXia1992.pdf,article,,,
P_0000000030,0000000030,pdf,1,17,Experiences in Strategic Information Systems Planning*,MIS Quarterly,"Earl, Michael",lfoppiano/grobid:0.8.1,data/pdfs/17_1/Earl1993.pdf,article,,,
