cluster,ID,title,author,dblp_key,url,year,booktitle,ENTRYTYPE,metadata_source,__orig_index
1,005710,A Cluster Analysis for Research on Digital Transformation in Non-profit Organisations,"Cipriano, Michele and Za, Stefano",https://dblp.org/rec/conf/ecis/CiprianoZ22,https://aisel.aisnet.org/ecis2022_rip/54,2022,European Conference on Information Systems,inproceedings,,5709
1,005711,Which Digital Transformation Strategy for Non-profit Organisations,"Cipriano, Michele and Za, Stefano",https://dblp.org/rec/conf/ecis/CiprianoZ22a,https://aisel.aisnet.org/ecis2022_rp/153,2022,European Conference on Information Systems,inproceedings,,5710
2,004412,Merging Platform Ecosystems in Technology Acquisitions - a Governance Perspective,"Dowie, Jamie and Henningsson, Stefan and Kude, Thomas and Popp, Karl Michael",https://dblp.org/rec/conf/ecis/DowieHKP17,https://aisel.aisnet.org/ecis2017_rp/146,2017,European Conference on Information Systems,inproceedings,DBLP,4411
2,004413,Merging Platform Ecosystems in Technology Acquisitions - a Governance Perspective,"Dowie, Jamie and Henningsson, Stefan and Kude, Thomas and Popp, Karl Michael",https://dblp.org/rec/conf/ecis/DowieHKP17a,https://aisel.aisnet.org/ecis2017_rp/147,2017,European Conference on Information Systems,inproceedings,DBLP,4412
3,002844,Social media and organisation policy (someop) - finding the perfect balance,"Husin, Mohd H. and Hanisch, Jo",https://dblp.org/rec/conf/ecis/HusinH11,http://aisel.aisnet.org/ecis2011/253,2011,European Conference on Information Systems,inproceedings,DBLP,2843
3,002845,Utilising the social media and organisation policy (someop) framework - an example of organisational policy development within a public sector entity,"Husin, Mohd H. and Hanisch, Jo",https://dblp.org/rec/conf/ecis/HusinH11a,http://aisel.aisnet.org/ecis2011/264,2011,European Conference on Information Systems,inproceedings,DBLP,2844
4,002808,Investigating transactive memory shaped by knowledge management tools - proposing a longitudinal study in china,"Davison, Robert M. and Ou, Carol Xiaojuan",https://dblp.org/rec/conf/ecis/DavisonO11,http://aisel.aisnet.org/ecis2011/38,2011,European Conference on Information Systems,inproceedings,DBLP,2807
4,002809,Investigating transactive memory shaped by knowledge management tools - proposing a longitudinal study in china,"Davison, Robert M. and Ou, Carol Xiaojuan",https://dblp.org/rec/conf/ecis/DavisonO11a,http://aisel.aisnet.org/ecis2011/208,2011,European Conference on Information Systems,inproceedings,DBLP,2808
5,000858,Panel - Panels on Electronic Commerce,"Shaw, Michael J. and Bichler, Martin and Klein, Stefan and Langdon, Christoph Schlueter and Tan, Gek Woo",https://dblp.org/rec/conf/ecis/ShawBKLT00,http://aisel.aisnet.org/ecis2000/168,2000,European Conference on Information Systems,inproceedings,DBLP,857
5,000859,Panel - Panels on Electronic Commerce,"Shaw, Michael J. and Blanning, Robert W. and Koehler, Gary J. and O'Keefe, Robert and Whinston, Andrew B.",https://dblp.org/rec/conf/ecis/ShawBKOW00,http://aisel.aisnet.org/ecis2000/168,2000,European Conference on Information Systems,inproceedings,DBLP,858
