cluster,ID,title,author,year,booktitle,grobid-version,file,ENTRYTYPE,note,doi,text_from_pdf,__orig_index
1,0000004530,CONCEPTUAL CONVERGENCES: POSITIONING INFORMATION SYSTEMS AMONG THE BUSINESS DISCIPLINES,"Hovorka, Dirk S ; and Larsen",2009,European Conference on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/2009/Conceptual Convergences Positioning I.pdf,inproceedings,,,,4516
1,0000004959,CONCEPTUAL CONVERGENCES: POSITIONING INFORMATION SYSTEMS AMONG THE BUSINESS DISCIPLINES,"Hovorka, Dirk S ; and Larsen and Research, Marketing",2009,European Conference on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/2009/Component-Based Process Modelling In .pdf,inproceedings,,,,4942
2,0000001061,CONSULTANTS' EXPERIENCE OF REQUIREMENTS ELICITATION CONVERSATIONS -AN EMPIRICAL MODEL,Davey,2009,European Conference on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/2009/Constructing Comparable Business Proc.pdf,inproceedings,,,,1057
2,0000003942,CONSULTANTS' EXPERIENCE OF REQUIREMENTS ELICITATION CONVERSATIONS -AN EMPIRICAL MODEL,Davey,2009,European Conference on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/2009/Consultants Experience Of Requirement.pdf,inproceedings,,,,3931
3,0000001698,UTILISING THE SOCIAL MEDIA AND ORGANISATION POLICY (SOMEOP) FRAMEWORK: AN EXAMPLE OF ORGANISATIONAL POLICY DEVELOPMENT WITHIN A PUBLIC SECTOR ENTITY,"Husin, Mohd and Heikal",2011,European Conference on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/2011/Utilising The Social Media And Organi.pdf,inproceedings,,,,1693
3,0000004324,SOCIAL MEDIA AND ORGANISATION POLICY (SOMEOP): FINDING THE PERFECT BALANCE,"Husin, Mohd and Heikal",2011,European Conference on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/2011/Social Media And Organisation Policy .pdf,inproceedings,,,,4311
4,0000002666,.,"Francalanci, Chiara and Piuri, Vincenzo",1998,European Conference on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/1998/19980164.pdf,inproceedings,,,,2658
4,0000004920,THE IMPACT OF COMPLEXITY ON SOFTWARE DESIGN QUALITY AND COSTS: AN EXPLORATORY EMPIRICAL ANALYSIS OF OPEN SOURCE APPLICATIONS,"Francalanci and Chiara and Merlo, Francesco",2008,European Conference on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/2008/The Impact Of Complexity On Software .pdf,inproceedings,,,,4903
5,0000001057,DIRECTIONS IN OBJECT-ORIENTED SYSTEMS DEVELOPMENT RESEARCH J os VAN HILLEGERSBERG,"Mathiassen, Lars and Peter, Axel and Nielsen and Kumar, Kuldeep and Welke, Richard J",1996,European Conference on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/1996/19960040.pdf,inproceedings,,,,1053
5,0000002180,DIRECTIONS IN OBJECT-ORIENTED SYSTEMS DEVELOPMENT RESEARCH J os VAN HILLEGERSBERG,"Kumar, Kuldeep and Welke, Richard J",1996,European Conference on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/1996/19960039.pdf,inproceedings,,,,2172
6,0000001180,Global Co-Operation in the New Millennium The 9th European Conference on Information Systems,"Zulfiqar, Khan A and Pan, Shan L and Lee, Jae-Nam and Huang, Jimmy C",2001,European Conference on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/2001/Egovernment An Exploratory Study Of O.pdf,inproceedings,,,,1176
6,0000004443,Global Co-Operation in the New Millennium The 9th European Conference on Information Systems,"Sipior, Janice C and Ward, Burke T",2001,European Conference on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/2001/Cyberliability Is The Chief Privacy O.pdf,inproceedings,,,,4429
7,0000003857,SUPPORTING SITE SECURITY POLICIES FOR MEMBERS OF FEDERATED DATABASES,"Olivier, Martin S",1996,European Conference on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/1996/19960014.pdf,inproceedings,,,,3847
7,0000004642,SUPPORTING SITE SECURITY POLICIES FOR MEMBERS OF FEDERATED DATABASES,"Pouloudi, Athanasia and Whitley, Edgar A and Olivier, Martin S",1996,European Conference on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/1996/19960015.pdf,inproceedings,,,,4626
8,0000002212,THE IMPACT OF LEARNING CULTURE AND INFORMATION TECHNOLOGY USE ON KNOWLEDGE-SHARING: A CASE OF KFUPM,,2009,European Conference on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/2009/Sources Of It Dynamic Capability In T.pdf,inproceedings,,,,2204
8,0000003987,THE IMPACT OF LEARNING CULTURE AND INFORMATION TECHNOLOGY USE ON KNOWLEDGE-SHARING: A CASE OF KFUPM,,2009,European Conference on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/2009/The Impact Of Learning Culture And In.pdf,inproceedings,,,,3976
