ID,author,title,year,journal,doi
000001,James Cox and Steven Clark,Problems in Implementing and Operating a Manufacturing Resource Planning Information System,1984,Journal of Management Information Systems,
0000000734,James Cox and Steven Clark,Problems in Implementing and Operating a Manufacturing Resource Planning Information System,,Journal of Management Information Systems,
000002,Jeffrey Kottemann and Benn Konsynski,Information Systems Planning and Development - Strategic Postures and Methodologies,1984,Journal of Management Information Systems,
0000000298,Jeffrey Kottemann and Benn Konsynski,Information Systems Planning and Development: Strategic Postures and Methodologies,,Journal of Management Information Systems,
000003,Vladimir Zwass,Management Information Systems - Beyond the Current Paradigm,1984,Journal of Management Information Systems,
000004,Lee Gremillion,Organization Size and Information System Use - An Empirical Study,1984,Journal of Management Information Systems,
0000000230,Lee Gremillion,Organization Size and Information System Use: An Empirical Study,,Journal of Management Information Systems,
000005,Ronald Lee,Information System Semantics (A Logic-Based Approach),1984,Journal of Management Information Systems,
0000001148,Ronald Lee,Information System Semantics (A Logic-Based Approach),,Journal of Management Information Systems,
000006,Abe Lockman and Naftaly Minsky,Designing Financial Information Systems for Auditability,1984,Journal of Management Information Systems,
0000000562,Abe Lockman and Naftaly Minsky,Designing Financial Information Systems for Auditability,,Journal of Management Information Systems,
000007,Levent Orman,Fighting Information Pollution with Decision Support Systems,1984,Journal of Management Information Systems,
0000000465,Levent Orman and Bertrand Russell,Fighting Information Pollution with Decision Support Systems,,Journal of Management Information Systems,
000008,Gary Grudnitski,Eliciting Decision-Makers' Information Requirements - Application of the Rep Test Methodology,1984,Journal of Management Information Systems,
0000000900,Gary Grudnitski,Eliciting Decision-Makers' Information Requirements: Application of the Rep Test Methodology,,Journal of Management Information Systems,
000009,Matthias Jarke and Jacob Shalev,A Database Architecture for Supporting Business Transactions,1984,Journal of Management Information Systems,
0000000261,Matthias Jarke and Jacob Shalev,A Database Architecture for Supporting Business Transactions,,Journal of Management Information Systems,
000010,David Farwell,DSS Mechanisms for Judgemental Flexibility - An Exploratory Survey,1984,Journal of Management Information Systems,
0000000214,David Farwell,DSS Mechanisms for Judgmental Flexibility: An Exploratory Survey,,Journal of Management Information Systems,
000011,David Maier,Capturing More Meaning in Databases,1984,Journal of Management Information Systems,
0000000829,David Maier,Capturing More Meaning in Databases,,Journal of Management Information Systems,
000012,Morton Norman and Amador Muriel,Writing Simple Program Generators - A Case Study in Building Productivity Tools,1984,Journal of Management Information Systems,
0000000066,Morton Norman and Amador Muriel and York Norman,Writing Simple Program Generators: A Case Study in Building Productivity Tools,,Journal of Management Information Systems,
000013,Charles Snyder and James Cox,A Dynamic Systems Development Life-Cycle Approach - A Project Management Information System,1985,Journal of Management Information Systems,
0000000464,Charles Snyder and James Cox,A Dynamic Systems Development Life-Cycle Approach: A Project Management Information System,,Journal of Management Information Systems,
000014,James Cash and Poppy McLeod,Managing the Introduction of Information Systems Technology in Strategically Dependent Companies,1985,Journal of Management Information Systems,
