ID,author,title,year,volume,number,pages,doi,ENTRYTYPE,series,abstract,search_set,container_title,author_full,author_first,title_short,container_title_short,origin
1, lear andy daniel ande oleary,impact data accuracy system learning,,9,4,,,article,,,,j mana info syst,'. Lear and Y. Daniel and E. O'leary,lear,impact data accuracy system learning,jmis,1
2,arun bansal androbert j kauffman androb r weitz,comparing modeling performance regression neural networks data quality varies business value approach,,10,1,,,article,,,,j mana info syst,Arun Bansal and Robert J Kauffman and Rob R Weitz and Rob R Wettz and Robert M Mark,arun,comparing modeling performance regression neural networks data quality varies business,jmis,2
4,mark,user perceptions decision support system restrictiveness experiment mark s silver,,5,1,,,article,,,,j mana info syst,Mark S Silver,mark,user perceptions decision support system restrictiveness experiment mark s silver,jmis,4
5,raymond mcleod andjohn c rogers andluis obispo he,"marketing information systems fortune 500 companies past, present, future",,10,1,,,article,,,,j mana info syst,Raymond Mcleod and John C Rogers and Luis Obispo He,raymond,"marketing information systems fortune 500 companies past, present, future",jmis,5
6,yu guo andxiaotong li,"platform competition sharing economy understanding how ride hailing services influence new car purchases yue guo, xiaotong li, xiaohua zeng",,36,4,,101080/0742122220191661087,article,,,,j mana info syst,Yue Guo and Xiaotong Li,yu,platform competition sharing economy understanding how ride hailing services influence,jmis,6
7,anne p massey andmitzi m montoyaweiss andyuting hung,because time matters temporal coordination global virtual project teams,,19,4,,,article,,,,j mana info syst,Anne P Massey and Mitzi M Montoya-Weiss and Yu-Ting Hung and Annrp Massey and Mrrzi M Montoya-Weiss,anne,because time matters temporal coordination global virtual project teams,jmis,7
8,byungta lee andnirup m menon,information technology value through different normative lenses,,16,4,,,article,,,,j mana info syst,Byungtae Lee and Nirup M Menon,byungta,information technology value through different normative lenses,jmis,8
9,eric k clemons andlorin m hitt,poaching misappropriation information transaction risks information exchange,,21,2,,,article,,,,j mana info syst,Eric K Clemons and Lorin M Hitt,eric,poaching misappropriation information transaction risks information exchange,jmis,9
10,daniel robey andmark keil,turning around troubled software projects exploratory study deescalation commitment failing courses action,,15,4,,,article,,,,j mana info syst,Daniel Robey and Mark Keil,daniel,turning around troubled software projects exploratory study deescalation commitment failing,jmis,10
11,nathan w twyman andbenjamin lowry andjudee k burgoon,autonomous scientifically controlled screening systems detecting information purposely concealed individuals,,31,3,,101080/074212222014995535,article,,,,j mana info syst,Nathan W Twyman and Benjamin Lowry and Judee K Burgoon and Jay F Nunamaker and W. Nathan and Twyman and Paul Benjamin Lowry,nathan,autonomous scientifically controlled screening systems detecting information purposely concealed individuals,jmis,11
12,alexander benlian andwilliam j kettinger andali sunyav andtill,"check updates special section transformative value cloud computing decoupling, platformization, recombination theoretical framework",,35,3,,101080/0742122220181481634,article,,,,j mana info syst,Alexander Benlian and William J Kettinger and Ali Sunyaev and Till J Winkler and William S Lee Distinguished and Titl J Winkler,alexander,"check updates special section transformative value cloud computing decoupling, platformization,",jmis,12
13,reza alibakhshi andshirish c srivastava,post story influence introducing story feature social media posts,,39,2,,101080/0742122220222063550,article,,,,j mana info syst,Reza Alibakhshi and Shirish C Srivastava,reza,post story influence introducing story feature social media posts,jmis,13
14,shahla ghobadi andlars mathiassen,generational perspective software workforce precocious users social networking software development,,37,1,,101080/0742122220191705508,article,,,,j mana info syst,Shahla Ghobadi and Lars Mathiassen,shahla,generational perspective software workforce precocious users social networking software development,jmis,14
15,tingpeng,"special issue neuroscience information systems research ting peng liang jan vom brocke, guest editors",,30,4,,102753/mis0742_1222300401,article,,,,j mana info syst,Ting-Peng Liang,tingpeng,special issue neuroscience information systems research ting peng liang jan,jmis,15
16,ravi mantena andrajib l saha andwilliam e simon,co opetition between differentiated platforms 2 sided markets,,29,2,,102753/mis0742_1222290205,article,,,,j mana info syst,Ravi Mantena and Rajib L Saha and William E Simon,ravi,co opetition between differentiated platforms 2 sided markets,jmis,16
17,robert o briggs andjay f nunamaker andralph h,"special issue gss insights look back at lab, look forward field",,15,3,,,article,,,,j mana info syst,Robert O Briggs and Jay F Nunamaker and Ralph H Sprague,robert,"special issue gss insights look back at lab, look forward",jmis,17
18,m eric andjohnson m eric johnson,information risk inadvertent disclosure analysis file sharing risk financial supply chain,,25,2,,102753/mis0742_1222250205,article,,,,j mana info syst,M. Eric and Johnson M Eric Johnson,m,information risk inadvertent disclosure analysis file sharing risk financial supply,jmis,18
19,monica j garfield andalan r dennis,toward integrated model group development disruption routines technology induced change,,29,3,,102753/mis0742_1222290302,article,,,,j mana info syst,Monica J Garfield and Alan R Dennis,monica,toward integrated model group development disruption routines technology induced change,jmis,19
20,chihping wei androger h l chiang andchiachen wu,accommodating individual preferences categorization documents personalized clustering approach,,23,2,,102753/mis0742_1222230208,article,,,,j mana info syst,Chih-Ping Wei and Roger H L Chiang and Chia-Chen Wu,chihping,accommodating individual preferences categorization documents personalized clustering approach,jmis,20
21,henner gimpel andsebastian heger andchristian olenberger andlena utz,effectiveness social norms fighting fake news social media,,38,1,,101080/0742122220211870389,article,,,,j mana info syst,Henner Gimpel and Sebastian Heger and Christian Olenberger and Lena Utz,henner,effectiveness social norms fighting fake news social media,jmis,21
23,benedikt berger andchristian matt anddennis m steininger andthomas,it is not just about competition free differences between content,,32,3,,101080/0742122220151095038,article,,,,j mana info syst,Benedikt Berger and Christian Matt and Dennis M Steininger and Thomas Hess,benedikt,it is not just about competition free differences between content,jmis,23
24,eric k clemons andjoshua s wilson,"family preferences concerning online privacy, data mining, targeted ads regulatory implications",,32,2,,101080/0742122220151063277,article,,,,j mana info syst,Eric K Clemons and Joshua S Wilson,eric,"family preferences concerning online privacy, data mining, targeted ads regulatory",jmis,24
25,matthew l jensen andpaul benjamin lowry andjudee k,technology dominance complex decision making case aided credibility assessment,,27,1,,102753/mis0742_1222270108,article,,,,j mana info syst,Matthew L Jensen and Paul Benjamin Lowry and Judee K Burgoon and Jay F Nunamaker and L. Matthew and Jensen,matthew,technology dominance complex decision making case aided credibility assessment,jmis,25
26,stella hanbyeol andchoi andwonseok oh andchanhee kwak andjunyeong,effects online crowds self disclosure behaviors online reviews multidimensional examination,,39,1,,101080/0742122220212023412,article,,,,j mana info syst,Stella Hanbyeol and Choi and Wonseok Oh and Chanhee Kwak and Junyeong Lee and Heeseok Lee,stella,effects online crowds self disclosure behaviors online reviews multidimensional examination,jmis,26
