ID,author,title,year,journal,volume,number,pages,url,doi
3,,,,Journal of Management Information Systems,8,4,,,
22,,,,Journal of Management Information Systems,30,2,,,10.2753/MIS0742-1222300205
42,,,,Journal of Management Information Systems,17,1,,,
71,,,,Journal of Management Information Systems,2,4,,,
72,Rosalie Ocker and Jerry Fjermestad and Starr Roxanne Hiltz and Kenneth Johnson and Bernard C Y Tan and Kwok-Kee Wei and Richard T Watson and Rita M Walczuch,,,Journal of Management Information Systems,15,1,,,
83,Brian Kimball Dunn and Narayan Ramasubbu and Dennis F Galletta and Paul Benjamin Lowry,,,Journal of Management Information Systems,36,2,,,10.1080/07421222.2019.1598682
87,,,,Journal of Management Information Systems,16,1,,,
113,,,,Journal of Management Information Systems,19,2,,,
116,Ram L Kumar,,,Journal of Management Information Systems,32,1,,,10.1080/07421222.2015.1029382
132,Atbert Lederer and Roger Mchaney and Vijay Agarwat and Melinda Cline and Nirup M Menon and Anne Powell and Srinivasan Raghunathan,,,Journal of Management Information Systems,21,1,,,
145,Eric K Clemons and Bruce W Weber,Special Section: Strategic Information Systems,,Journal of Management Information Systems,15,2,,,
146,Eric K Clemons and Bruce W Weber,Special Section: Strategic and Competitive Information Systems,,Journal of Management Information Systems,16,2,,,
158,,,,Journal of Management Information Systems,29,1,,,10.2753/MIS0742-1222290101
194,,,,Journal of Management Information Systems,21,4,,,
204,,,,Journal of Management Information Systems,34,1,,,10.1080/0742
215,Dennis F Galletta and James Y L Thong,,,Journal of Management Information Systems,20,1,,,
221,,,,Journal of Management Information Systems,39,1,,,10.1080/07421222.2021.2023402
223,Quarterly Mis,,,Journal of Management Information Systems,22,1,,,
226,,,,Journal of Management Information Systems,19,3,,,
245,,,,Journal of Management Information Systems,33,1,,,10.1080/07421222.2016.1175293
253,Eric K Clemons and Robert J Kauffman and Weber,"Special Section: Competitive Strategy, Economics, and Information Systems",,Journal of Management Information Systems,27,3,,,10.2753/MIS0742-1222270301
274,Robert O Briggs,Special Issue: Designing Tools to Answer Great Information Systems Research Questions,,Journal of Management Information Systems,33,4,,,10.1080/07421222.2016.1267512
276,In and \m Rust and Vahidov,,,Journal of Management Information Systems,18,2,,,
299,,,,Journal of Management Information Systems,34,3,,,10.1080/07421222.2017.1372993
305,,,,Journal of Management Information Systems,27,2,,,10.2753/MIS0742-1222270200
308,Philip Yetton,,,Journal of Management Information Systems,16,4,,,
309,,,,Journal of Management Information Systems,29,3,,,10.2753/MIS0742-1222290300
315,Jing Deng,,,Journal of Management Information Systems,32,1,,,10.1080/07421222.2015.1029397
319,,,,Journal of Management Information Systems,23,3,,,10.2753/MIS0742-1222230300
328,,,,Journal of Management Information Systems,28,1,,,10.2753/MIS0742-1222280105
332,,,,Journal of Management Information Systems,12,4,,,
336,,,,Journal of Management Information Systems,5,4,,,
338,,,,Journal of Management Information Systems,38,1,,,10.1080/07421222.2020.1870376
351,,,,Journal of Management Information Systems,18,2,,,
373,Vladimir Zwass,,,Journal of Management Information Systems,9,4,,,
384,Rajendra P Srivastava and Ted Mock,,,Journal of Management Information Systems,22,4,,,
387,,,,Journal of Management Information Systems,15,4,,,
392,Peter H Gray and Alexandra Durcikova,,,Journal of Management Information Systems,22,3,,,
412,,,,Journal of Management Information Systems,20,3,,,
426,,,,Journal of Management Information Systems,7,1,,,
437,,,,Journal of Management Information Systems,24,2,,,10.2753/MIS0742-1222240200
444,Vladimir Zwass,,,Journal of Management Information Systems,1,2,,,
448,Spencer Rugaber,,,Journal of Management Information Systems,12,3,,,
451,,,,Journal of Management Information Systems,33,3,,,10.1080/07421222.2016.1243874
452,,,,Journal of Management Information Systems,27,4,,,10.2753/MIS0742-1222270400
460,Thompson S H Teo and Shirish C Srivastava and Li Jiang,,,Journal of Management Information Systems,25,3,,,10.2753/MIS0742-1222250300
468,,,,Journal of Management Information Systems,24,1,,,10.2753/MIS0742-1222240100
470,,,,Journal of Management Information Systems,11,2,,,
476,,,,Journal of Management Information Systems,21,1,,,
478,,,,Journal of Management Information Systems,36,3,,,10.1080/07421222.2019.1628848
494,,,,Journal of Management Information Systems,27,1,,,10.2753/MIS0742-1222270104
512,Eric K Clemons and Michael C Row,Special Section: Strategic and Competitive Information Systems,,Journal of Management Information Systems,9,2,,,
530,,,,Journal of Management Information Systems,11,4,,,
531,Eric K Clemons and Bruce W Weber,Special Section: Strategic and Competitive Information Systems,,Journal of Management Information Systems,14,2,,,
532,,,,Journal of Management Information Systems,10,2,,,
541,,,,Journal of Management Information Systems,17,2,,,
542,,,,Journal of Management Information Systems,25,2,,,10.2753/MIS0742-1222250200
548,,,,Journal of Management Information Systems,6,2,,,
549,Vladimir Zwass,,,Journal of Management Information Systems,7,2,,,
551,,,,Journal of Management Information Systems,21,3,,,
561,,,,Journal of Management Information Systems,30,1,,,10.2753/MIS0742-1222300100
566,,,,Journal of Management Information Systems,30,3,,,10.2753/MIS0742-1222300300
582,,,,Journal of Management Information Systems,26,1,,,10.2753/MIS0742-1222260100
603,,,,Journal of Management Information Systems,32,2,,,10.1080/07421222.2015.1063266
604,,,,Journal of Management Information Systems,9,1,,,
608,,,,Journal of Management Information Systems,24,3,,,
614,,,,Journal of Management Information Systems,29,1,,,10.2753/MIS0742-1222290100
622,Tridas Mukhopadhyay and Byungjoon Yoo and Vidyanand Choudhary,,,Journal of Management Information Systems,19,3,,,
625,,,,Journal of Management Information Systems,27,3,,,10.2753/MIS0742-1222270300
628,,,,Journal of Management Information Systems,3,2,,,
636,,,,Journal of Management Information Systems,27,2,,,10.2753/MIS0742-1222270203
644,Steven D Sheetz and Gretchen Irwin and David P Tegarden and H. James Nelson and David E Monarchi,,,Journal of Management Information Systems,14,2,,,
656,,,,Journal of Management Information Systems,31,2,,,10.2753/MIS0742-1222310200
673,Steven J Pentland and Nathan W Twyman and Judee K Burgoon and Jay F Nunamaker and Christopher B R Diller,A Video-Based Screening System for Automated Risk Assessment Using Nuanced Facial Features,,Journal of Management Information Systems,34,4,,,10.1080/07421222.2017.1393304
674,,,,Journal of Management Information Systems,17,4,,,
675,Eric K Clemons and Rajiv M Dewan and Robert J Kauffman,,,Journal of Management Information Systems,34,2,,,10.1080/07421222.2017.1334463
678,,,,Journal of Management Information Systems,10,1,,,
685,,,,Journal of Management Information Systems,11,1,,,
691,,,,Journal of Management Information Systems,32,4,,,10.1080/07421222.2015.1138361
700,Jack Baroudi and Henry C Lucas,Special Section: Information Technology and Organization Design,,Journal of Management Information Systems,10,4,,,
702,,,,Journal of Management Information Systems,1,4,,,
712,,,,Journal of Management Information Systems,13,1,,,
717,Maryam Alavi and Ira R Weiss,Managing the Risks Associated with End-User Computing,,Journal of Management Information Systems,2,3,,,
726,,,,Journal of Management Information Systems,28,3,,,10.2753/MIS0742-1222280300
740,,,,Journal of Management Information Systems,26,3,,,10.2753/MIS0742-1222260300
773,,,,Journal of Management Information Systems,4,3,,,
783,,,,Journal of Management Information Systems,8,2,,,
792,Robert O Briggs and Jay F Nunamaker and Ralph H Sprague,,,Journal of Management Information Systems,22,4,,,
800,,,,Journal of Management Information Systems,21,3,,,
822,,,,Journal of Management Information Systems,18,3,,,
832,Eric K Clemons and Michael C Row,Special Section: Strategic and Competitive Information Systems,,Journal of Management Information Systems,10,2,,,
833,,,,Journal of Management Information Systems,32,1,,,10.1080/07421222.2015.1029378
845,Richard Leifer,,,Journal of Management Information Systems,8,4,,,
846,,,,Journal of Management Information Systems,5,2,,,
854,Jay F Nunamaker and Ralph H Sprague,Special Section: Information Technology and IT Organizational Impact,,Journal of Management Information Systems,11,3,,,
858,,,,Journal of Management Information Systems,35,2,,,10.1080/07421222.2018.1451949
875,,,,Journal of Management Information Systems,12,1,,,
877,,,,Journal of Management Information Systems,4,4,,,
887,,,,Journal of Management Information Systems,5,3,,,
889,Eric K Clemons and Rajiv M Dewan and Robert J Kaufeman and Robert J Kauffman,"Special Issue: Competitive Strategy, Economics, and Information Systems",,Journal of Management Information Systems,21,2,,,
899,Eric K Clemons,Special Section: Strategic and Competitive Information Systems,,Journal of Management Information Systems,8,2,,,
905,,,,Journal of Management Information Systems,19,1,,,
912,Paul Benjamin Lowry and Jun Zhang and Gregory D Moody and Sutirtha Chatterjee and Chuang Wang and Tailai Wu and Henri Pirkkaleinen and Markus Salo and Monideepa Tarafdar and Markus Makkonen,,,Journal of Management Information Systems,36,4,,,10.1080/07421222.2019.1661085
951,Edward A Stohr,special Issue: Decision Support and Knowledge-Based Systems,,Journal of Management Information Systems,3,4,,,
957,,,,Journal of Management Information Systems,4,1,,,
965,,,,Journal of Management Information Systems,38,4,,,10.1080/07421222.2021.1990606
979,Robert J Kauffman and Thomas A Weber and D. J Wu and Jen-Hwa Paul and Michael Hu and Han-Fen Chau and Zhuo Hu and Olivia R Yang and Sheng Liu,,,Journal of Management Information Systems,29,2,,,10.2753/MIS0742-1222290200
987,,,,Journal of Management Information Systems,6,1,,,
1002,,,,Journal of Management Information Systems,23,1,,,
1006,,,,Journal of Management Information Systems,37,3,,,10.1080/07421222.2020.1790175
1026,,,,Journal of Management Information Systems,28,4,,,10.2753/MIS0742-1222280408
1027,Niv Ahituv and Hyung Jun and Ahn Pervaiz and Alam Gove and Allen Omar Alnuaimi and Paul Alpar and Kemal Altinkemer and Naveen Amblee and Hayward P Andres and Corey Angst and Kursad Asdemir and Norman Au and Yoris Au and Benoit A Aubert and Peter Van Baalen and Barbro Back and Akhilesh Bajaj and Dirk Baldwin and Subhajyoti Bandyopadhyay and Ravi Bapna and Indranil R Bardhan and Reza Barkhi and Henri Barki and Stuart J Barnes and Anitesh Barua and Richard Baskerville and Geneviève Bassellier and Dinesh Batra and Skip Benamati and Michel Benaroch and Raquel Benbunan-Fich and François Bergeron and Ganesh Bhatt and Anol Bhattacherjee and Jesse Bockstedt and Wai Fong Boh and Indranil Bose and Robert P Bostrom and Nicola Breugst and Glenn J Browne and Sebastian Bruque and Scott Buffett and Judee Burgoon and Andrew Burton-Jones,,,Journal of Management Information Systems,27,1,,,10.2753/MIS0742-1222270100
1035,,,,Journal of Management Information Systems,28,2,,,10.2753/MIS0742-1222280200
1036,,,,Journal of Management Information Systems,23,4,,,10.2753/MIS0742-1222230400
1053,,,,Journal of Management Information Systems,25,3,,,10.2753/MIS0742-1222250310
1057,Sutirtha Chatterjee and Gregory Moody and Paul Benjamin Lowry and Suranjan Chakraborty and Andrew Hardin,,,Journal of Management Information Systems,32,3,,,10.1080/0742
1058,,,,Journal of Management Information Systems,34,4,,,10.1080/07421222.2017.1393298
1060,,,,Journal of Management Information Systems,25,4,,,10.2753/MIS0742-1222250400
1063,,,,Journal of Management Information Systems,37,4,,,10.1080/07421222.2020.1831759
1066,,,,Journal of Management Information Systems,6,4,,,
1074,,,,Journal of Management Information Systems,10,4,,,
1092,,,,Journal of Management Information Systems,14,4,,,
1099,,,,Journal of Management Information Systems,30,4,,,10.2753/MIS0742-1222300400
1109,,,,Journal of Management Information Systems,29,4,,,10.2753/MIS0742-1222290400
1136,,,,Journal of Management Information Systems,35,1,,,10.1080/07421222.2018.1440754
1152,,,,Journal of Management Information Systems,38,3,,,10.1080/07421222.2021.1958538
1200,,,,Journal of Management Information Systems,28,4,,,10.2753/MIS0742-1222280400
1206,,,,Journal of Management Information Systems,14,1,,,
1215,,,,Journal of Management Information Systems,2,2,,,
1221,,,,Journal of Management Information Systems,26,2,,,10.2753/MIS0742-1222260200
1230,,,,Journal of Management Information Systems,32,1,,,10.1080/07421222.2015.1029402
1260,,,,Journal of Management Information Systems,9,2,,,
1269,,,,Journal of Management Information Systems,8,1,,,
1279,,,,Journal of Management Information Systems,2,4,,,
1304,,,,Journal of Management Information Systems,31,1,,,10.2753/MIS0742-1222310100
1353,,,,Journal of Management Information Systems,3,3,,,
1361,,,,Journal of Management Information Systems,13,2,,,
1388,Andrew B Whinston and !. ' ' ',,,Journal of Management Information Systems,6,1,,,
1390,,,,Journal of Management Information Systems,35,4,,,10.1080/07421222.2018.1522891
1402,,,,Journal of Management Information Systems,33,4,,,10.1080/07421222.2016.1267511
1408,,,,Journal of Management Information Systems,35,3,,,10.1080/07421222.2018.1481628
1415,,,,Journal of Management Information Systems,24,2,,,10.2753/MIS0742-1222240206
1417,,,,Journal of Management Information Systems,15,2,,,
1429,,,,Journal of Management Information Systems,24,3,,,10.2753/MIS0742-1222240300
1433,,,,Journal of Management Information Systems,23,4,,,10.2753/MIS0742-1222230401
1439,,,,Journal of Management Information Systems,2,1,,,
1448,,,,Journal of Management Information Systems,28,1,,,10.2753/MIS0742-1222280100
1455,Eric K Clemons and Bruce W Weber,Special Section: Strategic and Competitive Information Systems,,Journal of Management Information Systems,13,2,,,
1468,,,,Journal of Management Information Systems,31,3,,,10.1080/07421222.2014.994587
1470,,,,Journal of Management Information Systems,37,2,,,10.1080/07421222.2020.1759340
1490,Eric K Clemons and Robert J Kauffman and Weber,"Special Section: Competitive Strategy, Economics, and Information Systems",,Journal of Management Information Systems,26,2,,,10.2753/MIS0742-1222260201
1492,,,,Journal of Management Information Systems,7,4,,,
1509,,,,Journal of Management Information Systems,22,1,,,
1518,,,,Journal of Management Information Systems,3,1,,,
1519,,,,Journal of Management Information Systems,25,1,,,10.2753/MIS0742-1222250100
1523,Mo A Mahmood and Jack D Becker,Effect of Organizational Maturity on End-Users' Satisfaction with Information Systems,,Journal of Management Information Systems,2,3,,,
1538,,,,Journal of Management Information Systems,12,2,,,
1546,Eric K Clemons and Michael C Row,Special Section: Strategic and Competitive Information Systems,,Journal of Management Information Systems,11,2,,,
1548,,,,Journal of Management Information Systems,39,2,,,10.1080/07421222.2022.2063548
1569,,,,Journal of Management Information Systems,39,3,,,10.1080/07421222.2022.2096540
1580,Eric K Clemons and Rajiv M Dewan and Robert J Kauffman,,,Journal of Management Information Systems,34,2,,,10.1080/07421222.2017.1334463
1593,,,,Journal of Management Information Systems,1,4,,,
1595,,,,Journal of Management Information Systems,22,2,,,
1601,,,,Journal of Management Information Systems,19,3,,,
1603,Alexandre B Lopes and Dennis F Galletta,,2014.0,Journal of Management Information Systems,23,2,,,10.2753/MIS0742-1222230209
1604,Corey Baham and Rudy Hirschheim and Andres A Calderon and Victoria Kisekka,An Agile Methodology for the Disaster Recovery of Information Systems Under Catastrophic Scenarios,,Journal of Management Information Systems,34,3,,,10.1080/07421222.2017.1372996
1605,Paul Benjamin Lowry and Gregory D Moody and Benjamin Lowry,Using IT Design to Prevent Cyberbullying,,Journal of Management Information Systems,34,3,,,10.1080/07421222.2017.1373012
1606,Ned Kock and David Avison,Positivist Information Systems Action Research: Methodological Issues,,Journal of Management Information Systems,34,3,,,10.1080/07421222.2017.1373007
1607,Christiane Lehrer and Alexander Wieneke and Jan Vom Brocke and Reinhard Jung and Stefan Seidel and Jan Vom Brocke and Mis Quarterly,,2018.0,Journal of Management Information Systems,35,2,,,10.1080/07421222.2018.1451953
1608,Nicholas Roberts and Varun Grover,,2014.0,Journal of Management Information Systems,28,4,,,10.2753/MIS0742-1222280409
1609,Jingguo Wang and Zhiyong Yang and Sudip Bhattacharjee,"Same Coin, Different Sides: Differential Impact of Social Learning on Two Facets of Music Piracy",,Journal of Management Information Systems,28,3,,,10.2753/MIS0742-1222280310
1611,"Jennifer "" Zhang and Olivia R Liu Sheng and Sheng","Online Consumer Search Depth: Theories and New Findings JIE ""JENNIFER"" ZHANG, XIAO FANG, AND OLIVIA R. LIU SHENG",2014.0,Journal of Management Information Systems,23,3,,,10.2753/MIS0742-1222230304
1612,,,,Journal of Management Information Systems,1,4,,,10.1080/07421222.1985.11517718
1613,Ravi Narayanaswamy and Varun Grover and Raymond M Henry,The Impact of Influence Tactics in Information System Development Projects: A Control-Loss Perspective,2014.0,Journal of Management Information Systems,30,1,,,10.2753/MIS0742-1222300106
1615,Nathan W Twyman and Aaron C Elkins and Judee K Burgoon and Jay F Nunamaker,A Rigidity Detection System for Automated Credibility Assessment,,Journal of Management Information Systems,31,1,,,10.2753/MIS0742-1222310108
1616,Donghui Shi,"A Data-Mining Approach to Identification of Risk Factors in Safety Management Systems DONGHUI SHI, JIAN GUAN, JOZEF ZURADA, AND ANDREW MANIKAS",,Journal of Management Information Systems,34,4,,,10.1080/07421222.2017.1394056
1617,Isabella Seeber and Gert-Jan De Vreede and Ronald Maier and Barbara Weber,Beyond Brainstorming: Exploring Convergence in Teams,,Journal of Management Information Systems,34,4,,,10.1080/07421222.2017.1393303
1618,Sepideh Ebrahimi and Maryam Ghasemaghaei and Izak Benbasat,The Impact of Trust and Recommendation Quality on Adopting Interactive and Non-Interactive Recommendation Agents: A Meta-Analysis,,Journal of Management Information Systems,39,3,,,10.1080/07421222.2022.2096549
1619,Matthew L Jensen and Ryan T Wright and Alexandra Durcikova and Shamya Karumbaiah,Improving Phishing Reporting Using Security Gamification,,Journal of Management Information Systems,39,3,,,10.1080/07421222.2022.2096551
1620,Mei Xue and Xing Cao and Xu Feng and Yongjie Zhang,Is College Education Less Necessary with AI? Evidence from Firm-Level Labor Structure Changes,,Journal of Management Information Systems,39,3,,,10.1080/07421222.2022.2096542
1622,Sabine Matook and Alan R Dennis and Yazhu Maggie Wang,"User Comments in Social Media Firestorms: A Mixed-Method Study of Purpose, Tone, and Motivation",,Journal of Management Information Systems,39,3,,,10.1080/07421222.2022.2096546
1623,Nicholas Berente and Carolina Alves De Lima Salge and Venkata K P Mallampalli and Ken Park,Rethinking Project Escalation: An Institutional Perspective on the Persistence of Failing Large-Scale Information System Projects,2022.0,Journal of Management Information Systems,39,3,,,10.1080/07421222.2022.2096545
1624,Michelle Müller and Jürgen Neumann and Dennis Kundisch,"Peer-To-Peer Rentals, Regulatory Policies, And Hosts' Cost Pass-Throughs",,Journal of Management Information Systems,39,3,,,10.1080/07421222.2022.2096541
1625,Eun Hee Park and Karl Werder and Lan Cao and Balasubramaniam Ramesh,Why do Family Members Reject AI in Health Care? Competing Effects of Emotions,2022.0,Journal of Management Information Systems,39,3,,,10.1080/07421222.2022.2096550
1626,Jing Peng and Juheng Zhang and Ram Gopal,"The Good, the Bad, and the Social Media: Financial Implications of Social Media Reactions to Firm-Related News",,Journal of Management Information Systems,39,3,,,10.1080/07421222.2022.2096547
1627,Bent Flyvbjerg and Alexander Budzier and Jong Seok Lee and Mark Keil and Daniel Lunn and Dirk W Bester,The Empirical Reality of IT Project Cost Overruns: Discovering A Power-Law Distribution,2022.0,Journal of Management Information Systems,39,3,,,10.1080/07421222.2022.2096544
1628,Robert J Kauffman and Thomas A Weber,Special Section: Reevaluating Markets for Information,,Journal of Management Information Systems,39,3,,,10.1080/07421222.2022.2096552
1629,Chen Jin and Allen Wu and Atanu Lahiri,Piracy and Bundling of Information Goods,,Journal of Management Information Systems,39,3,,,10.1080/07421222.2022.2096543
1630,Ritu Agarwal and Mohan R Tanniru and Marcos Dacruz and Rrru Agarwal and Mohan R T Anniru,Knowledge-Based Support for Combining Qualitative and Quantitative Judgments in Resource Allocation Decisions,,Journal of Management Information Systems,9,1,,,10.1080/07421222.1992.11517952
1642,Lorne Olfman,,2014.0,Journal of Management Information Systems,19,3,,,10.1080/07421222.2002.11045732
1643,Jun He and Brian S Butler,"Team Cognition: Development and Evolution in Software Project Teams JUN HE, BRIAN S. BUTLER, AND WILLIAM R. KING",,Journal of Management Information Systems,24,2,,,10.2753/MIS0742-1222240210
