cluster,ID,title,author,number,volume,journal,grobid-version,file,ENTRYTYPE,doi,note,year,__orig_index
1,001599,The Impact of Influence Tactics in Information System Development Projects: A Control-Loss Perspective,"Narayanaswamy, Ravi and Grover, Varun and Henry, Raymond M",1,30,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/30_1/NarayanaswamyGroverHenry2013.pdf,article,10.2753/MIS0742-1222300106,,,1593
1,001618,The Impact of Influence Tactics in Information System Development Projects: A Control-Loss Perspective,"Narayanaswamy, Ravi and Grover, Varun and Henry, Raymond M",1,30,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/30_1/NarayanaswamyGroverHenry2013_wo_cp.pdf,article,10.2753/MIS0742-1222300106,,2014,1612
2,001567,"Peer-To-Peer Rentals, Regulatory Policies, And Hosts' Cost Pass-Throughs","Müller, Michelle and Neumann, Jürgen and Kundisch, Dennis",3,39,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/39_3/MullerNeumannKundisch2022.pdf,article,10.1080/07421222.2022.2096541,,,1561
2,001629,"Peer-To-Peer Rentals, Regulatory Policies, And Hosts' Cost Pass-Throughs","Müller, Michelle and Neumann, Jürgen and Kundisch, Dennis",3,39,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/39_3/MullerNeumannKundisch2022_wo_cp.pdf,article,10.1080/07421222.2022.2096541,,,1623
3,001607,"Team Cognition: Development and Evolution in Software Project Teams JUN HE, BRIAN S. BUTLER, AND WILLIAM R. KING","He, Jun and Butler, Brian S",2,24,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/24_2/HeButlerKing2007.pdf,article,10.2753/MIS0742-1222240210,,,1601
3,001648,"Team Cognition: Development and Evolution in Software Project Teams JUN HE, BRIAN S. BUTLER, AND WILLIAM R. KING","He, Jun and Butler, Brian S",2,24,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/24_2/HeButlerKing2007_wo_cp.pdf,article,10.2753/MIS0742-1222240210,,,1642
4,0000000675,A Video-Based Screening System for Automated Risk Assessment Using Nuanced Facial Features,"Pentland, Steven J and Twyman, Nathan W and Burgoon, Judee K and Nunamaker, Jay F and Diller, Christopher B R",4,34,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/34_4/PentlandTwymanBurgoonEtAl2017.pdf,article,10.1080/07421222.2017.1393304,,,672
4,001604,"""A Video-Based Screening System for Automated Risk Assessment Using Nuanced Facial Features""","Pentland, Steven J and Twyman, Nathan W and Burgoon, Judee K and Nunamaker, Jay F and Diller, Christopher B R",3,35,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/35_3/PentlandTwymanBurgoonEtAl2018.pdf,article,10.1080/07421222.2017.1393304,,,1598
5,001573,The Impact of Trust and Recommendation Quality on Adopting Interactive and Non-Interactive Recommendation Agents: A Meta-Analysis,"Ebrahimi, Sepideh and Ghasemaghaei, Maryam and Benbasat, Izak",3,39,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/39_3/EbrahimiGhasemaghaeiBenbasat2022.pdf,article,10.1080/07421222.2022.2096549,,,1567
5,001623,The Impact of Trust and Recommendation Quality on Adopting Interactive and Non-Interactive Recommendation Agents: A Meta-Analysis,"Ebrahimi, Sepideh and Ghasemaghaei, Maryam and Benbasat, Izak",3,39,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/39_3/EbrahimiGhasemaghaeiBenbasat2022_wo_cp.pdf,article,10.1080/07421222.2022.2096549,,,1617
6,001584,"Same Coin, Different Sides: Differential Impact of Social Learning on Two Facets of Music Piracy","Wang, Jingguo and Yang, Zhiyong and Bhattacharjee, Sudip",3,28,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/28_3/WangYangBhattacharjee2011.pdf,article,10.2753/MIS0742-1222280310,,,1578
6,001614,"Same Coin, Different Sides: Differential Impact of Social Learning on Two Facets of Music Piracy","Wang, Jingguo and Yang, Zhiyong and Bhattacharjee, Sudip",3,28,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/28_3/WangYangBhattacharjee2011_wo_cp.pdf,article,10.2753/MIS0742-1222280310,,,1608
7,001568,"User Comments in Social Media Firestorms: A Mixed-Method Study of Purpose, Tone, and Motivation","Matook, Sabine and Dennis, Alan R and Wang, Yazhu Maggie",3,39,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/39_3/MatookDennisWang2022.pdf,article,10.1080/07421222.2022.2096546,,,1562
7,001627,"User Comments in Social Media Firestorms: A Mixed-Method Study of Purpose, Tone, and Motivation","Matook, Sabine and Dennis, Alan R and Wang, Yazhu Maggie",3,39,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/39_3/MatookDennisWang2022_wo_cp.pdf,article,10.1080/07421222.2022.2096546,,,1621
8,0000000107,Special Issue: Crossing Boundaries in Information Systems Research,"Briggs, Robert O and Nunamaker, Jay F and Sprague, Ralph H",4,22,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/22_4/BriggsNunamakerJrSpragueJr2006.pdf,article,,,,104
8,0000000276,Special Issue: Designing Tools to Answer Great Information Systems Research Questions,"Briggs, Robert O",4,33,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/33_4/GiboneyBriggsNunamaker2016.pdf,article,10.1080/07421222.2016.1267512,,,273
9,001569,Piracy and Bundling of Information Goods,"Jin, Chen and Wu, Allen and Lahiri, Atanu",3,39,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/39_3/JinWuLahiri2022.pdf,article,10.1080/07421222.2022.2096543,,,1563
9,001634,Piracy and Bundling of Information Goods,"Jin, Chen and Wu, Allen and Lahiri, Atanu",3,39,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/39_3/JinWuLahiri2022_wo_cp.pdf,article,10.1080/07421222.2022.2096543,,,1628
10,001566,The Empirical Reality of IT Project Cost Overruns: Discovering A Power-Law Distribution,"Flyvbjerg, Bent and Budzier, Alexander and Lee, Jong Seok and Keil, Mark and Lunn, Daniel and Bester, Dirk W",3,39,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/39_3/FlyvbjergBudzierLeeEtAl2022.pdf,article,10.1080/07421222.2022.2096544,,,1560
10,001632,The Empirical Reality of IT Project Cost Overruns: Discovering A Power-Law Distribution,"Flyvbjerg, Bent and Budzier, Alexander and Lee, Jong Seok and Keil, Mark and Lunn, Daniel and Bester, Dirk W",3,39,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/39_3/FlyvbjergBudzierLeeEtAl2022_wo_cp.pdf,article,10.1080/07421222.2022.2096544,,2022,1626
11,001575,Rethinking Project Escalation: An Institutional Perspective on the Persistence of Failing Large-Scale Information System Projects,"Berente, Nicholas and Alves De Lima Salge, Carolina and Mallampalli, Venkata K P and Park, Ken",3,39,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/39_3/BerenteSalgeMallampalliKPEtAl2022.pdf,article,10.1080/07421222.2022.2096545,,,1569
11,001628,Rethinking Project Escalation: An Institutional Perspective on the Persistence of Failing Large-Scale Information System Projects,"Berente, Nicholas and Alves De Lima Salge, Carolina and Mallampalli, Venkata K P and Park, Ken",3,39,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/39_3/BerenteSalgeMallampalliKPEtAl2022_wo_cp.pdf,article,10.1080/07421222.2022.2096545,,2022,1622
12,001576,Why do Family Members Reject AI in Health Care? Competing Effects of Emotions,"Park, Eun Hee and Werder, Karl and Cao, Lan and Ramesh, Balasubramaniam",3,39,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/39_3/ParkWerderCaoEtAl2022.pdf,article,10.1080/07421222.2022.2096550,,,1570
12,001630,Why do Family Members Reject AI in Health Care? Competing Effects of Emotions,"Park, Eun Hee and Werder, Karl and Cao, Lan and Ramesh, Balasubramaniam",3,39,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/39_3/ParkWerderCaoEtAl2022_wo_cp.pdf,article,10.1080/07421222.2022.2096550,,2022,1624
13,001571,Improving Phishing Reporting Using Security Gamification,"Jensen, Matthew L and Wright, Ryan T and Durcikova, Alexandra and Karumbaiah, Shamya",3,39,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/39_3/JensenWrightDurcikovaEtAl2022.pdf,article,10.1080/07421222.2022.2096551,,,1565
13,001624,Improving Phishing Reporting Using Security Gamification,"Jensen, Matthew L and Wright, Ryan T and Durcikova, Alexandra and Karumbaiah, Shamya",3,39,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/39_3/JensenWrightDurcikovaEtAl2022_wo_cp.pdf,article,10.1080/07421222.2022.2096551,,,1618
14,0000000147,Special Section: Strategic Information Systems,"Clemons, Eric K and Weber, Bruce W",2,15,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/15_2/ClemonsWeber1998a.pdf,article,,,,144
14,0000000148,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K and Weber, Bruce W",2,16,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/16_2/ClemonsWeber1999.pdf,article,,,,145
14,0000000255,"Special Section: Competitive Strategy, Economics, and Information Systems","Clemons, Eric K and Kauffman, Robert J and Weber",3,27,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/27_3/ClemonsKauffmanWeber2010.pdf,article,10.2753/MIS0742-1222270301,,,252
14,0000000514,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K and Row, Michael C",2,9,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/9_2/ClemonsRow1992a.pdf,article,,,,511
14,0000000533,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K and Weber, Bruce W",2,14,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/14_2/ClemonsWeber1997.pdf,article,,,,530
14,0000000835,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K and Row, Michael C",2,10,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/10_2/ClemonsRow1993a.pdf,article,,,,831
14,0000000892,"Special Issue: Competitive Strategy, Economics, and Information Systems","Clemons, Eric K and Dewan, Rajiv M and Kaufeman, Robert J and Kauffman, Robert J",2,21,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/21_2/ClemonsDewanKauffman2004.pdf,article,,,,888
14,0000000902,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K",2,8,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/8_2/Clemons1991.pdf,article,,,,898
14,0000001351,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K and Row, Michael C",2,12,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/12_2/ClemonsRow1995.pdf,article,,,,1347
14,0000001458,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K and Weber, Bruce W",2,13,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/13_2/ClemonsWeber1996.pdf,article,,,,1454
14,0000001493,"Special Section: Competitive Strategy, Economics, and Information Systems","Clemons, Eric K and Kauffman, Robert J and Weber",2,26,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/26_2/ClemonsKauffmanWeber2009.pdf,article,10.2753/MIS0742-1222260201,,,1489
