cluster,ID,title,author,url,number,volume,year,doi,ENTRYTYPE,journal,pages,abstract,language,__orig_index
1,001359,Special Issue on Information Technologies and Knowledge Management,Sambamurthy and Subramani,,1,29,2005,10.2307/25148665,article,MIS Quarterly,1,,,1283
1,001393,Special Issue on Information Technologies and Knowledge Management,Sambamurthy and Subramani,,2,29,2005,10.2307/25148676,article,MIS Quarterly,193,,,1313
2,000452,Peer Effects in Competitive Environments: Field Experiments on Information Provision and Interventions,"Li, Zhuoxin and Wang, Gang and Wang, Harry (Jiannan)",https://misq.umn.edu/peer-effects-in-competitive-environments-field-experiments-on-information-provision-and-interventions.html,1,45,2021,10.25300/MISQ/2021/16085/,article,MIS Quarterly,163--191,,,424
2,001934,Peer Effects in Competitive Environments: Field Experiments on Information Provision and Interventions,"Li, Zhuoxin and Wang, Gang and Wang, Harry Jiannan",https://misq.umn.edu/peer-effects-in-competitive-environments-field-experiments-on-information-provision-and-interventions.html,1,45,2021,10.25300/MISQ/2021/16085,article,MIS Quarterly,163--191,"Prior studies of social-norms interventions have focused on nudging behavior in noncompetitive settings. This research evaluates such interventions in competitive environments, for example, a class with a competitive grading policy. Field experiments on a learning management system show that providing descriptive information about peers’ behavior has mixed effects in reducing procrastination and improving performance outcomes. Specifically, the effects are moderated by individual characteristics and contextual variables. First, peer information interventions are more effective for males, and the effects are stronger in a male-majority environment than in a female-majority environment. These findings differ from prior studies of social-norms interventions conducted in noncompetitive settings, in which females are found to be more responsive to interventions. Gender differences in our competitive settings can be explained by males’ and females’ differential preferences for competition: males are more competitive-oriented and thus are more responsive to peer information in competitive environments. Second, we find that individuals who are in great need of interventions, that is, those with poor past behavior and performance, are also more likely to benefit from peer information interventions, suggesting that peer information interventions motivate positive change. This study highlights the heterogeneous effects of peer information interventions and has implications for targeted interventions.",,1840
3,001207,Technology-Mediated Dangerous Behaviors as Foraging for Social-Hedonic Rewards: The Role of Implied Inequality,"Turel, Ofir",,3,45,2021,10.25300/MISQ/2021/16353,article,MIS Quarterly,1249--1286,"Technology-mediated dangerous behaviors (TMDBs), such as posting selfies while driving or posting private information, are prevalent and potentially require interventions. Knowledge about the drivers of these, and specifically the role of information in stimulating such behaviors, is limited. To address this gap, this paper turns to foraging and risk-sensitivity theories. These theories suggest that animals engage in more dangerous behaviors when their perceived need for calories is high. Similarly, humans increase financial risk-taking when they perceive dissatisfaction with what they have. Importantly, inequality information can increase such perceptions and change people’s risk-taking propensity. Adapting these ideas, the paper postulates that TMDBs resemble food-seeking in animals in that they are goal oriented, can be dangerous, and yield unknown (probabilistic) rewards. Therefore, TMDBs are explained using foraging and risk-sensitivity theory angles. Focusing on social media users (Studies 1-4; four experiments; total n = 2,504), I argue that (1) it is reasonable to view users as foraging the “fields of social media” for social-hedonic rewards, (2) it is possible to alter their risk appetite and TMDBs through inequality information and upward comparison mechanisms, (3) this process can be mediated not only through cognitions, but also emotions, and (4) perceived scarcity of rewards and social comparison orientation affect this process. With Study 5, the paper extends the core aspects of this theoretical perspective to the U.S. state level and argues that objective financial inequality can explain differences between states in terms of TMDBs such as texting while driving and relative interest in TMDBs such as prank videos. The findings largely support these assertions. They illuminate the role of information, notably inequality, in driving TMDBs, extend prior research focused on basic needs (e.g., physiological needs in the case of food intake decisions) to an evaluation of higher-order human needs (e.g., needs for belongingness, esteem, and self-actualization) catered to by nonphysiological, social-hedonic rewards, and point to important mechanisms that translate inequality into TMDBs.",,1131
3,001981,Technology-Mediated Dangerous Behaviors as Foraging for Social–Hedonic Rewards: The Role of Implied Inequality,"Turel, Ofir",https://misq.umn.edu/technology-mediated-dangerous-behaviors-as-foraging-for-social-hedonic-rewards-the-role-of-implied-inequality.html,3,45,2021,10.25300/MISQ/2021/16352,article,MIS Quarterly,1249--1286,"Technology-mediated dangerous behaviors (TMDBs), such as posting selfies while driving or posting private information, are prevalent and require possible interventions. Knowledge about their drivers, and specifically the role of information in stimulating such behaviors, is limited. To address this gap, this paper turns to foraging and risk-sensitivity theories. These theories suggest that animals engage in more dangerous behaviors when their perceived need for calories is high. Similarly, humans increase their financial risk-taking when sensing dissatisfaction with what they have. Importantly, inequality information can increase such perceptions and change people’s risk-taking propensity. Adapting these ideas, the paper postulates that TMDBs resemble food-seeking in animals in that they (1) are goal-oriented, (2) can be dangerous, and (3) yield unknown (probabilistic) rewards. Therefore, TMDBs are explained from foraging and risk-sensitivity theory angles. Focusing on social media users (Studies 1–4; four experiments; total n = 2,504), we argue that (1) it is reasonable to view users as foraging the “fields of social media” for social–hedonic rewards, (2) it is possible to alter their risk appetite and TMDBs through inequality information and upward comparison mechanisms, (3) this process can be mediated not only through cognitions, but also emotions, and (4) perceived scarcity of rewards and social comparison orientation affect this process. Next, the paper extends the core aspects of this theory to the state-level in Study 5 and argues that objective financial inequality can explain differences between U.S. states in TMDBs such as texting while driving and relative interest in TMDBs, such as pranks. The findings largely support these assertions. They illuminate the role of information, notably inequality, in driving TMDBs, extend prior research that has focused on basic needs (e.g., physiological needs in the case of food intake decisions) to the case of higher-order human needs (e.g., needs for belonging, esteem, and self-actualization) as catered to by nonphysiological, social–hedonic rewards, and point to important mechanisms that translate inequality into TMDBs.",,1886
4,001380,Editor's Comments,Saunders,,,30,2006,10.2307/25148765,article,MIS Quarterly,,,,1302
4,001450,"Editor's Comments: When Is Enough, Enough?",Saunders,,4,30,2006,10.2307/25148753,article,MIS Quarterly,,,,1359
5,001050,First- or Second-Mover Advantage? The Case of IT-Enabled Platform Markets,"Feng, Haiyang and Jiang, Zhengrui and Li, Minqiang and Feng, Nan",,3,44,2020,10.25300/MISQ/2020/15273),article,MIS Quarterly,1107--1141,,,986
5,001941,First- or Second-Mover Advantage? The Case of IT-Enabled Platform Markets,"Feng, Haiyang and Jiang, Zhengrui and Li, Minqiang and Feng, Nan",https://misq.umn.edu/first-or-second-mover-advantage-the-case-of-it-enabled-platform-markets.html,3,44,2020,10.25300/MISQ/2020/15273,article,MIS Quarterly,1107--1141,"Information technology-enabled platforms are playing an increasingly important role in the global economy. While some successful platforms entered their respective markets as pioneers, others were able to achieve market dominance despite starting as followers. This study investigates the conditions under which first-mover advantage (FMA) or second-mover advantage (SMA) occurs in a platform market, and derives their equilibrium order of market entries and optimal market entry timing. The first three determinants of FMA and SMA we identify are (1) quality improvement rate of the second mover, (2) length of demand window, and (3) length of market growth phase of demand window. When the two companies’ order of market entries is predetermined, the second mover having a higher initial platform quality than the first mover guarantees SMA, whereas the first mover having a higher initial platform quality than the second mover does not ensure FMA. In the latter case, the three determinants are needed to determine FMA and SMA. When the two companies’ order of market entries is endogenous, if any of the three determinants is sufficiently small, preemptive entry, in which both companies prefer to move early, is the equilibrium; otherwise, sequential entry, in which one company prefers to move early and the other prefers to move late, becomes the equilibrium in most cases. We also find that strong (same-side) network effects can weaken SMA and increase the possibility that both companies prefer early market entry, whereas strong cross-side network effects may strengthen SMA and increase the possibility that both companies prefer late market entry.",,1846
