cluster,ID,author,title,year,doi
1,0000000242,"Straub, Detmar",Straub/Editor's Comments,,
1,0000001568,"Straub, Detmar",Straub/Editor's Comments,,
2,001814,"Yang, Yi and Subramanyam, Ramanath",EXTRACTING ACTIONABLE INSIGHTS FROM TEXT DATA: A STABLE TOPIC MODEL APPROACH 1,,10.25300/MISQ/2022/16957
2,001884,"Yang, Yi and Subramanyam, Ramanath",EXTRACTING ACTIONABLE INSIGHTS FROM TEXT DATA: A STABLE TOPIC MODEL APPROACH 1,,10.25300/MISQ/2022/16957
2,001885,"Yang, Yi and Subramanyam, Ramanath",EXTRACTING ACTIONABLE INSIGHTS FROM TEXT DATA: A STABLE TOPIC MODEL APPROACH 1,,10.25300/MISQ/2022/16957
3,0000000068,"Burton-Jones, Andrew",EDITOR'S COMMENTS Continuing and Extending the MIS Quarterly Trifecta Vision,,
3,001802,"Burton-Jones, Andrew",EDITOR'S COMMENTS Continuing and Extending the MIS Quarterly Trifecta Vision,,
4,0000001189,"Burton-Jones, Andrew and Butler, Brian S and Scott, Susan V and Xu, Sean Xin",NEXT-GENERATION INFORMATION SYSTEMS THEORIZING: A CALL TO ACTION 1,,10.25300/MISQ/2021/15434
4,001865,"Burton-Jones, Andrew and Butler, Brian S and Scott, Susan V and Xu, Sean Xin",NEXT-GENERATION INFORMATION SYSTEMS THEORIZING: A CALL TO ACTION 1,,10.25300/MISQ/2021/15434
5,0000000097,"Reich, Blaize Horner and Benbasat, Izak",Measuring the Linkage Between Business and Information Technology Objectives,,
5,0000000900,"Reich, Blaize Horner and Benbasat, Izak",Measuring the Linkage Between Business and Information Technology Objectives,,
6,0000001695,"Dougherty, Dougherty and Dougherty and Dougherty, William and Mis",The Society for Management Information Systems,,
6,0000001701,"Dougherty, Dougherty and Dougherty and Dougherty, William and Mis",The Society for Management Information Systems,,
6,0000001772,"Dougherty, Dougherty and Dougherty and Dougherty, William and Mis",The Society for Management Information Systems,,
7,0000000007,"Rai, Arun",EDITOR'S COMMENTS Celebrating 40 Years of MIS Quarterly: MISQ's History and Future Through the Lenses of its Editors-in-Chief,,
7,0000000993,"Rai, Arun",EDITOR'S COMMENTS Celebrating 40 Years of MIS Quarterly: MISQ's History and Future Through the Lenses of its Editors-in-Chief,,
7,0000001728,"Rai, Arun",EDITOR'S COMMENTS Celebrating 40 Years of MIS Quarterly: MISQ's History and Future Through the Lenses of its Editors-in-Chief,,
7,001864,"Rai, Arun",EDITOR'S COMMENTS Celebrating 40 Years of MIS Quarterly: MISQ's History and Future Through the Lenses of its Editors-in-Chief,,
8,0000000172,"Zelek, Meir",Instant Quality Control of Large Batch Processing Jobs,,
8,0000001677,"Zelek, Meir",Instant Quality Control of Large Batch Processing Jobs,,
9,0000000544,"Goes, Paulo B and Head, Management","EDITOR'S COMMENTS Sandy Slaughter: Outstanding Scholar, Incredible Human Being",,
9,0000000945,"Goes, Paulo B and Head, Management","EDITOR'S COMMENTS Sandy Slaughter: Outstanding Scholar, Incredible Human Being",,
10,001876,"Wang, Zhe and Guo, Hong and Liu, Dengpan",ECONOMICS OF ANALYTICS SERVICES ON A MARKETPLACE PLATFORM 1,,10.25300/MISQ/2023/16452
10,001879,"Wang, Zhe and Guo, Hong and Liu, Dengpan",ECONOMICS OF ANALYTICS SERVICES ON A MARKETPLACE PLATFORM 1,,10.25300/MISQ/2023/16452
11,0000000358,"Neumann, Seev and Zviran, Moshe",Factors Affecting the Policy for Distributing Computing Resources,,
11,0000001707,"Neumann, Seev and Zviran, Moshe",Factors Affecting the Policy for Distributing Computing Resources,,
12,0000000896,"Saunders, Carol",EDITOR'S COMMENTS Necessary Changes,,
12,0000001384,"Saunders, Carol",EDITOR'S COMMENTS Necessary Changes,,
13,001866,"Halaburda, Hanna and Levina, Natalia and Min, Semi",DIGITIZATION OF TRANSACTION TERMS WITHIN TCE: STRONG SMART CONTRACT AS A NEW MODE OF TRANSACTION GOVERNANCE 1,,10.25300/MISQ/2023/17818
13,001871,"Halaburda, Hanna and Levina, Natalia and Min, Semi",DIGITIZATION OF TRANSACTION TERMS WITHIN TCE: STRONG SMART CONTRACT AS A NEW MODE OF TRANSACTION GOVERNANCE 1,,10.25300/MISQ/2023/17818
14,0000001704,,Issues and Opinions,,
14,0000001720,,Issues and Opinions,,
15,0000001723,"Gray, Peter and Carter, Pamela and Saunders, Carol","Editor's Comments: When Is Enough, Enough?",,
15,001863,"Gray, Peter and Carter, Pamela and Saunders, Carol","Editor's Comments: When Is Enough, Enough?",,
16,0000001533,"Use and Straub, Detmar",Editor's Comments Parting Thoughts on My Term of Office as EIC of MISQ (2008-2012),,
16,0000001663,"Use and Straub, Detmar",Editor's Comments Parting Thoughts on My Term of Office as EIC of MISQ (2008-2012),,
17,0000000691,"Weber, Ron",Weber/Editor's Comments,,
17,0000001654,"Weber, Ron",Weber/Editor's Comments,,
