cluster,ID,title,author,year,booktitle,grobid-version,file,ENTRYTYPE,note,__orig_index
1,0000001474,National IT Policies and Strategies 1: The Young Lions,"Tan, Margaret",1995,Pacific Asia Confereence on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/1995/Unknown1995b.pdf,inproceedings,,1467
1,0000003096,National IT Policies and Strategies 1: The Young Lions,"Tan, Margaret",1995,Pacific Asia Confereence on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/1995/Unknown1995e.pdf,inproceedings,,3083
2,0000001563,National IT Policy and Strategy 111: The Mature Leopards,"Tan, Margaret and Hayama, Osamu and Bjorn-Andersen, Niels",1995,Pacific Asia Confereence on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/1995/BjornAndersenHayamaBadger1995.pdf,inproceedings,,1556
2,0000002156,National IT Policy and Strategy 111: The Mature Leopards,"Tan, Margaret and Hayama, Osamu and Bjorn-Andersen, Niels",1995,Pacific Asia Confereence on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/1995/BjornAndersenHayamaBadger1995a.pdf,inproceedings,,2147
3,0000001780,National IT Policies and Strategies II: The Growing Tigers,"Tan, Margaret and Choi, Jong Uk and Cheung, To-Yat",1995,Pacific Asia Confereence on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/1995/ChoiCheung1995.pdf,inproceedings,,1772
3,0000002250,National IT Policies and Strategies II: The Growing Tigers,"Tan, Margaret and Choi, Jong Uk and Cheung, To-Yat",1995,Pacific Asia Confereence on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/1995/ChoiCheung1995a.pdf,inproceedings,,2241
4,0000001464,UNDERSTANDING THE USE OF ENTERPRISE CONTENT MANAGEMENT SYSTEMS IN COORDINATION TYPE OF ORGANIZATIONS,"Arshad, Noreen Izza and Milton, Simon K and Bosua, Rachelle",2012,Pacific Asia Confereence on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/2012/ArshadMiltonBosua2012.pdf,inproceedings,,1457
4,0000002013,UNDERSTANDING THE USE OF ENTERPRISE CONTENT MANAGEMENT SYSTEMS (ECMS) IN DIVERSIFICATION TYPE OF ORGANIZATIONS,"Arshad, Noreen Izza and Bosua, Rachelle and Milton, Simon K",2012,Pacific Asia Confereence on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/2012/ArshadBosuaMilton2012.pdf,inproceedings,,2005
5,0000000308,Challenges and Perspectives for IS in Public Administration 11,"Traunmueller, Roland and Jordan, Bill and Sung, Win-Shiaw and Chong, Sor-Lin",1995,Pacific Asia Confereence on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/1995/TraunmuellerJordanSungEtAl1995.pdf,inproceedings,,303
5,0000000798,Challenges and Perspectives for IS in Public Administration 11,"Traunmueller, Roland and Jordan, Bill and Sung, Win-Shiaw and Chong, Sor-Lin",1995,Pacific Asia Confereence on Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/1995/TraunmuellerJordanSungEtAl1995a.pdf,inproceedings,,791
