ID,author,title,year,doi,ENTRYTYPE,series,volume,number,pages,abstract,search_set,container_title,author_full,author_first,title_short,container_title_short,origin
1,james cox andsteven clark,problems implementing operating manufacturing resource planning information system,1984,,article,,,,,,,j mana info syst,James Cox and Steven Clark,james,problems implementing operating manufacturing resource planning information system,jmis,1;734
2,jeffrey kottemann andbenn konsynski,information systems planning development strategic postures methodologies,1984,,article,,,,,,,j mana info syst,Jeffrey Kottemann and Benn Konsynski,jeffrey,information systems planning development strategic postures methodologies,jmis,2;298
3,vladimir,management information systems beyond current paradigm,1984,,article,,,,,,,j mana info syst,Vladimir Zwass,vladimir,management information systems beyond current paradigm,jmis,3
230,lee,organization size information system use empirical study,1984,,article,,,,,,,j mana info syst,Lee Gremillion,lee,organization size information system use empirical study,jmis,230;4
1148,ronald,information system semantics,1984,,article,,,,,,,j mana info syst,Ronald Lee,ronald,information system semantics,jmis,1148;5
562,abe lockman andnaftaly minsky,designing financial information systems auditability,1984,,article,,,,,,,j mana info syst,Abe Lockman and Naftaly Minsky,abe,designing financial information systems auditability,jmis,562;6
465,levent,fighting information pollution decision support systems,1984,,article,,,,,,,j mana info syst,Levent Orman and Bertrand Russell,levent,fighting information pollution decision support systems,jmis,465;7
8,gary,eliciting decision makers information requirements application rep test methodology,1984,,article,,,,,,,j mana info syst,Gary Grudnitski,gary,eliciting decision makers information requirements application rep test methodology,jmis,8;900
261,matthias jarke andjacob shalev,database architecture supporting business transactions,1984,,article,,,,,,,j mana info syst,Matthias Jarke and Jacob Shalev,matthias,database architecture supporting business transactions,jmis,261;9
10,david,dss mechanisms judgemental flexibility exploratory survey,1984,,article,,,,,,,j mana info syst,David Farwell,david,dss mechanisms judgemental flexibility exploratory survey,jmis,10;214
11,david,capturing more meaning databases,1984,,article,,,,,,,j mana info syst,David Maier,david,capturing more meaning databases,jmis,11;829
12,morton norman andamador muriel,writing simple program generators case study building productivity tools,1984,,article,,,,,,,j mana info syst,Morton Norman and Amador Muriel,morton,writing simple program generators case study building productivity tools,jmis,12;66
13,charles snyder andjames cox,dynamic systems development life cycle approach project management information system,1985,,article,,,,,,,j mana info syst,Charles Snyder and James Cox,charles,dynamic systems development life cycle approach project management information system,jmis,13;464
14,jamescash poppymc leod,managing introduction information systems technology strategically dependent companies,1985,,article,,,,,,,j mana info syst,James Cash and Poppy McLeod,jamescash,managing introduction information systems technology strategically dependent companies,jmis,14;1481
15,lee gremillion andphilip pyburn,justifying decision support office automation systems,1985,,article,,,,,,,j mana info syst,Lee Gremillion and Philip Pyburn,lee,justifying decision support office automation systems,jmis,15;993
16,jack,decision support systems traditional computer information system function examination relationships during dss application development,1985,,article,,,,,,,j mana info syst,Jack Hogue,jack,decision support systems traditional computer information system function examination relationships,jmis,16;575
