package,time,dataset,TP,FP,FN,TN,false_positive_rate,specificity,sensitivity,precision,f1,runtime
bib-dedupe,2023-11-15 13:01,digital_work,341,0,19,6799,0.0,1.0,0.9472222222222222,1.0,0.9728958630527818,
bib-dedupe,2023-11-15 12:59,respiratory,374,1,60,1553,0.0006435006435006,0.9993564993564994,0.8617511520737328,0.9973333333333332,0.9245982694684796,
bib-dedupe,2023-11-15 13:02,stroke,275,18,19,980,0.0180360721442885,0.9819639278557114,0.935374149659864,0.938566552901024,0.9369676320272572,
bib-dedupe,2023-11-15 13:02,haematology,92,1,43,1279,0.00078125,0.99921875,0.6814814814814815,0.989247311827957,0.807017543859649,
bib-dedupe,2023-11-15 13:03,cytology_screening,697,4,65,1090,0.0036563071297989,0.9963436928702012,0.9146981627296588,0.9942938659058488,0.9528366370471634,
asreview,2023-11-15 13:02,digital_work,333,218,27,6581,0.0320635387556993,0.9679364612443008,0.925,0.604355716878403,0.7310647639956093,
asreview,2023-11-15 13:01,respiratory,392,13,42,1541,0.0083655083655083,0.9916344916344916,0.9032258064516128,0.9679012345679012,0.934445768772348,
asreview,2023-11-15 13:03,stroke,282,32,12,966,0.032064128256513,0.9679358717434868,0.9591836734693876,0.8980891719745223,0.9276315789473684,
asreview,2023-11-15 13:03,haematology,107,29,28,1251,0.02265625,0.97734375,0.7925925925925926,0.7867647058823529,0.7896678966789669,
asreview,2023-11-15 13:04,cytology_screening,684,17,78,1077,0.0155393053016453,0.9844606946983546,0.8976377952755905,0.9757489300998572,0.935064935064935,
bib-dedupe,2023-11-15 16:34,respiratory,374,1,60,1553,0.0006435006435006,0.9993564993564994,0.8617511520737328,0.9973333333333332,0.9245982694684796,
bib-dedupe,2023-11-15 16:36,respiratory,374,1,60,1553,0.0006435006435006,0.9993564993564994,0.8617511520737328,0.9973333333333332,0.9245982694684796,
bib-dedupe,2023-11-15 16:38,digital_work,341,0,19,6799,0.0,1.0,0.9472222222222222,1.0,0.9728958630527818,
bib-dedupe,2023-11-15 16:38,stroke,275,18,19,980,0.0180360721442885,0.9819639278557114,0.935374149659864,0.938566552901024,0.9369676320272572,
bib-dedupe,2023-11-15 16:39,haematology,94,0,41,1280,0.0,1.0,0.6962962962962963,1.0,0.8209606986899564,
bib-dedupe,2023-11-15 16:39,cytology_screening,697,4,65,1090,0.0036563071297989,0.9963436928702012,0.9146981627296588,0.9942938659058488,0.9528366370471634,
bib-dedupe,2023-11-15 16:48,respiratory,375,0,60,1553,0.0,1.0,0.8620689655172413,1.0,0.925925925925926,
bib-dedupe,2023-11-15 16:50,digital_work,341,0,19,6799,0.0,1.0,0.9472222222222222,1.0,0.9728958630527818,
bib-dedupe,2023-11-15 16:51,stroke,292,1,20,979,0.0010204081632653,0.9989795918367348,0.935897435897436,0.9965870307167236,0.965289256198347,
bib-dedupe,2023-11-15 16:51,haematology,94,0,41,1280,0.0,1.0,0.6962962962962963,1.0,0.8209606986899564,
bib-dedupe,2023-11-15 16:51,cytology_screening,697,4,65,1090,0.0036563071297989,0.9963436928702012,0.9146981627296588,0.9942938659058488,0.9528366370471634,
bib-dedupe,2023-11-15 17:01,respiratory,375,0,60,1553,0.0,1.0,0.8620689655172413,1.0,0.925925925925926,
bib-dedupe,2023-11-15 17:04,digital_work,341,0,19,6799,0.0,1.0,0.9472222222222222,1.0,0.9728958630527818,
bib-dedupe,2023-11-15 17:04,stroke,293,0,20,979,0.0,1.0,0.9361022364217252,1.0,0.9669966996699668,
bib-dedupe,2023-11-15 17:05,haematology,94,0,41,1280,0.0,1.0,0.6962962962962963,1.0,0.8209606986899564,
bib-dedupe,2023-11-15 17:05,cytology_screening,701,0,64,1091,0.0,1.0,0.9163398692810456,1.0,0.956343792633015,
bib-dedupe,2023-11-16 16:13,respiratory,389,0,47,1552,0.0,1.0,0.8922018348623854,1.0,0.943030303030303,
asreview,2023-11-16 16:14,respiratory,393,12,43,1540,0.0077319587628865,0.9922680412371134,0.9013761467889908,0.9703703703703704,0.9346016646848988,
bib-dedupe,2023-11-16 16:17,digital_work,345,0,16,6798,0.0,1.0,0.9556786703601108,1.0,0.9773371104815864,
asreview,2023-11-16 16:17,digital_work,333,218,28,6580,0.0320682553692262,0.9679317446307738,0.922437673130194,0.604355716878403,0.730263157894737,
bib-dedupe,2023-11-16 16:18,stroke,301,0,13,978,0.0,1.0,0.9585987261146496,1.0,0.9788617886178862,
asreview,2023-11-16 16:18,stroke,301,13,13,965,0.0132924335378323,0.9867075664621676,0.9585987261146496,0.9585987261146496,0.9585987261146496,
bib-dedupe,2023-11-16 16:18,haematology,103,0,28,1284,0.0,1.0,0.7862595419847328,1.0,0.8803418803418803,
asreview,2023-11-16 16:18,haematology,104,32,27,1252,0.0249221183800623,0.9750778816199376,0.7938931297709924,0.7647058823529411,0.7790262172284643,
bib-dedupe,2023-11-16 16:19,cytology_screening,739,0,26,1091,0.0,1.0,0.9660130718954248,1.0,0.9827127659574468,
asreview,2023-11-16 16:19,cytology_screening,686,15,79,1076,0.0137488542621448,0.9862511457378552,0.8967320261437909,0.978601997146933,0.9358799454297408,
bib-dedupe,2023-11-16 16:20,respiratory,389,0,47,1552,0.0,1.0,0.8922018348623854,1.0,0.943030303030303,
asreview,2023-11-16 16:20,respiratory,393,12,43,1540,0.0077319587628865,0.9922680412371134,0.9013761467889908,0.9703703703703704,0.9346016646848988,
bib-dedupe,2023-11-16 16:23,digital_work,345,0,16,6798,0.0,1.0,0.9556786703601108,1.0,0.9773371104815864,
asreview,2023-11-16 16:23,digital_work,333,218,28,6580,0.0320682553692262,0.9679317446307738,0.922437673130194,0.604355716878403,0.730263157894737,
bib-dedupe,2023-11-16 16:23,stroke,301,0,13,978,0.0,1.0,0.9585987261146496,1.0,0.9788617886178862,
asreview,2023-11-16 16:23,stroke,301,13,13,965,0.0132924335378323,0.9867075664621676,0.9585987261146496,0.9585987261146496,0.9585987261146496,
bib-dedupe,2023-11-16 16:24,haematology,103,0,28,1284,0.0,1.0,0.7862595419847328,1.0,0.8803418803418803,
asreview,2023-11-16 16:24,haematology,104,32,27,1252,0.0249221183800623,0.9750778816199376,0.7938931297709924,0.7647058823529411,0.7790262172284643,
bib-dedupe,2023-11-16 16:24,cytology_screening,739,0,26,1091,0.0,1.0,0.9660130718954248,1.0,0.9827127659574468,
asreview,2023-11-16 16:24,cytology_screening,686,15,79,1076,0.0137488542621448,0.9862511457378552,0.8967320261437909,0.978601997146933,0.9358799454297408,
bib-dedupe,2023-11-16 16:31,respiratory,391,0,45,1552,0.0,1.0,0.8967889908256881,1.0,0.9455864570737604,
asreview,2023-11-16 16:32,respiratory,393,12,43,1540,0.0077319587628865,0.9922680412371134,0.9013761467889908,0.9703703703703704,0.9346016646848988,
bib-dedupe,2023-11-16 16:34,digital_work,347,0,14,6798,0.0,1.0,0.961218836565097,1.0,0.9802259887005652,
asreview,2023-11-16 16:34,digital_work,333,218,28,6580,0.0320682553692262,0.9679317446307738,0.922437673130194,0.604355716878403,0.730263157894737,
bib-dedupe,2023-11-16 16:35,stroke,302,0,12,978,0.0,1.0,0.961783439490446,1.0,0.9805194805194806,
asreview,2023-11-16 16:35,stroke,301,13,13,965,0.0132924335378323,0.9867075664621676,0.9585987261146496,0.9585987261146496,0.9585987261146496,
bib-dedupe,2023-11-16 16:35,haematology,103,0,28,1284,0.0,1.0,0.7862595419847328,1.0,0.8803418803418803,
asreview,2023-11-16 16:35,haematology,104,32,27,1252,0.0249221183800623,0.9750778816199376,0.7938931297709924,0.7647058823529411,0.7790262172284643,
bib-dedupe,2023-11-16 16:35,cytology_screening,751,0,14,1091,0.0,1.0,0.9816993464052288,1.0,0.9907651715039576,
asreview,2023-11-16 16:36,cytology_screening,686,15,79,1076,0.0137488542621448,0.9862511457378552,0.8967320261437909,0.978601997146933,0.9358799454297408,
bib-dedupe,2023-11-16 16:58,respiratory,391,0,45,1552,0.0,1.0,0.8967889908256881,1.0,0.9455864570737604,
asreview,2023-11-16 16:58,respiratory,393,12,43,1540,0.0077319587628865,0.9922680412371134,0.9013761467889908,0.9703703703703704,0.9346016646848988,
bib-dedupe,2023-11-16 17:01,digital_work,349,0,12,6798,0.0,1.0,0.9667590027700832,1.0,0.9830985915492958,
asreview,2023-11-16 17:01,digital_work,333,218,28,6580,0.0320682553692262,0.9679317446307738,0.922437673130194,0.604355716878403,0.730263157894737,
bib-dedupe,2023-11-16 17:01,stroke,303,0,11,978,0.0,1.0,0.964968152866242,1.0,0.9821717990275526,
asreview,2023-11-16 17:01,stroke,301,13,13,965,0.0132924335378323,0.9867075664621676,0.9585987261146496,0.9585987261146496,0.9585987261146496,
bib-dedupe,2023-11-16 17:02,haematology,103,0,28,1284,0.0,1.0,0.7862595419847328,1.0,0.8803418803418803,
asreview,2023-11-16 17:02,haematology,104,32,27,1252,0.0249221183800623,0.9750778816199376,0.7938931297709924,0.7647058823529411,0.7790262172284643,
bib-dedupe,2023-11-16 17:02,cytology_screening,756,2,9,1089,0.0018331805682859,0.998166819431714,0.9882352941176472,0.9973614775725592,0.9927774130006566,
asreview,2023-11-16 17:02,cytology_screening,686,15,79,1076,0.0137488542621448,0.9862511457378552,0.8967320261437909,0.978601997146933,0.9358799454297408,
bib-dedupe,2023-11-16 17:06,respiratory,391,0,45,1552,0.0,1.0,0.8967889908256881,1.0,0.9455864570737604,
asreview,2023-11-16 17:06,respiratory,393,12,43,1540,0.0077319587628865,0.9922680412371134,0.9013761467889908,0.9703703703703704,0.9346016646848988,
bib-dedupe,2023-11-16 17:08,digital_work,349,0,12,6798,0.0,1.0,0.9667590027700832,1.0,0.9830985915492958,
asreview,2023-11-16 17:08,digital_work,333,218,28,6580,0.0320682553692262,0.9679317446307738,0.922437673130194,0.604355716878403,0.730263157894737,
bib-dedupe,2023-11-16 17:09,stroke,303,0,11,978,0.0,1.0,0.964968152866242,1.0,0.9821717990275526,
asreview,2023-11-16 17:09,stroke,301,13,13,965,0.0132924335378323,0.9867075664621676,0.9585987261146496,0.9585987261146496,0.9585987261146496,
bib-dedupe,2023-11-16 17:09,haematology,103,0,28,1284,0.0,1.0,0.7862595419847328,1.0,0.8803418803418803,
asreview,2023-11-16 17:09,haematology,104,32,27,1252,0.0249221183800623,0.9750778816199376,0.7938931297709924,0.7647058823529411,0.7790262172284643,
bib-dedupe,2023-11-16 17:09,cytology_screening,758,0,9,1089,0.0,1.0,0.9882659713168188,1.0,0.9940983606557378,
asreview,2023-11-16 17:09,cytology_screening,688,13,79,1076,0.0119375573921028,0.9880624426078972,0.8970013037809648,0.9814550641940084,0.9373297002724796,
bib-dedupe,2023-11-17 06:18,respiratory,392,0,44,1552,0.0,1.0,0.8990825688073395,1.0,0.9468599033816426,
asreview,2023-11-17 06:18,respiratory,393,12,43,1540,0.0077319587628865,0.9922680412371134,0.9013761467889908,0.9703703703703704,0.9346016646848988,
bib-dedupe,2023-11-17 06:20,digital_work,353,5,8,6793,0.0007355104442483,0.9992644895557516,0.9778393351800554,0.9860335195530726,0.9819193324061196,
asreview,2023-11-17 06:20,digital_work,333,218,28,6580,0.0320682553692262,0.9679317446307738,0.922437673130194,0.604355716878403,0.730263157894737,
bib-dedupe,2023-11-17 06:21,stroke,303,0,11,978,0.0,1.0,0.964968152866242,1.0,0.9821717990275526,
asreview,2023-11-17 06:21,stroke,301,13,13,965,0.0132924335378323,0.9867075664621676,0.9585987261146496,0.9585987261146496,0.9585987261146496,
bib-dedupe,2023-11-17 06:21,haematology,104,0,27,1284,0.0,1.0,0.7938931297709924,1.0,0.8851063829787233,
asreview,2023-11-17 06:21,haematology,104,32,27,1252,0.0249221183800623,0.9750778816199376,0.7938931297709924,0.7647058823529411,0.7790262172284643,
