ID,author,title,year,journal,volume,number,pages,url,doi
1,'. Lear and Y. Daniel and E. O'leary,The Impact of Data Accuracy on System Learning,,Journal of Management Information Systems,9,4,,,
2,Arun Bansal and Robert J Kauffman and Rob R Weitz and Rob R Wettz and Robert M Mark,Comparing the Modeling Performance of Regression and Neural Networks as Data Quality Varies: A Business Value Approach,,Journal of Management Information Systems,10,1,,,
3,,,,Journal of Management Information Systems,8,4,,,
4,Mark S Silver,User Perceptions of Decision Support System Restrictiveness: An Experiment MARK S. SILVER,,Journal of Management Information Systems,5,1,,,
5,Raymond Mcleod and John C Rogers and Luis Obispo He,"Marketing Information Systems in the Fortune 500 Companies: Past, Present, and Future",,Journal of Management Information Systems,10,1,,,
6,Yue Guo and Xiaotong Li,"Platform Competition in the Sharing Economy: Understanding How Ride-Hailing Services Influence New Car Purchases YUE GUO, XIAOTONG LI, AND XIAOHUA ZENG",,Journal of Management Information Systems,36,4,,,10.1080/07421222.2019.1661087
7,Anne P Massey and Mitzi M Montoya-Weiss and Yu-Ting Hung and Annrp Massey and Mrrzi M Montoya-Weiss,Because Time Matters: Temporal Coordination in Global Virtual Project Teams,,Journal of Management Information Systems,19,4,,,
8,Byungtae Lee and Nirup M Menon,Information Technology Value Through Different Normative Lenses,,Journal of Management Information Systems,16,4,,,
9,Eric K Clemons and Lorin M Hitt,Poaching and the Misappropriation of Information: Transaction Risks of Information Exchange,,Journal of Management Information Systems,21,2,,,
10,Daniel Robey and Mark Keil,Turning Around Troubled Software Projects: An Exploratory Study of the Deescalation of Commitment to Failing Courses of Action,,Journal of Management Information Systems,15,4,,,
11,Nathan W Twyman and Benjamin Lowry and Judee K Burgoon and Jay F Nunamaker and W. Nathan and Twyman and Paul Benjamin Lowry,Autonomous Scientifically Controlled Screening Systems for Detecting Information Purposely Concealed by Individuals,,Journal of Management Information Systems,31,3,,,10.1080/07421222.2014.995535
12,Alexander Benlian and William J Kettinger and Ali Sunyaev and Till J Winkler and William S Lee Distinguished and Titl J Winkler,"|® Check for updates Special Section: The Transformative Value of Cloud Computing: A Decoupling, Platformization, and Recombination Theoretical Framework",,Journal of Management Information Systems,35,3,,,10.1080/07421222.2018.1481634
13,Reza Alibakhshi and Shirish C Srivastava,Post-Story: Influence of Introducing Story Feature on Social Media Posts,,Journal of Management Information Systems,39,2,,,10.1080/07421222.2022.2063550
14,Shahla Ghobadi and Lars Mathiassen,A Generational Perspective on the Software Workforce: Precocious Users of Social Networking in Software Development,,Journal of Management Information Systems,37,1,,,10.1080/07421222.2019.1705508
15,Ting-Peng Liang,"Special Issue: Neuroscience in Information Systems Research TINg-PENg LIANg AND JAN VOM BrOckE, guEST EDITOrS",,Journal of Management Information Systems,30,4,,,10.2753/MIS0742-1222300401
16,Ravi Mantena and Rajib L Saha and William E Simon,Co-opetition Between Differentiated Platforms in Two-Sided Markets,,Journal of Management Information Systems,29,2,,,10.2753/MIS0742-1222290205
17,Robert O Briggs and Jay F Nunamaker and Ralph H Sprague,"Special Issue: GSS Insights: A Look Back at the Lab, A Look Forward from the Field",,Journal of Management Information Systems,15,3,,,
18,M. Eric and Johnson M Eric Johnson,Information Risk of Inadvertent Disclosure: An Analysis of File-Sharing Risk in the Financial Supply Chain,,Journal of Management Information Systems,25,2,,,10.2753/MIS0742-1222250205
19,Monica J Garfield and Alan R Dennis,Toward an Integrated Model of Group Development: Disruption of Routines by Technology-Induced Change,,Journal of Management Information Systems,29,3,,,10.2753/MIS0742-1222290302
20,Chih-Ping Wei and Roger H L Chiang and Chia-Chen Wu,Accommodating Individual Preferences in the Categorization of Documents: A Personalized Clustering Approach,,Journal of Management Information Systems,23,2,,,10.2753/MIS0742-1222230208
21,Henner Gimpel and Sebastian Heger and Christian Olenberger and Lena Utz,The Effectiveness of Social Norms in Fighting Fake News on Social Media,,Journal of Management Information Systems,38,1,,,10.1080/07421222.2021.1870389
22,,,,Journal of Management Information Systems,30,2,,,10.2753/MIS0742-1222300205
23,Benedikt Berger and Christian Matt and Dennis M Steininger and Thomas Hess,"It Is Not Just About Competition with ""Free"": Differences Between Content",,Journal of Management Information Systems,32,3,,,10.1080/07421222.2015.1095038
24,Eric K Clemons and Joshua S Wilson,"Family Preferences Concerning Online Privacy, Data Mining, and Targeted Ads: Regulatory Implications",,Journal of Management Information Systems,32,2,,,10.1080/07421222.2015.1063277
25,Matthew L Jensen and Paul Benjamin Lowry and Judee K Burgoon and Jay F Nunamaker and L. Matthew and Jensen,Technology Dominance in Complex Decision Making: The Case of Aided Credibility Assessment,,Journal of Management Information Systems,27,1,,,10.2753/MIS0742-1222270108
26,Stella Hanbyeol and Choi and Wonseok Oh and Chanhee Kwak and Junyeong Lee and Heeseok Lee,Effects of Online Crowds on Self-Disclosure Behaviors in Online Reviews: A Multidimensional Examination,,Journal of Management Information Systems,39,1,,,10.1080/07421222.2021.2023412
27,Alain Pinsonneault and Shamel Addas and Christina Qian and Vijay Dakshinamoorthy and Robyn Tamblyn,Integrated Health Information Technology and the Quality of Patient Care: A Natural Experiment,,Journal of Management Information Systems,34,2,,,10.1080/07421222.2017.1334477
28,Ai-Phuong Hoang and Robert J Kauffman,"CONTENT SAMPLING, HOUSEHOLD INFORMEDNESS, AND THE CONSUMPTION OF DIGITAL INFORMATION GOODS",,Journal of Management Information Systems,35,2,,,10.1080/07421222.2018.1451958
29,Gordon Burtch and Yili Hong and D. E Liu,The Role of Provision Points in Online Crowdfunding,,Journal of Management Information Systems,35,1,,,10.1080/07421222.2018.1440764
30,Scott C Mcintyre and Lexis F Higgins,Object-oriented Systems Analysis and Design: Methodology and Application,,Journal of Management Information Systems,5,1,,,
31,"Mariam "" Zahedi and Sheldon B Lubar","Dynamics of Trust Revision: Using Health Infomediaries FATEMEH ""MARIAM"" ZAHEDI AND JAEKI SONG",,Journal of Management Information Systems,24,4,,,10.2753/MIS0742-1222240409
32,Weiquan Wang and Izak Benbasat,Attributions of Trust in Decision Support Technologies: A Study of Recommendation Agents for E-Commerce,,Journal of Management Information Systems,24,4,,,10.2753/MIS0742-1222240410
33,Michael T Lash and Kang Zhao,"Early Predictions of Movie Success: The Who, What, and When of Profitability",,Journal of Management Information Systems,33,3,,,10.1080/07421222.2016.1243969
34,Ritu Agarwal and Atish P Sinha and Mohan Tanniru,Cognitive Fit in Requirements Modeling: A Study of Object and Process Methodologies,,Journal of Management Information Systems,13,2,,,
35,Erran Carmel and William K Mchenry and Yeshayahu Cohen,"Building Large, Dynamic Hypertexts: How Do We Link Intelligently?",,Journal of Management Information Systems,6,2,,,
36,Ramnath K Chellappa,Economic Implications of Variable Technology Standards for Movie Piracy in a Global Context RAMNATH K. CHELLAPPAAND SHIVENDU SHIVENDU,,Journal of Management Information Systems,20,2,,,
37,Christian Peukert and Jella Pfeiffer and Martin Meißner and Thies Pfeiffer and Christof Weinhardt,Shopping in Virtual Reality Stores: The Influence of Immersion on System Adoption,,Journal of Management Information Systems,36,3,,,10.1080/07421222.2019.1628889
38,Jesse C Bockstedt and Kim Huat Goh,Customized Bundling and Consumption Variety of Digital Information Goods,,Journal of Management Information Systems,31,2,,,10.2753/MIS0742-1222310205
39,David Gefen and Izak Benbasat and Paul A Pavlou,A Research Agenda for Trust in Online Environments,,Journal of Management Information Systems,24,4,,,10.2753/MIS0742-1222240411
40,Vicki L Sauter and Joseph L Schofer,Evolutionary Development of Decision Support Systems: Important Issues for Early Phases of Design,,Journal of Management Information Systems,4,4,,,
41,Mary-Liz Grise and R. Brent Gallupe and Mary-Liz Gris^,Information Overload: Addressing the Productivity Paradox in Face-to-Face Electronic Meetings,,Journal of Management Information Systems,16,3,,,
42,,,,Journal of Management Information Systems,17,1,,,
